aec88d066638b448f36ff0068c011a867c06156d68210427899b65f9cb5b91f5,19a1617e048526ded2a25e677482f55c41dda1364a72c4b4cde9f9d36718db2c,369653beef91086254d36f1ec530a42836d95c5dc8c0710f711df52fab7553f0,7c1c615761abf92d418a6f19c760c130fe115ae0ee6b8b756450b6e3037c10fd,058581a1021e7538b678ae63cfb93429e255b97cfe1512271de0aba889249db1,6195539e15a996562d5a0355e5535a841f7b5a53aeda0c123a5f7f1ef8891a24,59781574e9f9660aff728bfa82882f870e3f5592bc253ed44a151f3d108bf87b,1aea3e1c1fa069458942cb94e11041c718a2bfaf11bce5545e302e9ee626df1d,8bfe299fcd695f2d618dabdd966fe18d7b6ba3b793fc629c6f621351790bb268,17461604ff50e9f41b4fa4189a71eb606a8254e33719f3ab068029a8442d5e92,987e5669ae0fdd8f81f93ac55b5aa3ae546fc94f712270bc9c5ce6671f81ae1f,df24114274c603a258bdafa62bd5168143886ab3912defde3f2a543e4fffae7c,a55d68c651b38935a8b4c4952d8e8ce92aa909de59383d5d92962dd275dd54ac,ae5277730f6801b701c5ab89dafdf2708c52a6b26484218b8fe8d887e3193b13,67a988df298f0ec67f0e0d0c63b1ff03391610e3f2a6ec4d11df740ca7650f7b,baf4ff81abb709928f1b136c41db8fda1cc6d66fce67fa61427372fd39efda57,b36f041243795a53e51983d21dee47dafdb9815bb91718592c99df3077ec0ace
"2","4","0","150001","0","6","5","0","0","0","50","50","2","0","25202","25204","1"
"2","4","0","150001","100","9","20","2","0","0","40","50","2","25011","25202","25204","1"
"2","4","0","150002","0","12","25","0","0","0","30","50","2","0","25202","25204","1"
"2","2","2","25206","50","15","30","4","25011","500","20","20","2","150002","25202","25204","1"
"2","4","0","150001","0","6","5","0","0","0","50","50","2","0","25202","25204","2"
"2","4","0","150001","100","9","20","2","0","0","40","50","2","25012","25202","25204","2"
"2","4","0","150002","0","12","25","0","0","0","30","50","2","0","25202","25204","2"
"2","2","2","25206","50","15","30","4","25012","500","20","20","2","150002","25202","25204","2"
"2","4","0","150001","0","6","5","0","0","0","50","50","2","0","25202","25204","3"
"2","4","0","150001","100","9","20","2","0","0","40","50","2","25013","25202","25204","3"
"2","4","0","150002","0","12","25","0","0","0","30","50","2","0","25202","25204","3"
"2","2","2","25206","50","15","30","4","25013","500","20","20","2","150002","25202","25204","3"
"2","4","0","150001","0","6","5","0","0","0","50","50","2","0","25202","25204","4"
"2","4","0","150001","100","9","20","2","0","0","40","50","2","25014","25202","25204","4"
"2","4","0","150002","0","12","25","0","0","0","30","50","2","0","25202","25204","4"
"2","2","2","25206","50","15","30","4","25014","500","20","20","2","150002","25202","25204","4"
"2","4","0","150001","0","6","5","0","0","0","50","50","2","0","25202","25204","5"
"2","4","0","150001","100","9","20","2","0","0","40","50","2","25015","25202","25204","5"
"2","4","0","150002","0","12","25","0","0","0","30","50","2","0","25202","25204","5"
"2","2","2","25206","50","15","30","4","25015","500","20","20","2","150002","25202","25204","5"
