e2b1e8b9b08686f0f0e8f1d1baccb1426bd940c8beaab3b53f29650d4c497db6,46bbde276a72e64d7cce2377ff012ec4d72e774a835edb3f8c7e43588c25864f,3dde8ac45e72ce255cc3e5e06f564b0ae109db74f8b56fc7e2a21c53f59e90d0,4a0f1bb4c3c9102bb562df3d30478ad753126d2c452866f60e04a80752cffd0f,3570927db46849adbb554bf066c803ebede64c8616f38c975df31ffb768ea53b,08085156c143a6f11d76744917ca080354357c7ce47b5c77cfdb249690af15e3,e86e31b949f72f9c538360a873a90326cb550c125b59958273ddee52330cb892,7d1dd1a84a314ba865140788a723838e1d773a5e165d84b2307b0cbdea04b8e7,2bb8f3a2b77b0b8828ec4aa53f58237655ef34dc33efa5bded6640d2a910c943
"","","2","1","1","23001","1","21600","2"
"","","2","1","1","23001","2","19800","3"
"","","2","1","1","23001","3","18000","3"
"","","2","1","1","23001","4","16200","3"
"","","2","1","1","23001","5","14400","4"
"","","2","1","1","23001","6","12960","4"
"","","2","1","1","23001","7","11520","5"
"","","2","1","1","23001","8","10080","6"
"","","2","1","1","23001","9","8640","7"
"","","2","1","1","23001","10","7200","8"
"","","2","1","1","23001","11","5760","10"
"","","2","1","1","23001","12","5040","12"
"","","2","1","1","23001","13","4320","14"
"","","2","1","2","23001","14","7200","16"
"","","2","1","2","23001","15","5400","18"
"","","2","1","2","23001","16","5040","18"
"","","2","1","2","23001","17","4800","18"
"","","2","1","2","23001","18","4500","20"
"","","2","1","2","23001","19","4320","20"
"","","2","1","3","23001","20","6000","24"
"","","2","1","3","23001","21","5700","48"
"","","2","1","3","23001","22","5400","48"
"","","2","1","3","23001","23","5220","51"
"","","2","1","3","23001","24","4980","54"
"","","2","1","3","23001","25","4800","54"
"","","2","1","3","23001","26","4500","60"
"","","2","1","3","23001","27","4320","60"
"","","2","1","3","23001","28","4200","63"
"","","2","1","4","23001","29","5400","64"
"","","2","1","4","23001","30","5220","68"
"","","2","1","4","23001","31","5040","72"
"","","2","1","4","23001","32","4920","72"
"","","2","1","4","23001","33","4800","72"
"","","2","1","4","23001","34","4680","76"
"","","2","1","4","23001","35","4500","80"
"","","2","1","4","23001","36","4320","80"
"","","2","1","4","23001","37","4260","84"
"","","2","1","4","23001","38","4200","84"
"","","2","1","4","23001","39","4140","84"
"","","6","2","20","93001","1","21600","80"
"","","6","2","24","93001","2","21600","96"
"","","6","2","28","93001","3","21600","112"
"","","6","2","30","93001","4","21600","120"
"","","6","2","32","93001","5","21600","128"
"","","6","2","34","93001","6","21600","136"
"","","6","2","36","93001","7","21600","144"
"","","6","2","38","93001","8","21600","152"
"","","6","2","40","93001","9","21600","160"
"","","6","2","42","93001","10","21600","168"
"","","6","2","44","93001","11","21600","176"
"","","6","2","46","93001","12","21600","184"
"","","6","2","48","93001","13","21600","192"
"","","6","2","50","93001","14","21600","200"
"","","6","2","52","93001","15","21600","208"
"","","6","2","54","93001","16","21600","216"
"","","6","2","56","93001","17","21600","224"
"","","6","2","58","93001","18","21600","232"
"","","6","2","60","93001","19","21600","240"
"","","6","2","62","93001","20","21600","248"
"","","6","2","64","93001","21","21600","256"
"","","6","2","66","93001","22","21600","264"
"","","6","2","68","93001","23","21600","272"
"","","6","2","70","93001","24","21600","280"
"","","6","2","72","93001","25","21600","288"
"","","6","2","74","93001","26","21600","296"
"","","6","2","76","93001","27","21600","304"
"","","6","2","78","93001","28","21600","312"
"","","6","2","80","93001","29","21600","320"
"","","6","2","82","93001","30","21600","328"
