496f616fb9f005461827e1d653f37e05ea24ebf8fc02826760b96563d069628c,a5ff4996bb1ec29f85db591fe6212820701b99948c400a6088d2014ed7ad9294,24c80ffe14f7b3d980132c3289272ee8a28ea299ad9627c33fb77f9fa87765b7,146c0ab60e883547c5d9beddff29522f1f4cb1b41649256c7ac70d2e586681ac,2f48e57460fa06df65763caeff1a631aa4328ed724baebcd6ec0782a32948520,16ab33879db7d48e979fcaa9f477d239c0cbea379874e81f8e49e92117a864f7,aa09c5bf2d57abaac3133276baef12cdfd0221944048eb46b98ee459f913a194
"1006401","10064","開会式","4","20036104","0","0"
"1006402","10064","開会式","3","20036104","0","0"
"1006403","10064","徒競走","1","20036104","0","1006402"
"1006404","10064","徒競走","4","20036104","0","1006402"
"1006405","10064","徒競走","2","20036104","0","1006402"
"1006406","10064","騎馬戦","2","20036104","0","1006405"
"1006407","10064","騎馬戦","4","20036104","0","1006405"
"1006408","10064","昼休憩","3","20036106","0","1006406"
"1006409","10064","昼休憩","4","20036106","0","1006406"
"1006410","10064","学術文化出展各種","3","20036106","0","1006408"
"1006411","10064","学術文化出展各種","4","20036106","0","1006408"
"1006412","10064","学術文化出展各種","1","20036106","0","1006408"
"1006413","10064","侍女風給仕喫茶","4","20036108","0","1006410"
"1006414","10064","侍女風給仕喫茶","3","20036108","0","1006410"
"1006415","10064","総合リレー","3","20036113","0","1006414"
"1006416","10064","総合リレー","4","20036113","0","1006414"
"1006417","10064","セレモニーステージ","1","0","2003601","1006415"
"1006418","10064","セレモニーステージ","4","0","2003601","1006415"
"1006419","10064","セレモニーステージ","2","0","2003601","1006415"
"1006420","10064","閉会式","3","0","2003601","1006419"
"1006421","10064","閉会式","4","0","2003601","1006419"
"1006422","10064","コンプリート演出","4","0","2003601","1006420"
