0dc44d30da47e3590dd70b85cba256ce2c1caa34bdaf77739a27b5bbeb81c495,aefe6b7936722f34a25128dacd29d2d3cb36e67697ae129d08d7c5f3880c5390,5fe1a305a74be1fbe3b32d63b53fb528fa4cecae75bb43ed9936adfa37177cf4,38a899fa20241ed8f3fd2515d86c4607540ed09d1fc0fd935917e203f5350fe4,036718b259a788c67f0dc13567fab9d771992239dca35d18b0d5dd3f262e17d5,ff9660a9d618196c282f56312aa0159315bbb8e810e4fcdb18fd33eaadb5f8c8,b1140b4c73236bfcb81aabf8517c62ebf86c2c88da6356cf0becf89876a56279
"2500","10","8","1","101","累計スコアを2500pt 獲得しよう","91002"
"5000","10","8","1","102","累計スコアを5000pt 獲得しよう","91002"
"10000","10","8","1","103","累計スコアを10000pt 獲得しよう","91002"
"12500","10","8","1","104","累計スコアを12500pt 獲得しよう","91002"
"15000","10","8","1","105","累計スコアを15000pt 獲得しよう","91002"
"20000","10","8","1","106","累計スコアを20000pt 獲得しよう","91002"
"25000","10","8","1","107","累計スコアを25000pt 獲得しよう","91002"
"30000","10","8","1","108","累計スコアを30000pt 獲得しよう","91002"
"35000","10","8","1","109","累計スコアを35000pt 獲得しよう","91002"
"40000","10","8","1","110","累計スコアを40000pt 獲得しよう","91002"
"45000","10","8","1","111","累計スコアを45000pt 獲得しよう","91002"
"50000","1","15","1","112","累計スコアを50000pt 獲得しよう","11001302"
"2500","10","8","2","201","累計スコアを2500pt 獲得しよう","91002"
"5000","10","8","2","202","累計スコアを5000pt 獲得しよう","91002"
"10000","10","8","2","203","累計スコアを10000pt 獲得しよう","91002"
"12500","10","8","2","204","累計スコアを12500pt 獲得しよう","91002"
"15000","10","8","2","205","累計スコアを15000pt 獲得しよう","91002"
"20000","10","8","2","206","累計スコアを20000pt 獲得しよう","91002"
"25000","10","8","2","207","累計スコアを25000pt 獲得しよう","91002"
"30000","10","8","2","208","累計スコアを30000pt 獲得しよう","91002"
"35000","10","8","2","209","累計スコアを35000pt 獲得しよう","91002"
"40000","10","8","2","210","累計スコアを40000pt 獲得しよう","91002"
"45000","10","8","2","211","累計スコアを45000pt 獲得しよう","91002"
"50000","1","15","2","212","累計スコアを50000pt 獲得しよう","11001303"
