0cd4e7dae564e3a9802b723d05af12444d074ee6551f79d9d18baa3deed04742,ee2f8f2f533d38f61587dcebe4589e82fd932811dead0e3617821512c6356f36,d3e18bc94474a7338990092bc88e8a856f7fe5935177897293b7e359ab119bed,397a9e7dac808134cb64af2e83ae693f950eac8a66b4c8d7bad7aeebfc3d9168,534bd552e5c52bce89a78e08473c0c39a832cf4759868ce20aed9da8c93d0f10
"135","1","1","1","300"
"425","2","1","1","-100"
"-100","3","2","1","125"
"375","4","2","1","-415"
"25","5","3","1","-50"
"-25","6","3","1","-300"
"-195","7","4","1","-335"
"105","8","4","1","-415"
"135","9","5","1","-160"
"345","10","6","1","-40"
"-230","11","7","1","90"
"230","12","8","1","-420"
"30","13","9","1","250"
"280","14","10","1","-245"
"-150","15","11","1","-110"
