203376db561537a3a183b1f334d5fe8e322b01b75f84de7024e1382da4b7fb71,6945800def8750e75572b99f83da8de41e4b65402def07266e34bcd9c40cbc22,cf34da91dd6a0fd320a9cabf05de52b2475bea7dd8eb46d8f5add4c18b41d73d,35d3134adc44d5b4ca8ba2e08653c4a1d56b2d45212949a0f8f8971df64121db,fc46fb47dec9f2bd541469db150ba7e404210397cbb29a5fe6ef86008542a3fc,40daad86138368a7cca8ce5b16b02866a3249b3915c45cdf5e40214298c84634,86cbdd3790a3a44c8621bcb50c3a9880f953dbdec14f0e75aa578fb22c58d5cb
"10201","10201101","1","0","2025/01/31 12:00:00","5201401","10201101"
"10201","10201102","1","0","2025/02/06 12:00:00","5201402","10201151"
"10201","10201201","2","5201010","2025/01/31 12:00:00","5201411","13"
"10202","10202101","1","0","2025/02/28 12:00:00","5202401","10202101"
"10202","10202201","2","0","2025/02/28 12:00:00","5202411","7"
"10203","10203101","1","0","2025/03/31 12:00:00","5203401","10203101"
"10203","10203201","2","5203007","2025/03/31 12:00:00","5203411","23"
"10204","10204101","1","0","2025/04/30 12:00:00","5204401","10204101"
"10204","10204201","2","5204006","2025/04/30 12:00:00","5204411","23"
"10205","10205101","1","0","2025/05/31 12:00:00","5205401","10205101"
"10205","10205201","2","0","2025/05/31 12:00:00","5205411","23"
"10206","10206101","1","0","2025/06/30 12:00:00","5206401","10206101"
"10206","10206201","2","5206007","2025/06/30 12:00:00","5206411","23"
"10207","10207101","1","0","2025/07/31 12:00:00","5207401","10207101"
"10207","10207201","2","5207007","2025/07/31 12:00:00","5207411","23"
"10208","10208101","1","0","2025/08/31 12:00:00","5208401","10208101"
"10208","10208201","2","5208007","2025/08/31 12:00:00","5208411","23"
"10209","10209101","1","0","2025/09/30 12:00:00","5209401","10209101"
"10209","10209201","2","5209007","2025/09/30 12:00:00","5209411","23"
"10210","10210101","1","0","2025/10/31 12:00:00","5210401","10210101"
"10210","10210201","2","5210000","2025/10/31 12:00:00","5210411","23"
"10211","10211101","1","0","2025/11/30 12:00:00","5211401","10211101"
"10211","10211201","2","5211006","2025/11/30 12:00:00","5211411","23"
"10212","10212101","1","0","2025/12/31 12:00:00","5212401","10212101"
"10212","10212201","2","5212007","2025/12/31 12:00:00","5212411","23"
"10213","10213101","1","0","2026/01/31 12:00:00","5213401","10213101"
"10213","10213102","1","0","2026/02/12 12:00:00","5213402","10213151"
"10213","10213201","2","5213013","2026/01/31 12:00:00","5213411","23"
"10213","10213302","3","0","2026/02/12 12:00:00","5213602","0"
"10214","10214101","1","0","2026/02/28 12:00:00","5214401","10214101"
"10214","10214201","2","5214006","2026/02/28 12:00:00","5214411","23"
"10215","10215101","1","0","2026/03/31 12:00:00","5215401","10215101"
"10215","10215201","2","5215006","2026/03/31 12:00:00","5215411","23"
"10216","10216101","1","0","2026/04/30 12:00:00","5216401","10216101"
"10216","10216201","2","5216007","2026/04/30 12:00:00","5216411","23"
"10217","10217101","1","0","2026/05/31 12:00:00","5217401","10217101"
"10217","10217201","2","5217007","2026/05/31 12:00:00","5217411","23"
