bf88bb5f573252a37c55186fd4befc0889d0d96f58c0c09e2b9b737b8614ab08,dd049dcd7cd5f4eaa44d0a4310b8069bf122dfcecdf16ed82aa12e1c3c3f4aa5,8f61a91b16388ebc6dd6f9d9f6a9905ea8dc745cb14207367aabc92b47db36a7,e1c1388652be18182d79b3ad90c557d344f743adc8f28b1a729a5245463a10f6,388155026d85001cd31d0531cafeb8be6f58335c4f4f9e5e76f1846eed9b281e
"27001","2020/03/02 4:59:59","27001","2020/02/15 15:00:00","28"
"27001","2021/03/05 11:59:59","27002","2021/02/15 23:00:00","33"
"27001","2021/09/05 11:59:59","27003","2021/08/15 15:00:00","42"
"27001","2022/01/21 11:59:59","27004","2021/12/31 12:00:00","43"
"27005","2022/03/05 14:59:59","27005","2022/02/15 15:00:00","44"
"27001","2022/09/05 11:59:59","27006","2022/08/15 15:00:00","55"
"27001","2023/01/21 11:59:59","27007","2022/12/31 12:00:00","81"
"27005","2023/03/05 14:59:59","27008","2023/02/15 15:00:00","82"
"27009","2023/05/25 14:59:59","27009","2023/04/30 12:00:00","85"
"27001","2023/09/04 14:59:59","27010","2023/08/15 15:00:00","113"
"27012","2024/01/21 11:59:59","27012","2023/12/31 12:00:00","115"
"27005","2024/03/05 14:59:59","27013","2024/02/15 00:00:00","118"
"27012","2024/05/30 23:59:59","27014","2024/04/30 12:00:00","119"
"27012","2024/09/10 23:59:59","27015","2024/08/15 15:00:00","127"
"27012","2024/12/31 11:59:59","27016","2024/12/20 5:30:00","138"
"27012","2025/01/24 23:59:59","27017","2024/12/31 12:00:00","140"
"27018","2025/03/05 23:59:59","27018","2025/02/15 15:00:00","153"
"27012","2025/03/05 23:59:59","27019","2025/02/15 15:00:00","154"
"27012","2025/05/30 23:59:59","27020","2025/04/30 12:00:00","169"
