af133e6d320cae8a47fbce4364a1ffd3a0dddd2f1c6ef4ebbd67a90f161c5a32,399d1b9c1f0e575a0535cb6b345ca5f360ecfff92109c3dadf6d93785a168437,945ed3ea92c3a97f1f57cc36a5c870d645978a10cd4f9f1dc1c47496036a99b6,1c3fbbe812a47270fafdee0a349aca804796c0133ad7afddd82bc0c8e3754e50,c0d5664d6515140b8e5a5b658ab00478a8bc851bdd673e953e3f9f76f52957dd,6dc235b77fd676ccbfe746f4263726c8278ddbcc2e0df6975e057a589b2e592e,46cf4b35c3d75503b009c0d1faf509fc8580c048274ef8776e1d24791bd9633d,f1442e778dc42b149fdd1eaf247f3b9bc1f62fbd86e22665757e91ac1b916299,466c7b877350e99d6608268790cdfe3d1a86354d4970f8cb66ace3d9f0423e2f,e7c7d39fa70c927e245761d670ef6d199ea88b1c0f5a7c84a12d70d480eb4ff9,752c1b6c30014c4df0781e4657a26af12e1173228b163412f73800fcf2386094,58614c135920ef5a1924092364c6890d89f41e528021e196da9fc9097497ce86
"1","1","2","0","0","104","0","4","101","0","11041","0"
"2","2","3","0","0","14","1","2","201","0","10141","0"
"3","3","2","0","0","103","2","2","301","0","11031","0"
"4","4","1","0","0","102","3","1","401","0","11021","0"
"5","5","2","0","0","104","4","4","501","0","11041","0"
"6","6","3","0","0","1","5","1","601","0","10011","0"
"7","7","4","0","0","101","6","3","701","0","11011","0"
"8","8","3","0","0","100","7","1","801","0","11001","0"
"9","9","2","0","0","104","8","4","901","0","11041","0"
"10","10","3","0","0","1","9","2","1001","0","10011","0"
"11","11","4","0","0","51","10","1","1101","0","10511","0"
"12","12","3","0","0","52","11","2","1201","0","10521","0"
"13","13","2","0","0","104","12","4","1301","0","11041","0"
"14","14","1","0","0","103","13","1","1401","0","11031","0"
"15","15","2","0","0","102","14","1","1501","0","11021","0"
"16","16","3","0","0","1","15","1","1601","0","10011","0"
"17","17","2","0","0","104","16","4","1701","0","11041","0"
"18","18","3","0","0","50","17","2","1801","0","10501","0"
"19","19","4","0","0","101","18","3","1901","0","11011","0"
"20","20","3","0","0","100","19","2","2001","0","11001","0"
"21","21","2","0","0","104","20","4","2101","0","11041","0"
"22","22","1","0","0","1","21","3","2201","0","10011","0"
"23","23","3","0","0","100","22","2","2301","0","11001","0"
"24","24","2","0","0","101","23","2","2401","0","11011","0"
"25","25","3","0","0","104","24","4","2501","0","11041","0"
