d23a9469b1d27c661f93b19189d84b177d3bb8582ad30a5b943047b24687e3b0,841b28327ce1a2a150dee81c81551aaf4d2610ec103dba5f74a62199c605d884,1471de079d0d73c40e40af74429b4124449985252f79d8b548a6611b01827990,4a9b38011ad1c5b94f905ed0091726ec891dbee4c24aaecd575549ea62637615,f1642e334fff6c3013b65ed8f3210fa0771cc655e2f6d161b0f2ebc036d3d8c0,38972d85873853e6a89d7bae7492722411b2d49260043ac67a4294aa4329959c,92349eada025b8f9e18573bdb2e91da07ca1547d60260d14eb4872097e2943b9,0db16370b009ff723d8d0f374c854bc1b377a04889dd844d512f2eca78c1030e,2605e60a6b2e69cf280a4cb2c6bc4534cc80c5c0c3c7334ad2a7441dcb5b008a,3c1fae4d8992dfd08c101f45d5ab48c9f7d4882ee7795570b65d83bff59fb28c,7598bf6111f71a61daf4f560d50e931e0a4346ccc9f19718aead05212d81e267,5e3b94c037bdebafc739de6ed3d04a09725113038cc384d0c6c8d42606573c6f,2fc47d13cf32e58463176edf2e46a5b8de0c14de506f7f4e6829ce1f8009ba32,17fbec314d5fd41c3c8baa119f9c540fa9bb0192236c0c3037ddd3cfedc29927,daf4b56de2bd068bc8a57d1396afc207637f1e9d2361846207ded6bedd718459,79d642330cd4b5df3752059b4434682198d1289031bd2bb33057a09a88213f11,97e17abea0591c22e169702353ceb2859e7f8cb17667106544eab1a504b6bc3c,8e2ad0d09b104e49d65ccda096395c03ce895ba6d613e349a330f26d105905b4,a061ca3efa8a7fcb991eb6273e73bc314c34e25d2b1aa03d024078497c6deebf,e645f21a3c2382d7b608dec0690fd749c9696df9162f582af719a69b877f2cd9,af64ee07ce6a851df398138c03faeda1f17115dd7b26d80b01ef72b41a804c18,8d3decf73524cbface3341c9280ff107ea3f069721c6ea46ccbf0f18e10257f1,7099e0e72b9fb412dc74177d19d82b77cb8064d8fb18b2bd0507ff9b93e31a61,d9e667e8a539aecaf94e9bcd6e086f891e9d2d6aa4f84f1f08e15cc7e32d418f,a1dcfcfb5acdb01034276604fad473c4d217c687cba9613d53d22ba2a6a29243,ab3264bdd970893df91fc58a4af711d7f4474897d264f80245f87870bfded9a9,d1ad7de444cd5fc1bbc165c573bce03a256375725077f4c78ebfe410494c8ad4,aef7398025d71ac8986c03494c689f63d2197a9293c66f5ce0b66733a86f427d,8df1ce53fcecd599a8bee863207ba02a58222b52606838b292a742a1d5b523fe,925f45c36cbcd51c5d97ee81a94498915f94d63caa538a21efdfd3518508555c,99686caa3aa2350e8589a30ed21265d79bcf6a7c038e190d193a40c0a35d07d9,f4adcc2c93cacff0049720905d5477afc410392d157b2fce2c34e422982b8bd8,18bc8ad1b5c16919779a9cd6cd11f121ba653b96447844aa313555aecfd21f11,f91884961e0d45798fc045d3ce68a091a3517dce231ab9dba364112c56146451,dc303ac863bfa902b416989fe0dc7818e8514598732c21d62127a93fe75637c6,4ad0ca7fa6fdc14c3ecb2cd4258e22f03c136b284c3d7e80e60d02220bb25a5d,8dab6889b6f2a97f99da3df86bbd4ea0d69f96a69684f5e7363d6cff10d3effe,a2cf7a149cab6a741bb2203a6f5764f33113c7f413e3a534b28aab341958c913,d6120a9df7a3fd98dcfd04b0be280685604c00221c0601930d24d7e42799128f,65fff223ca0e80ad906048ec338dbc0ec7b9a98cc15e0e9957c93ac4d93425e3,a11e21fce7fb951c178aaffa38976187650f860fed7d103887002cb5f124c7c0,9c46e02a0e3854f157a0a4ac4bbae8018d207af07ce45fea0d758ee59828936b,b5cc4ad18d6a3c2937bef1a0f69bb6d045c92580c564a834600c4f4443c6a6f7,800da81ce918a30d923e11ae6dce2221506120719153ddde5e5ce3f0074d0b10
"1","1","0","10010103","0","401010031","100000","1","1.1","1","10010101","1001102","1.2","401010021","1001","401010011","10010104","10010105","0","0","1001103","1","401010041","710011","1.1","0","0","1001104","1","1","0","0.03","0","0","0","0","1001101","10010102","401010051","0","1","1001105","0","1"
"2","-1","0","10010103","0","401010031","100000","1.2","1.7","1.2","10010101","1001107","2","401010021","1001","401010011","10010104","10010105","0","0","1001108","1","401010041","710011","1.5","0","0","1001109","1","1","0","0.06","0","0","0","0","1001106","10010102","401010051","0","2","1001110","0","2"
"3","1","0","10020103","0","401020031","100000","1","1.1","1","10020101","1002102","1.2","401020021","1002","401020011","10020104","10020105","0","0","1002103","1","401020041","710021","1.1","0","0","1002104","1","1","0","0.03","0","0","0","0","1002101","10020102","401020051","0","1","1002105","0","1"
"4","-1","0","10020103","0","401020081","100000","1.2","1.7","1.2","10020101","1002107","2","401020071","1002","401020061","10020104","10020105","0","0","1002108","1","401020091","710021","1.5","0","0","1002109","1","1","0","0.06","0","0","0","0","1002106","10020102","401020101","0","2","1002110","0","2"
"5","1","0","10030103","0","401030031","100000","1","1.1","1","10030101","1003102","1.2","401030021","1003","401030011","10030104","10030105","0","0","1003103","1","401030041","710031","1.1","0","0","1003104","1","1","0","0.03","0","0","0","0","1003101","10030102","401030051","0","1","1003105","0","1"
"6","-1","0","10030103","0","401030081","100000","1.2","1.7","1.2","10030101","1003107","2","401030071","1003","401030061","10030104","10030105","0","0","1003108","1","401030091","710031","1.5","0","0","1003109","1","1","0","0.06","0","0","0","0","1003106","10030102","401030101","0","2","1003110","0","2"
"7","1","0","10040103","0","401040031","100000","1","1.1","1","10040101","1004102","1.2","401040021","1004","401040011","10040104","10040105","0","0","1004103","1","401040041","710041","1.1","0","0","1004104","1","1","0","0.03","0","0","0","0","1004101","10040102","401040051","0","1","1004105","0","1"
"8","-1","0","10040103","0","401040081","100000","1.2","1.7","1.2","10040101","1004107","2","401040071","1004","401040061","10040104","10040105","0","0","1004108","1","401040091","710041","1.5","0","0","1004109","1","1","0","0.06","0","0","0","0","1004106","10040102","401040101","0","2","1004110","0","2"
"9","1","0","10050103","0","401040131","100000","1","1.1","1","10050101","1004102","1.2","401040121","1005","401040111","10050104","10050105","0","0","1004103","1","401040141","710051","1.1","0","0","1004104","1","1","0","0.03","0","0","0","0","1004101","10050102","401040151","0","1","1004105","0","1"
"10","-1","0","10050103","0","401040181","100000","1.2","1.7","1.2","10050101","1004107","2","401040171","1005","401040161","10050104","10050105","0","0","1004108","1","401040191","710051","1.5","0","0","1004109","1","1","0","0.06","0","0","0","0","1004106","10050102","401040201","0","2","1004110","0","2"
"11","1","0","10060103","0","401040231","100000","1","1.3","1","10060101","1004102","1.5","401040221","1006","401040211","10060104","10060105","0","0","1004103","1","401040241","710061","1.3","0","0","1004104","1","1","0","0.03","0","0","0","0","1004101","10060102","401040251","0","1","1004105","0","1"
"12","-1","0","10060103","0","401040281","100000","1.3","1.8","1.3","10060101","1004107","2","401040271","1006","401040261","10060104","10060105","0","0","1004108","1","401040291","710061","1.8","0","0","1004109","1","1","0","0.06","0","0","0","0","1004106","10060102","401040301","0","2","1004110","0","2"
"13","1","0","10070103","0","401040331","100000","1","1.3","1","10070101","1004102","1.5","401040321","1007","401040311","10070104","10070105","0","0","1004103","1","401040341","710071","1.3","0","0","1004104","1","1","0","0.03","0","0","0","0","1004101","10070102","401040351","0","1","1004105","0","1"
