ad07a4fe20b6ca557d7cdbf41567b9f6f8a78f6507e47589fd78bee92811e397,664fa81380e66cd87109e2c201fbb8e73b66a6131f1aa44b55a59881bd00b64c,234dca01eda72f196e530927cd0ecedc402582984a7d07b7831a9a8e55aa4085,2e14d4e14bcaf44b4ac6fff5bf60d6d7b916542d74676e7780de2516fe5d3075,c4ec60d0040f03114da1431ead311613e247958abad1bc942b441ec60f203a92,10c5511acd14495738d7a29705c0e03a7c067cad95104e7a20ce8fbea5c74866,299908314bdc8e018b0430ffcb3e10c6a7bc6a63fb31ed775a6f84d63c0cc9fd,36b7d9aeb523dfe7b443cabf07935d3fe09ef8d210ecc2bce582d20472a53a9b,87b0bd3e9f6beb2ae0c3ade23499242aa8f05715b8ae8a239980c3e2250ad966,57f0ade37c7c1e09844f6cdf07e99e2b576424f8ad29022f8754af7f23e877b8
"2018/01/01 15:00:00","0","0","0","0","2019/02/15 14:59:59","0","0","10001","0"
"2019/02/15 15:00:00","1001","1001","0","1","2019/02/28 11:59:59","1","1001","10002","0"
"2019/02/28 12:00:00","0","1001","0","1","2020/02/15 14:59:59","1","0","10003","0"
"2020/02/15 15:00:00","1002","1001","0","1","2020/02/29 11:59:59","1","1002","10004","1002"
"2020/02/15 15:00:00","1002","1002","2015009","2","2020/02/29 11:59:59","2","1002","10005","1002"
"2020/02/29 12:00:00","0","1001","0","1","2020/08/15 14:59:59","1","0","10006","0"
"2020/02/29 12:00:00","0","1002","2015009","2","2020/08/15 14:59:59","2","0","10007","0"
"2020/08/15 15:00:00","0","1001","0","1","2020/08/31 11:59:59","1","0","10008","1003"
"2020/08/15 15:00:00","0","1002","2015009","2","2020/08/31 11:59:59","2","0","10009","1003"
"2020/08/31 12:00:00","0","1001","0","1","2021/02/15 14:59:59","1","0","10010","0"
"2020/08/31 12:00:00","0","1002","2015009","2","2021/02/15 14:59:59","2","0","10011","0"
"2021/02/15 15:00:00","1003","1001","0","1","2021/02/28 11:59:59","1","1003","10012","1004"
"2021/02/15 15:00:00","1003","1002","2015009","2","2021/02/28 11:59:59","2","1003","10013","1004"
"2021/02/28 12:00:00","0","1001","0","1","2021/08/15 14:59:59","1","0","10014","0"
"2021/02/28 12:00:00","0","1002","2015009","2","2021/08/15 14:59:59","2","0","10015","0"
"2021/08/15 15:00:00","0","1001","0","1","2021/08/31 11:59:59","1","0","10016","1005"
"2021/08/15 15:00:00","0","1002","2015009","2","2021/08/31 11:59:59","2","0","10017","1005"
"2021/08/31 12:00:00","0","1001","0","1","2022/02/15 14:59:59","1","0","10018","0"
"2021/08/31 12:00:00","0","1002","2015009","2","2022/02/15 14:59:59","2","0","10019","0"
"2022/02/15 15:00:00","1004","1001","0","1","2022/02/28 11:59:59","1","1004","10020","1006"
"2022/02/15 15:00:00","1004","1002","2015009","2","2022/02/28 11:59:59","2","1004","10021","1006"
"2022/02/28 12:00:00","0","1001","0","1","2022/08/15 14:59:59","1","0","10022","0"
"2022/02/28 12:00:00","0","1002","2015009","2","2022/08/15 14:59:59","2","0","10023","0"
"2022/08/15 15:00:00","0","1001","0","1","2022/08/31 11:59:59","1","0","10024","1007"
"2022/08/15 15:00:00","0","1002","2015009","2","2022/08/31 11:59:59","2","0","10025","1007"
"2022/08/31 12:00:00","0","1001","0","1","2023/02/15 14:59:59","1","0","10026","0"
"2022/08/31 12:00:00","0","1002","2015009","2","2023/02/15 14:59:59","2","0","10027","0"
"2023/02/15 15:00:00","1005","1001","0","1","2023/02/28 11:59:59","1","1005","10028","1008"
"2023/02/15 15:00:00","1005","1002","2015009","2","2023/02/28 11:59:59","2","1005","10029","1008"
"2023/02/28 12:00:00","0","1001","0","1","2023/08/15 14:59:59","1","0","10030","0"
"2023/02/28 12:00:00","0","1002","2015009","2","2023/08/15 14:59:59","2","0","10031","0"
"2023/03/15 12:00:00","0","1003","2201005","3","2023/08/15 14:59:59","2","0","10032","0"
"2023/08/15 15:00:00","0","1001","0","1","2023/08/31 11:59:59","1","0","10033","1009"
"2023/08/15 15:00:00","0","1002","2015009","2","2023/08/31 11:59:59","2","0","10034","1009"
"2023/08/31 12:00:00","0","1001","0","1","2024/02/14 23:59:59","1","0","10035","0"
"2023/08/31 12:00:00","0","1002","2015009","2","2024/02/14 23:59:59","2","0","10036","0"
"2023/08/15 15:00:00","0","1003","2201005","3","2023/08/31 11:59:59","2","0","10037","1009"
"2023/08/31 12:00:00","0","1003","2201005","3","2024/02/14 23:59:59","3","0","10038","0"
"2024/02/15","1006","1001","0","1","2024/02/29 11:59:59","1","1006","10039","1010"
"2024/02/15","1006","1002","2015009","2","2024/02/29 11:59:59","2","1006","10040","1010"
