d390dc94762ed07a32a06d40671000a0cbba2a40df504d78bc85f605be763e18,2b57039d83c8cf1531d5f3c1e2c1db948a23a0c696adc523580926192be61abe,779eb943ed0115b16a79d1fc713a5db22580456a830785fbd3bca3f016bf6dda,da5236791f50073cf7f5fa8b592be78d0c10f2aa4522ebb48b9f9ed30378770f,3f6b4c067446d3aa529e3ede936e819d3939fa1470d676c2329a1655afe64b2e,5eb5c0a38451c460da10f694af5e6fb3f6c7c6ed24e7b304f6b80fdbe1931ece,bc6785090ef192e8c9fe0128e09b492715712b5ea696708e27e2ece611cc586d,b13ee96ecfaf289ab1d0073ba227f1631cb920c8e3ac2241f74d0d08a73e33e8,f384f56aa5d21d219e3149442636650f5991bdced50560af1db687c8c6fdace4,cfe08b545f36dbe8f1d8abbad8dda368f04270c72c40b8417cde268598a5e92e,ad9246b968c649e8d411d52db85e1d084197b56eaba171e7daefe9fbef07e882,64f538cb116720b0aaa0d7fef5646836d2ca17229b1ff4047cf89fd7b7f57718,46564bf3edd46bb392aa7ed863a98434f2b04fec4ce9a07ad4aa0e5185573798,e1fe98e10584577b1aa04377a03fff113d5472bab915bc553d7dfe8eccd1cd5d,27000cdab641c197e1db601aac94230ba72e10fe4e58cbfe8c6555896b6a8aab,61477b5e38d0f2d0954d236ec137b81299d0d36ec9532870d2f6000e4831fea3
"1","0","0","0","1","0","-172","0","3","0","3001","0","-491","0","308","267"
"1","0","0","0","1","0","-84","0","3","0","3002","0","-206","0","348","267"
"1","0","0","0","1","0","-206","0","3","0","3003","0","100","0","348","267"
"1","0","0","0","1","0","-47","0","3","0","3004","0","437","0","348","267"
"1","0","0","0","1","0","-189","0","3","0","3005","0","0","0","398","267"
"1","0","0","150","1","0","-97","-100","3","0","3006","0","-357","0","300","346"
"1","0","0","150","1","0","-59","-100","3","0","3007","0","293","0","316","300"
"0","0","0","0","0.58","0","-100","0","4","0","4001","0","-475","0","270","267"
"0","0","0","0","0.65","0","-75","0","4","0","4002","0","-230","0","348","267"
"0","0","0","0","0.65","0","-210","0","4","0","4003","0","0","0","348","267"
"0","0","0","0","0.62","0","-89","0","4","0","4004","0","245","0","348","267"
"0","0","0","0","0.58","0","-70","0","4","0","4005","0","485","0","358","267"
"1","0","0","0","1.1","1","-150","0","4","0","4006","0","0","-20","300","346"
