e44d240ba77290530bdf4dd3dda05feafff0c875d2983454e5316a7aebfc60e8,20539474e22d323b9d6728172c30136096a04badfcf1ef198dd37007ed5e142d,31b2842ce333bc92581f2513caf471a178a3737be52450b59bfef89cdf8be353,07747ee65d783585f4d977443dab055b78ade4c732ac8414a6173a8e1fe52598,f6479e0bae0d9733e11d71d828a0ed33ef93e21adb8ea706eb5bb9f3e46d32b2,aabf6a0e8c0b31f9f3f9a2bedb509abc79181b3110dac8e407ddb6c4b54c9a59,f94533eb78e2b49a566a53c8f164cb60705f8f6fefbbcfcc3f3f28775f40e91b
"5201401","10201101","10201101","2025/01/31 12:00:00","10201","0","1"
"5201402","10201151","10201102","2025/02/06 12:00:00","10201","0","1"
"5201411","23","10201201","2025/01/31 12:00:00","10201","5201010","2"
"5201601","0","10201401","2025/02/06 12:00:00","10201","0","3"
"5202401","10202101","10202101","2025/02/28 12:00:00","10202","0","1"
"5202411","23","10202201","2025/02/28 12:00:00","10202","0","2"
"5203401","10203101","10203101","2025/03/31 12:00:00","10203","0","1"
"5203411","23","10203201","2025/03/31 12:00:00","10203","5203007","2"
"5204401","10204101","10204101","2025/04/30 12:00:00","10204","0","1"
"5204411","23","10204201","2025/04/30 12:00:00","10204","5204006","2"
"5205401","10205101","10205101","2025/05/31 12:00:00","10205","0","1"
"5205411","23","10205201","2025/05/31 12:00:00","10205","0","2"
"5206401","10206101","10206101","2025/06/30 12:00:00","10206","0","1"
"5206411","23","10206201","2025/06/30 12:00:00","10206","5206007","2"
"5207401","10207101","10207101","2025/07/31 12:00:00","10207","0","1"
"5207411","23","10207201","2025/07/31 12:00:00","10207","5207007","2"
"5208401","10208101","10208101","2025/08/31 12:00:00","10208","0","1"
"5208411","23","10208201","2025/08/31 12:00:00","10208","5208007","2"
"5209401","10209101","10209101","2025/09/30 12:00:00","10209","0","1"
"5209411","23","10209201","2025/09/30 12:00:00","10209","5209007","2"
"5210401","10210101","10210101","2025/10/31 12:00:00","10210","0","1"
"5210411","23","10210201","2025/10/31 12:00:00","10210","5210000","2"
"5211401","10211101","10211101","2025/11/30 12:00:00","10211","0","1"
"5211411","23","10211201","2025/11/30 12:00:00","10211","5211006","2"
"5212401","10212101","10212101","2025/12/31 12:00:00","10212","0","1"
"5212411","23","10212201","2025/12/31 12:00:00","10212","5212007","2"
