7a1e557ecd68e31c3ec35efbc6119cc5cb54b4971e5160253bb913c62d311e2e,114961deb495b007a8d3a7207a7d5272513846cceadf96bed21475e33def7533,d080975d18e287c29aac77577841adebf421eff14fde749cd1fe764ea1bf8f53,793aa0d10d4af90e1bb576a75b8a44657e8c514ad2153c4a470ca4dd89264115,9ec71379fedc6def36191b36def959dd64970eff912eb891699b61c1c80df85c,48b73e70af95074e3ad96315b2e7d71bfb175ee61e8a25940b747a15e9a3d564,937dd527efa90f73087c21b3418c0c18b14778ea3d3e0a97ce610956fafb617f,34423cf0c747b509e97e6d5c908b0398f40c1c0fd03d673af0391dd0b07a2962,016f8b6c0ae80b1bc78ae96b446e33e31a144f4d79edb204026c1c1f92b66467,d01f29a84b074f5e5513d4a15b93504c0d382d98d44cf6730c3c7e034d6ef0ed,636a5c71f0f96142def14ca28987b2457fe2aeac73bbb06ef832be42de01fdce
"1.3","1000001","<weapon>_idle","2","-100","-250","0","1001","1","55","110010001"
"1","100","","100","0","1","","1001","31","0","110010002"
"0","101","","101","0","1","","1001","31","0","110010003"
"1","4","","4","0","1","","1001","31","0","110010004"
"1","5","","5","0","1","","1001","31","94.5","110010005"
"","0","","0","","","","1001","91","","110010006"
"","0","","0.4","","","","1001","93","","110010007"
"0.2","<weapon>_joy_short","","1000001","","","","1001","3","0","110010008"
"","0","","1.3","","","","1001","93","","110010009"
"0","<weapon>_run","","1000001","","","","1001","3","1","110010010"
"","800","","1000001","1","0","","1001","2","-250","110010011"
"","0","","0.7","","","","1001","93","","110010012"
"","1","","101","","","","1001","32","","110010013"
"","0","","0.7","","","","1001","93","","110010014"
"1.3","1000001","<weapon>_run","2","-640","-250","0","1101","1","55","111010001"
"1","100","","100","0","1","","1101","31","0","111010002"
"0","101","","101","0","1","","1101","31","0","111010003"
"1","4","","4","0","1","","1101","31","0","111010004"
"","0","","4","","","","1101","35","","111010005"
"1","5","","5","0","1","","1101","31","0","111010006"
"1","10","","10","0","1","","1101","31","0","111010007"
"","","","0","","","","1101","91","","111010008"
"","1","","100","","","","1101","35","","111010009"
"","640","","1000001","2.1","0","","1101","2","-250","111010010"
"","0","","1.7","","","","1101","93","","111010011"
"","1","","101","","","","1101","32","","111010012"
"","0","","0.7","","","","1101","93","","111010013"
"1.3","1000001","look_loop","1","0","-240","0","2001","1","55","120010001"
"0","1","","1","0","1","0","2001","31","0","120010002"
"","0","","1","","","","2001","35","","120010003"
"","1","","1","","","","2001","32","","120010004"
"1","2","","2","0","1","0","2001","31","345.4","120010005"
"","0","","2","","","","2001","35","","120010006"
"0","3","","3","0","1","0","2001","31","345.4","120010007"
"","0","","3","","","","2001","35","","120010008"
"","1","","3","","","","2001","32","","120010009"
"1","31000001","","31000001","0","1","","2001","31","-345.4","120010010"
"1","31000002","","31000002","0","1","","2001","31","345.4","120010011"
"1","100","","100","0","1","","2001","31","0","120010012"
"0","101","","101","0","1","","2001","31","0","120010013"
"","","","0","","","","2001","91","","120010014"
"","1","","100","","","","2001","35","","120010015"
"0","look_in","","1000001","look_loop","1","0","2001","3","0","120010016"
"","0","","1.3","","","","2001","93","","120010017"
"0","998","","12","0","1","","2101","31","0","121010001"
"0","997","","14","0","1","","2101","31","0","121010002"
"0","996","","16","0","1","","2101","31","0","121010003"
"","0","","31000001","","","","2101","32","","121010004"
"","0","","31000002","","","","2101","32","","121010005"
"0","0","","0","1","0","","2101","121","-1","121010006"
"","1","","1","","","","2101","35","","121010007"
"","1","","3","","","","2101","35","","121010008"
"0","pointing","","1000001","","","","2101","3","0","121010009"
"","0","","1","","","","2101","93","","121010010"
"0","100","","505","1.47","2","","2101","121","-1.47","121010011"
"0.2","run_talk1","","1000001","","","","2101","3","1","121010012"
"","100","","1000001","1","0","","2101","2","-240","121010013"
"","se_travel_treasure_cha_run","","se_travel","","","","2101","23","0","121010014"
"","0","","1","","","","2101","93","","121010015"
"0","998","","11","0","1","","2201","31","0","122010001"
"0","997","","13","0","1","","2201","31","0","122010002"
"0","996","","15","0","1","","2201","31","0","122010003"
"","0","","31000001","","","","2201","32","","122010004"
"","0","","31000002","","","","2201","32","","122010005"
"","1","","1","","","","2201","35","","122010006"
"","1","","3","","","","2201","35","","122010007"
"0","pointing","","1000001","","","","2201","3","0","122010008"
"","0","","1","","","","2201","93","","122010009"
"0","100","","-505","1.47","2","","2201","121","1.47","122010010"
"0.2","run_talk1","","1000001","","","","2201","3","1","122010011"
"","100","","1000001","1","0","","2201","2","-240","122010012"
"","se_travel_treasure_cha_run","","se_travel","","","","2201","23","0","122010013"
"","0","","1","","","","2201","93","","122010014"
"0","300000","","300000","0","1","","3000","31","345.4","130000001"
"","","","0","","","","3000","91","","130000002"
"0","1.05","","1.05","1.05","7.4","","3000","123","1.05","130000003"
"0.2","wait","","1000001","","","","3000","3","0","130000004"
"","1","","2","","","","3000","35","","130000005"
"","0","","4.9","","","","3000","93","","130000006"
"0","0.95","","0.95","0.95","0.4","","3000","123","0.95","130000007"
"","1","","300000","","","","3000","32","","130000008"
"","0","","0.1","","","","3000","93","","130000009"
"","0","","2","","","","3000","32","","130000010"
"","0","","0.1","","","","3000","93","","130000011"
"","1","","996","","","","3000","32","","130000012"
"0","joy_from_wait","","1000001","","","","3000","3","0","130000013"
"","0","","1.9","","","","3000","93","","130000014"
"0","glad_from_joy","","1000001","","","","3000","3","0","130000015"
"","0","","1.5","","","","3000","93","","130000016"
"0.2","run_gatein","","1000001","","","","3000","3","1","130000017"
"","se_travel_treasure_cha_run","","se_travel","","","","3000","23","","130000018"
"","450","","1000001","1","0","","3000","2","-195","130000019"
"","1","","0.5","","","","3000","93","","130000020"
"0.4","1","","1000001","1","0","0","3000","6","1","130000021"
"","0","","0.4","","","","3000","93","","130000022"
"","","","1","","","","3000","113","","130000023"
"0","300100","","300100","0","1","","3001","31","345.4","130010001"
"1","990001","","990001","0","1","","3001","31","345.4","130010002"
"","","","0","","","","3001","91","","130010003"
"0","1.05","","1.05","1.05","7.4","","3001","123","1.05","130010004"
"0.2","wait","","1000001","","","","3001","3","0","130010005"
"","1","","2","","","","3001","35","","130010006"
"","0","","5.4","","","","3001","93","","130010007"
"0","0.95","","0.95","0.95","0.4","","3001","123","0.95","130010008"
"0.2","glad","","1000001","","","","3001","3","0","130010009"
"","1","","300100","","","","3001","32","","130010010"
"","1","","996","","","","3001","32","","130010011"
"","0","","0.1","","","","3001","93","","130010012"
"","0","","2","","","","3001","32","","130010013"
"","0","","3","","","","3001","32","","130010014"
"","0","","1.5","","","","3001","93","","130010015"
"0.2","joy","","1000001","","","","3001","3","0","130010016"
"","0","","1.7","","","","3001","93","","130010017"
"0","run_gatein","","1000001","","","","3001","3","1","130010018"
"","450","","1000001","1","0","","3001","2","-195","130010019"
"","1","","0.5","","","","3001","93","","130010020"
"0.4","1","","1000001","1","0","0","3001","6","1","130010021"
"","0","","0.4","","","","3001","93","","130010022"
"","","","1","","","","3001","113","","130010023"
"0","300100","","300100","0","1","","3002","31","345.4","130020001"
"1","990002","","990002","0","1","","3002","31","345.4","130020002"
"","","","0","","","","3002","91","","130020003"
"0","1.05","","1.05","1.05","7.4","","3002","123","1.05","130020004"
"0.2","wait","","1000001","","","","3002","3","0","130020005"
"","1","","2","","","","3002","35","","130020006"
"","0","","5.4","","","","3002","93","","130020007"
"0","0.95","","0.95","0.95","0.4","","3002","123","0.95","130020008"
"0.2","glad","","1000001","","","","3002","3","0","130020009"
"","1","","300100","","","","3002","32","","130020010"
"","1","","996","","","","3002","32","","130020011"
"","0","","0.1","","","","3002","93","","130020012"
"","0","","2","","","","3002","32","","130020013"
"","0","","3","","","","3002","32","","130020014"
"","0","","1.5","","","","3002","93","","130020015"
"0.2","joy","","1000001","","","","3002","3","0","130020016"
"","0","","1.7","","","","3002","93","","130020017"
"0","run_gatein","","1000001","","","","3002","3","1","130020018"
"","450","","1000001","1","0","","3002","2","-195","130020019"
"","1","","0.5","","","","3002","93","","130020020"
"0.4","1","","1000001","1","0","0","3002","6","1","130020021"
"","0","","0.4","","","","3002","93","","130020022"
"","","","1","","","","3002","113","","130020023"
"0","6","","6","0","1","","3011","31","345.4","130110001"
"0","8","","8","0","1","","3011","31","345.4","130110002"
"0","301100","","301100","0","1","","3011","31","345.4","130110003"
"","","","0","","","","3011","91","","130110004"
"0","1.05","","1.05","1.05","7.4","","3011","123","1.05","130110005"
"0.2","wait","","1000001","","","","3011","3","0","130110006"
"","1","","2","","","","3011","35","","130110007"
"","0","","4.9","","","","3011","93","","130110008"
"0","0.95","","0.95","0.95","0.3","","3011","123","0.95","130110009"
"","se_travel_treasure_ghost_success","","se_travel","","","","3011","23","0","130110010"
"","1","","8","","","","3011","32","","130110011"
"","0","","8","","","","3011","35","","130110012"
"","1","","6","","","","3011","32","","130110013"
"","0","","0.1","","","","3011","93","","130110014"
"","0","","2","","","","3011","32","","130110015"
"","0","","3","","","","3011","32","","130110016"
"","dotEyes","","1000001","","","","3011","3","0","130110017"
"","0","","0.87","","","","3011","93","","130110018"
"0.2","glad","","1000001","","","","3011","3","0","130110019"
"","1","","301100","","","","3011","32","","130110020"
"","1","","8","","","","3011","35","","130110021"
"","0","","0.6","","","","3011","93","","130110022"
"","1","","996","","","","3011","32","","130110023"
"","0","","0.5","","","","3011","93","","130110024"
"","joy","","1000001","","","","3011","3","0","130110025"
"","0","","1.67","","","","3011","93","","130110026"
"0","run_gatein","","1000001","","","","3011","3","1","130110027"
"","450","","1000001","1","0","","3011","2","-195","130110028"
"","1","","0.5","","","","3011","93","","130110029"
"0.4","1","","1000001","1","0","0","3011","6","1","130110030"
"","0","","0.4","","","","3011","93","","130110031"
"","","","1","","","","3011","113","","130110032"
"0.2","idle","","1000001","","","","3012","3","1","130120001"
"0","13","","301200","0","1","","3012","31","0","130120002"
"0","14","","101","0","1","","3012","31","0","130120003"
"0","16","","301204","-150","1","","3012","31","260","130120004"
"0","17","","301205","0","1","","3012","31","0","130120005"
"0","18","","6","0","1","","3012","31","345.4","130120006"
"0","20","","301201","0","1","","3012","31","345.4","130120007"
"0","21","","301202","0","1","","3012","31","345.4","130120008"
"1","3","round_monster_walk","1","9340","-234","0","3012","5","55","130120009"
"","","","0","","","","3012","91","","130120010"
"0","1","","3","1","0","0","3012","6","1","130120011"
"0","345","","3","0","0","0","3012","2","-234","130120012"
"0","1.05","","1.05","1.05","7.4","0","3012","123","1.05","130120013"
"0.2","wait","","1000001","","","","3012","3","0","130120014"
"","1","","2","","","","3012","35","","130120015"
"0","15","","301203","0","1","","3012","31","0","130120016"
"0.89","1000002","<weapon>_run","2","9340","-250","0","3012","1","57","130120017"
"","0","","4.3","","","","3012","93","","130120018"
"0","0.95","","0.95","0.95","0.4","","3012","123","0.95","130120019"
"","1","","21","","","","3012","32","","130120020"
"","0","","21","","","","3012","35","","130120021"
"","se_travel_treasure_success_monster_helper_1","","se_travel","","","","3012","23","","130120022"
"","1","","18","","","","3012","32","","130120023"
"","0","","0.1","","","","3012","93","","130120024"
"","0","","2","","","","3012","32","","130120025"
"0.3","1","","3","1","1","0","3012","6","1","130120026"
"","1","","13","","","","3012","32","","130120027"
"","round_monster_appear","","3","","","","3012","3","0","130120028"
"","back","","1000001","","","","3012","3","0","130120029"
"","0","","0.67","","","","3012","93","","130120030"
"0.2","round_monster_walk","","3","","","","3012","3","0","130120031"
"","220","","3","1.4","0","","3012","2","-234","130120032"
"","1","","20","","","","3012","32","","130120033"
"","0","","0.1","","","","3012","93","","130120034"
"","0","","18","","","","3012","32","","130120035"
"","0","","0.5","","","","3012","93","","130120036"
"","1","","1000002","","","","3012","4","","130120037"
"","1445","","1000002","0","0","","3012","2","-240","130120038"
"","0","","0.5","","","","3012","93","","130120039"
"0.3","round_monster_attack","","3","","","","3012","3","0","130120040"
"","0","","0.5","","","","3012","93","","130120041"
"","1","","17","","","","3012","32","","130120042"
"0.1","back_loop","","1000001","","","","3012","3","0","130120043"
"","0","","0.5","","","","3012","93","","130120044"
"","950","","1000002","0","0","","3012","2","-240","130120045"
"","650","","1000002","0.16","0","","3012","2","-240","130120046"
