4021a9a51eed12aa4fd8eb9187817d658a8762074df06aba2167841dcf6b4f11,643e14cc03d7c70f6a510e5fbdbf4f1bcdbd46b7d76ad529d3cbee14e3fb3534,7d364a687a4271d731d9479edf7699ab3183862882c9c2b2fadc7078c3a22ab5,2499d9127297e47e7e88fe2c510d21ff4e4fe3fcae85cef0f4e21eadf5b0912b,2ac0202f9dce44fd7f01577359ece172505ac229127157337bcdec944804769d,5ebc75b29d1aafd6bddc3955e148de2646f7ceaee8da4e0b7fb8e2a0fe764ae0
"1","10","0","1","150","150"
"2","10","0","1","400","250"
"3","10","0","1","800","400"
"1","20","0","2","150","150"
"2","20","0","2","400","250"
"3","20","0","2","800","400"
"4","20","1","2","1300","500"
"1","30","0","3","800","800"
"2","30","0","3","1800","1000"
"3","30","0","3","3000","1200"
"4","30","1","3","4400","1400"
"5","30","2","3","6000","1600"
"1","40","0","4","800","800"
"2","40","0","4","1800","1000"
"3","40","0","4","3000","1200"
"4","40","1","4","4400","1400"
"5","40","2","4","6000","1600"
"0","0","0","5","0","0"
