5142b79793350539bea9dbf073910fa5c67068ac2109e3aeb6a4c5253e37099b,ace997ad561feb0e2854192e8a83202a0b3f29fe1860ce9aaaa5346f3cfd06a2,88f0dc53f058bdef102e006bd34f6fcaaf6b696307d736c863e03c24547cf134,e383007ddfa7684b70482039c568583185685b3cf56976ee5ef2113368f6f092,437ab3d0d717f02e81e13e0d5a2ba474bc2604b523e4d618116ec8a750ed1878,a70c9da987a4c98d6befb53b9aff4aecba6ea9fa35e74277d7196217d805b510,b4a7d09ba6b665195f616a1e58c71075b3933832abe72ff16d09b1f2cd4f776f,6daa734c9c21795e2808ad5a90f68504dac7f31c029869a0a768f714c24e6d18,d900a34df7736ebb1575f028bf2e415061868a83b25421c872f6454827a69f1d,508b5b54a9177e8083dc6f5c3b34b35d2e3a15ea8315fe802b607efae54c3d1c,09ebad9d851a859c26f0607b4fbd758c53faa1e135f2a45550610221852ad230,b715b04a93e945048fdd5f5e772424821388d4eb9301b9dbbd32c47955acf080,51da88601f877a3273bec4c06bc233610575f9ee6ab925bcfe66a495d0d59987,ff20356b8265c883804f4e79e93f2362d152c9d3a3b61d6d9060768f6847d605
"-416.5","190801","2020/03/31 12:00:00","1","10038","0","10038001","2","2020/04/18 14:59:59","53","3.414","カリン","1","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください"
"-416.5","190801","2020/03/31 12:00:00","1","10038","0","10038002","2","2020/04/18 14:59:59","53","3.099","カリン","2","ミッションをクリアして、\n報酬をゲットしましょう！"
"-416.5","190801","2020/03/31 12:00:00","1","10038","0","10038003","2","2020/04/18 14:59:59","54","2.801","カリン","3","受け取ることができる\n報酬があるようです\n確認してみてください"
"-416.5","190801","2020/03/31 12:00:00","2","10038","0","10038004","2","2020/04/18 14:59:59","54","0","カリン","4","報酬がもらえますよ！\nチェックしてみてください"
"-416.5","190801","2020/03/31 12:00:00","1","10038","0","10038005","1","2020/04/18 14:59:59","57","0","カリン","5","イベントお疲れ様です！\n皆さんのご活躍ぶりには\nいつも感謝しています"
"-363","190801","2020/03/31 12:00:00","1","10038","0","10038006","2","2020/04/18 14:59:59","55","5.506","カリン","1","ギルド管理協会です！\n討伐証をお持ちでしたら、\n報酬交換できますよ"
"-363","190801","2020/03/31 12:00:00","2","10038","0","10038007","1","2020/04/18 14:59:59","55","1.216","カリン","2","お疲れ様です！\nここでは、討伐証と報酬を\n交換することができます！"
"-363","190801","2020/03/31 12:00:00","2","10038","0","10038008","1","2020/04/18 14:59:59","56","1.539","カリン","3","お疲れ様でした\n討伐証の交換、\nお忘れないように！"
"-363","190801","2020/03/31 12:00:00","2","10038","0","10038009","1","2020/04/18 14:59:59","56","1.875","カリン","4","終わっちゃいましたねー\n討伐証は努力の証！\n報酬と交換しましょう！"
"-285","110901","2020/03/31 12:00:00","1","10038","8","10038101","7","2020/04/18 14:59:59","51","9.376","チエル","101",""
