b76e3a0e19179e9ca3fe91a80046b80cb1d84f7ed4d8b7dbd8f6cddd2d1ed11e,9b17253e587034083bd1d9429e0e6879c79302eaac17da3164ed623d6acb553b,3c821421d3a662e59e5f1f17e59cba083b595acf9f75b53097dab03a975d9cc9,f387850ea06c20c3e7207c9945afe752c4b056263b5b361a39be5b4e3423be0d,45341920ff2c06e3d7fc4a84064c38e16cd0f9a1180dae6fc27893d6d5ab514e,7d38dfff5d792825a092fd7c43541b28467eacc64d8ecf43aa78122d04f0999f,ddac17279ee013df83f1d3c577c059521c11f96b77cc184a2fd36d8218ec91db,e8c7e565e9a9fa1dd7e7a757b84855bc336b28fa5db402b8e1d7f7b4367c86ba,97236d7203fd47a8c798768802ee5b7e38550a6202564c5bcf2b606b10a372cf,6886248362f559593dd4506027999fd79e21d51edea2d618d19734d9d1991904,a0430ee9ca7c0c946604aa5cb44a5b2776f2300518a065bbcb39b1a18d26f7c8,44636d4272efca636c724d2ac63925046ba878de0d0c171b025ee3423bbf9992
"0.8","0","1009801","4","1","0","0","0","0","1","0","100980101"
"0","0","1009801","2","0","vo_lsv_0101","0","0","0","2","vo_lsv","100980102"
"0","300","1009801","1","0","0","0","1","2","3","0","100980103"
"2.3","0","1009801","4","1","0","0","0","0","4","0","100980104"
"0","280","1009801","1","0","0","0","2","2","5","0","100980105"
"3","0","1009801","4","1","0","0","0","0","6","0","100980106"
"0","0","1009801","2","0","vo_lsv_0102","0","0","0","7","vo_lsv","100980107"
"0","300","1009801","1","0","0","0","3","2.05","8","0","100980108"
"2.05","0","1009801","4","1","0","0","0","0","9","0","100980109"
"0","327","1009801","1","0","0","0","4","1.8","10","0","100980110"
"2.8","0","1009801","4","1","0","0","0","0","11","0","100980111"
"0","0","1009801","2","0","vo_lsv_0103","0","0","0","12","vo_lsv","100980112"
"0","300","1009801","1","0","0","0","5","2.3","13","0","100980113"
"2.5","0","1009801","4","1","0","0","0","0","14","0","100980114"
"0","275","1009801","1","0","0","0","6","1.9","15","0","100980115"
"2.9","0","1009801","4","1","0","0","0","0","16","0","100980116"
"0","0","1009801","2","0","vo_lsv_0104","0","0","0","17","vo_lsv","100980117"
"0","300","1009801","1","0","0","0","7","2.7","18","0","100980118"
"2.9","0","1009801","4","1","0","0","0","0","19","0","100980119"
"0","310","1009801","1","0","0","0","8","2.3","20","0","100980120"
"2.3","0","1009801","4","1","0","0","0","0","21","0","100980121"
"0","250","1009801","1","0","0","0","9","1.8","22","0","100980122"
"2.8","0","1009801","4","1","0","0","0","0","23","0","100980123"
"0","0","1009801","2","0","vo_lsv_0105","0","0","0","24","vo_lsv","100980124"
"0","320","1009801","1","0","0","0","10","2.5","25","0","100980125"
"2.5","0","1009801","4","1","0","0","0","0","26","0","100980126"
"0","165","1009801","1","0","0","15","11","0.7","27","0","100980127"
"0.8","0","1009802","4","1","0","0","0","0","1","0","100980201"
"0","0","1009802","2","0","vo_lsv_0201","0","0","0","2","vo_lsv","100980202"
"0","300","1009802","1","0","0","0","1","1.51","3","0","100980203"
"1.51","0","1009802","4","1","0","0","0","0","4","0","100980204"
"0","300","1009802","1","0","0","0","2","1.5","5","0","100980205"
"2.5","0","1009802","4","1","0","0","0","0","6","0","100980206"
"0","0","1009802","2","0","vo_lsv_0202","0","0","0","7","vo_lsv","100980207"
"0","300","1009802","1","0","0","0","3","1.8","8","0","100980208"
"1.8","0","1009802","4","1","0","0","0","0","9","0","100980209"
"0","300","1009802","1","0","0","0","4","1.1","10","0","100980210"
"2.1","0","1009802","4","1","0","0","0","0","11","0","100980211"
"0","0","1009802","2","0","vo_lsv_0203","0","0","0","12","vo_lsv","100980212"
"0","300","1009802","1","0","0","0","5","1.95","13","0","100980213"
"1.95","0","1009802","4","1","0","0","0","0","14","0","100980214"
"0","310","1009802","1","0","0","0","6","2.05","15","0","100980215"
"2.05","0","1009802","4","1","0","0","0","0","16","0","100980216"
"0","150","1009802","1","0","0","0","7","0.8","17","0","100980217"
"1.8","0","1009802","4","1","0","0","0","0","18","0","100980218"
"0","0","1009802","2","0","vo_lsv_0204","0","0","0","19","vo_lsv","100980219"
"0","300","1009802","1","0","0","0","8","1.7","20","0","100980220"
"2.1","0","1009802","4","1","0","0","0","0","21","0","100980221"
"0","327","1009802","1","0","0","0","9","2.3","22","0","100980222"
"3.3","0","1009802","4","1","0","0","0","0","23","0","100980223"
"0","0","1009802","2","0","vo_lsv_0205","0","0","0","24","vo_lsv","100980224"
"0","300","1009802","1","0","0","0","10","1.83","25","0","100980225"
"2.4","0","1009802","4","1","0","0","0","0","26","0","100980226"
"0","300","1009802","1","0","0","0","11","1.7","27","0","100980227"
"2.1","0","1009802","4","1","0","0","0","0","28","0","100980228"
"0","210","1009802","1","0","0","0","12","1.1","29","0","100980229"
"0.5","0","1009802","4","1","0","0","0","0","30","0","100980230"
"0.8","0","1009803","4","1","0","0","0","0","1","0","100980301"
"0","0","1009803","2","0","vo_lsv_0301","0","0","0","2","vo_lsv","100980302"
"0","300","1009803","1","0","0","0","1","1.87","3","0","100980303"
"2","0","1009803","4","1","0","0","0","0","4","0","100980304"
"0","110","1009803","1","0","0","0","2","0.561","5","0","100980305"
"1.561","0","1009803","4","1","0","0","0","0","6","0","100980306"
"0","0","1009803","2","0","vo_lsv_0302","0","0","0","7","vo_lsv","100980307"
"0","320","1009803","1","0","0","110","2","1.3","8","0","100980308"
"1.3","0","1009803","4","1","0","0","0","0","9","0","100980309"
"0","227","1009803","1","0","0","0","3","1.2","10","0","100980310"
"2.2","0","1009803","4","1","0","0","0","0","11","0","100980311"
"0","0","1009803","2","0","vo_lsv_0303","0","0","0","12","vo_lsv","100980312"
"0","280","1009803","1","0","0","0","4","2.1","13","0","100980313"
"2.1","0","1009803","4","1","0","0","0","0","14","0","100980314"
"0","195","1009803","1","0","0","0","5","1.2","15","0","100980315"
"2.2","0","1009803","4","1","0","0","0","0","16","0","100980316"
"0","0","1009803","2","0","vo_lsv_0304","0","0","0","17","vo_lsv","100980317"
"0","300","1009803","1","0","0","0","6","1.305","18","0","100980318"
"1.305","0","1009803","4","1","0","0","0","0","19","0","100980319"
"0","325","1009803","1","0","0","0","7","2.181","20","0","100980320"
"2.781","0","1009803","4","1","0","0","0","0","21","0","100980321"
"0","250","1009803","1","0","0","0","8","1.32","22","0","100980322"
"2.32","0","1009803","4","1","0","0","0","0","23","0","100980323"
"0","0","1009803","2","0","vo_lsv_0305","0","0","0","24","vo_lsv","100980324"
"0","300","1009803","1","0","0","0","9","2.453","25","0","100980325"
"2.453","0","1009803","4","1","0","0","0","0","26","0","100980326"
"0","215","1009803","1","0","0","0","10","1.547","27","0","100980327"
"2.547","0","1009803","4","1","0","0","0","0","28","0","100980328"
"0","0","1009803","2","0","vo_lsv_0306","0","0","0","29","vo_lsv","100980329"
"0","300","1009803","1","0","0","0","11","1.95","30","0","100980330"
"2.95","0","1009803","4","1","0","0","0","0","31","0","100980331"
"0","0","1009803","2","0","vo_lsv_0307","0","0","0","32","vo_lsv","100980332"
"0","240","1009803","1","0","0","0","12","1.39","33","0","100980333"
"0.8","0","1009804","4","1","0","0","0","0","1","0","100980401"
"0","0","1009804","2","0","vo_lsv_0401","0","0","0","2","vo_lsv","100980402"
"0","300","1009804","1","0","0","0","1","2.4","3","0","100980403"
"2.4","0","1009804","4","1","0","0","0","0","4","0","100980404"
"0","150","1009804","1","0","0","0","2","0.6","5","0","100980405"
"1.6","0","1009804","4","1","0","0","0","0","6","0","100980406"
"0","0","1009804","2","0","vo_lsv_0402","0","0","0","7","vo_lsv","100980407"
"0","355","1009804","1","0","0","0","3","2.35","8","0","100980408"
"3.35","0","1009804","4","1","0","0","0","0","9","0","100980409"
"0","0","1009804","2","0","vo_lsv_0403","0","0","0","10","vo_lsv","100980410"
"0","300","1009804","1","0","0","0","4","1.669","11","0","100980411"
