48ee249bf09a6c46b55627eb41abf1b28c44eb115c89ea5aa421ba01334d4f87,e5e2517770071ef94b86c40a872e8e52d85163289103c45fa235d87b9eb7df2c,e808215fbd0da57a5e70774ef98d907b054060ed2532ec3de56e7fb55668a152,13f6d11a6063e7073236e65677e8b15eceb4c62639ce595b46523811406e89f9,9e84d8c0b156ecfd726a94c20290d50bdb33c111e7a9d1b3616dd5f459ea65a1,47a0fd731e5fe41ae7eb8189650dd193f17c4797b7e802200fc855429d946b90,1175cdb0fe38aa7b924d817014dbe546ab2d669e3ace847878fbae3e7bf2bfd9,8aaea27195dc3f1d30511ec5b036030a620c5705b9e8f53f1cd391382d18dd3d,25c2333ac53bc52c51729506c22ee7d3514e123d7c2c38fbf46d4f75344d3237,b6f61014caae09db9daae0a34641639f16f1bf3e0a1c9aabeab2266c93e9d921,4ab50201f22192291d23944bbed85393551cda31b354cef59f220b4134b602f2,4a821b86fddf8ebd83c3b35377faa6b26173e4062151219b0c1edd0b13049bf4,f47137e661ee2135827bd68ae09f870fd655b332cef26b5da0875c6e6d23baa1,a8e6616b5466c557bfeaecbd91e859bb518ee35b4f08ee9e0228fe943b9de5f2,f69772768375965f78d7723acbe956c2ca559eb1b6718d88093c57092c9e7021,0fa1ae34f0e5ac99f4df0e05b4aeaa184df81ff59628ac9dd1b40eb518a9a94e,36583c7c885187c3e8fccc93d573dd1be64781a63543d5c453cccae5c38ef569,20ce34daaf3fdb5a098d0ef08121b533ed86a94beac8089a749c77baf08baa36,abd674cc513a04c1f8026553c32bd1bbe4086235570c78f0b955627e3d021203
"1","1001","112201","6","100003","6","103401","6","90","100701","105501","0","1","6","-100","6","123001","100111","100701"
"2","1001","105101","6","100003","6","103401","6","90","103401","100901","0","1","6","-100","6","123001","100112","106601"
"3","1001","106901","6","100003","6","113401","6","90","110301","110301","0","1","6","-100","6","101801","100113","112701"
"1","1001","123001","4","100003","4","103401","4","90","100201","117301","0","2","5","-100","4","100201","100121","102901"
"2","1001","110301","4","100003","4","117301","4","90","104001","105101","0","2","4","-100","4","104001","100122","104801"
"3","1001","100801","4","100003","4","118001","4","90","101401","118501","0","2","4","-100","5","111001","100123","101401"
"1","1001","123001","1","100003","1","117301","2","90","112201","112201","0","3","3","-100","2","100801","100131","100701"
"2","1001","105501","1","100003","2","106601","2","90","105501","103401","0","3","1","-100","1","112201","100132","100501"
"3","1001","110301","1","100003","3","104801","1","90","124501","113401","0","3","2","-100","2","124501","100133","105401"
"1","1002","105001","6","100003","6","103401","6","90","111401","117301","0","1","6","-100","6","111401","100211","106601"
"2","1002","123001","6","100003","6","105401","6","90","113401","113401","0","1","6","-100","6","100801","100212","105201"
"3","1002","123001","6","100003","6","103401","6","90","105501","105501","0","1","6","-100","6","107701","100213","100501"
"1","1002","100901","4","100003","4","103401","4","90","122801","124101","0","2","4","-100","5","119001","100221","122801"
"2","1002","121101","4","100003","5","100501","4","90","100501","103401","0","2","4","-100","4","123001","100222","105201"
"3","1002","123001","4","100003","5","103401","4","90","118501","105501","0","2","5","-100","4","118501","100223","100701"
"1","1002","102601","1","100003","3","108901","2","90","108901","103401","0","3","1","-100","1","123001","100231","105201"
"2","1002","112201","1","100003","3","102601","1","90","104801","113401","0","3","2","-100","2","123001","100232","104801"
"3","1002","110301","1","100003","7","114701","2","90","106001","100501","0","3","2","-100","1","106001","100233","100701"
"1","1003","123001","6","100003","6","122801","6","90","102901","103401","0","1","6","-100","6","125101","100311","102901"
"2","1003","110301","6","100003","6","106601","6","90","180301","180301","0","1","6","-100","6","111001","100312","105401"
"3","1003","118001","6","100003","6","121401","6","90","121401","123001","0","1","6","-100","6","118501","100313","101401"
"1","1003","110301","4","100003","5","106601","4","90","114701","103401","0","2","4","-100","4","123001","100321","114701"
"2","1003","106901","4","100003","4","117301","4","90","106901","110301","0","2","5","-100","4","180201","100322","100701"
"3","1003","113401","4","100003","5","117501","4","90","124501","105101","0","2","4","-100","4","124501","100323","103401"
"1","1003","102601","1","100003","3","108101","8","90","108101","117301","0","3","1","-100","2","123001","100331","103401"
"2","1003","123501","1","100003","8","103401","1","90","108201","112701","0","3","2","-100","2","108201","100332","100701"
"3","1003","100801","1","100003","8","123001","3","90","108301","101001","0","3","1","-100","1","108301","100333","101401"
"1","1004","100901","6","100003","6","106601","6","90","106601","103401","0","1","6","-100","6","110301","100411","114701"
"2","1004","103401","6","100003","6","100501","6","90","180401","105401","0","1","6","-100","6","106901","100412","180401"
"3","1004","123001","6","100003","6","105501","6","90","100801","101401","0","1","6","-100","6","100801","100413","103401"
"1","1004","110301","4","100003","4","106601","4","90","105401","180301","0","2","4","-100","4","118001","100421","105401"
"2","1004","124501","4","100003","4","113401","4","90","101801","110301","0","2","5","-100","4","101801","100422","105301"
"3","1004","105501","4","100003","5","123301","4","90","123301","103401","0","2","4","-100","4","123001","100423","105201"
"1","1004","110301","3","100003","8","125801","3","90","126101","126101","0","3","2","-100","3","108301","100431","126001"
"2","1004","123001","7","100003","8","103401","1","90","103301","121101","0","3","3","-100","2","108301","100432","103301"
"3","1004","123001","7","100003","7","117301","2","90","105801","180501","0","3","3","-100","2","106001","100433","105801"
"1","1005","112201","6","100003","6","103401","6","90","105501","105501","0","1","6","-100","6","123001","100511","100701"
"2","1005","105101","6","100003","6","103401","6","90","100901","100901","0","1","6","-100","6","123001","100512","106601"
"3","1005","106901","6","100003","6","113401","6","90","112701","110301","0","1","6","-100","6","101801","100513","112701"
"1","1005","123801","4","100003","4","106601","4","90","100101","100101","0","2","4","-100","4","110301","100521","114701"
"2","1005","102601","4","100003","4","103401","4","90","102601","105501","0","2","4","-100","4","112201","100522","105201"
"3","1005","110301","4","100003","4","119201","4","90","119201","105501","0","2","4","-100","4","121401","100523","105401"
"1","1005","107701","1","100003","8","106601","1","90","106601","103401","0","3","8","-100","1","108301","100531","105201"
"2","1005","123001","3","100003","8","103401","1","90","127901","126101","0","3","3","-100","3","108301","100532","127901"
"3","1005","123001","7","100003","8","123301","2","90","108401","102601","0","3","3","-100","1","108401","100533","105801"
"1","1006","105001","6","100003","6","103401","6","90","111401","117301","0","1","6","-100","6","111401","100611","106601"
"2","1006","123001","6","100003","6","105401","6","90","113401","113401","0","1","6","-100","6","100801","100612","105201"
"3","1006","123001","6","100003","6","103401","6","90","107701","105501","0","1","6","-100","6","107701","100613","100501"
"1","1006","105001","4","100003","4","103401","4","90","112201","112201","0","2","4","-100","4","111401","100621","106601"
"2","1006","105501","4","100003","5","105401","4","90","123001","105301","0","2","4","-100","4","123001","100622","102901"
"3","1006","112201","4","100003","5","117301","4","90","117301","101401","0","2","4","-100","4","123001","100623","100701"
"1","1006","106001","3","100003","8","103401","1","90","128301","105501","0","3","7","-100","1","108301","100631","128301"
"2","1006","123001","1","100003","8","106601","1","90","106501","123301","0","3","3","-100","2","108301","100632","106501"
"3","1006","123001","8","100003","8","102601","1","90","109001","110301","0","3","3","-100","2","107701","100633","109001"
"1","1007","123001","6","100003","6","122801","6","90","125101","103401","1001","1","6","-100","6","125101","100711","102901"
"2","1007","110301","6","100003","6","106601","6","90","111001","180301","1001","1","6","-100","6","111001","100712","105401"
"3","1007","118001","6","100003","6","121401","6","90","118001","123001","1001","1","6","-100","6","118501","100713","101401"
"1","1007","123001","4","100003","4","103401","4","90","100201","117301","1001","2","5","-100","4","100201","100721","102901"
"2","1007","110301","4","100003","4","117301","4","90","105101","105101","1001","2","4","-100","4","104001","100722","104801"
"3","1007","100801","4","100003","4","118001","4","90","100801","118501","1001","2","4","-100","4","111001","100723","101401"
"1","1007","123001","3","100003","3","123301","2","90","128801","102601","1001","3","3","-100","1","118501","100731","128801"
"2","1007","128901","1","100003","8","103401","1","90","128901","105501","1001","3","3","-100","1","108301","100732","104501"
"3","1007","123001","3","100003","8","128701","3","90","128701","117301","1001","3","3","-100","2","108301","100733","128301"
"1","1008","112201","6","100003","6","103401","6","90","100701","105501","1002","1","6","-100","6","123001","100811","100701"
"2","1008","105001","6","100003","6","103401","6","90","111401","117301","1002","1","6","-100","6","111401","100812","106601"
"3","1008","123001","6","100003","6","122801","6","90","102901","103401","1002","1","6","-100","6","125101","100813","102901"
"1","1008","101201","4","100003","4","103401","4","90","110301","110301","1002","2","4","-100","4","111401","100821","104601"
"2","1008","106901","4","100003","5","106601","4","90","106601","113401","1002","2","5","-100","4","123001","100822","105201"
"3","1008","123001","4","100003","4","105501","4","90","123001","101401","1002","2","5","-100","4","100801","100823","103401"
"1","1008","108801","1","100003","8","103401","1","90","108801","112201","1002","3","1","-100","2","108301","100831","108901"
"2","1008","107701","1","100003","3","108901","1","90","129001","126101","1002","3","8","-100","3","129001","100832","100701"
"3","1008","123001","1","100003","1","126101","3","90","100201","101401","1002","3","3","-100","1","100201","100833","103401"
"1","1009","100901","6","100003","6","106601","6","90","100901","103401","1003","1","6","-100","6","110301","100911","114701"
"2","1009","103401","6","100003","6","100501","6","90","106901","105401","1003","1","6","-100","6","106901","100912","180401"
"3","1009","123001","6","100003","6","105501","6","90","101401","101401","1003","1","6","-100","6","100801","100913","103401"
"1","1009","100901","4","100003","4","103401","4","90","122801","124101","1003","2","4","-100","4","119001","100921","122801"
"2","1009","121101","4","100003","5","100501","4","90","100501","103401","1003","2","4","-100","4","123001","100922","105201"
"3","1009","123001","4","100003","5","103401","4","90","103401","105501","1003","2","5","-100","4","118501","100923","100701"
"1","1009","101601","2","100003","8","104901","7","90","120001","103401","1003","3","7","-100","1","108301","100931","120001"
