37789d54fea4a481d09432c138c1a7fef7971ea27ff0515f67ddb3809374bddb,a0ee31825218fa7f1c6cfa127ecd2f9dfb3a56e33285424cdaeca6a3cf5f9a18,7d58fe69ec96951055b917bab7cf6e9e696e04c6cfcb3fc7bff3c0e546da0f9e,2974e892e7b6ef14d1459141a7d68f09171c65d7d815b4e0a146fc42260b1ba4,472e336e5f4076766b305b135a0c44474d303c0c7621081d858b363d70ffb9e9,6c05db47297f9cbb6814ea378bc93d1ac643015fed2f37c5701180b809e378f2,63a7a9e4bdf298c586b1dea6dbd8d4b89e211c79dd91bb7672cbfcd3cf868edd,6bdf9f87cf4ca7d06f45693f30a545f45103d681014d0a7dcf90df9d557d4cf6,69d3162501ab0eee0d1537b41bf88be6b280f30c1e16de663ebc99f84d9f3d72,b814c8384c4fa3f605b2a308b60d941ba1165cf7d4e2abaa3aaaae072ee309d9,dc3bb1fb19bf248060c0c6bc5f47e53740e9f0e7034eb097568fe94e2c5a90bf
"1","1","pkb_idle_normal","1","-175","113511","64","100","1","1.65","1010001"
"1","","","113511","","pkb_talk_wish","","1","3","0.2","1010002"
"1","","","vo_minigame_1006","","vo_minigame_1006_top_101","0","0","21","","1010003"
"1","0","0","113511","0","今日も先生と一緒に\n頑張りましょうね～","0","8","11","0","1010004"
"1","","","0","","","","","91","","1010005"
"1","","","113511","","pkb_idle_normal","","1","3","0.2","1010006"
"2","1","pkb_idle_normal","1","-175","113511","64","100","1","1.65","1020001"
"2","","","113511","","pkb_talk_wish","","1","3","0.2","1020002"
"2","","","vo_minigame_1006","","vo_minigame_1006_top_102","0","0","21","","1020003"
"2","0","0.5","113511","0","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","0","6","11","0","1020004"
"2","","","6","","","","","93","","1020005"
"2","","","113511","1","pkb_talk_fun","pkb_idle_normal","0","3","0.2","1020006"
"2","","","1020004","","","","","91","","1020007"
"2","","","113511","","pkb_idle_normal","","1","3","0.2","1020008"
"3","1","pkb_idle_normal","1","-175","113511","64","100","1","1.65","1030001"
"3","0.2","","113511","1","pkb_smile","pkb_idle_normal","0","3","0.2","1030002"
"3","","","vo_minigame_1006","","vo_minigame_1006_top_103","0","0","21","","1030003"
"3","0","0","113511","0","ケガには気を付けてね\n無理は禁物ですよ～♪","0","6","11","0","1030004"
"3","","","2","","","","","93","","1030005"
"3","","","113511","","pkb_talk_wish","","1","3","0.2","1030006"
