0d878fd545fa35c73a4f0e46c21c6d7e1971980cfc6ad2432d4c4fa6ece8c628,a2af2227cc1f7650708008e43790f33a539ea3a96406d95a905403d73313d1ef,9c70926d3ce17ad26e6a3e3b065828335664ee75bef460874d5672a3b1111a58,2c77e5f206b36b3db9d6b0d3b228bc3af93ac536b1b1ff6439e9aec3b8097559,cd73a4a09e94da2c74c4c752ea0de4f2f31a613951845491f564bac4bb21bdff,047e1c72a15b94dd0e0c9caf3d39e763306a7661a34d51a667c9887c9389cc1a,156b89b02530eee1fd52839f2b6c972a3d5efadc761aee70bb454ab841a2e252,261cdc69c12287a69734b9e0bb1be77485cde513dafbc80b542105d8964baa90,651fa6faab3d44aecaecd12039de448e1c1516a911f750657a21cd42baa28696,3f6abb14ff80037ce0b3d5bf8a1e04dba3e7e1d1962306cb1114045bb7439916
"1","0","10","90001","1","12000","30000","0","10000","90043"
"2","0","20","90002","2","24000","30000","0","10000","90047"
"3","0","20","90002","3","24000","30000","0","10000","90047"
"4","0","20","90002","4","24000","30000","0","10000","90047"
"5","0","20","90002","5","24000","30000","0","10000","90047"
"6","0","20","90002","6","24000","30000","0","10000","90047"
"7","0","20","90002","7","24000","30000","0","10000","90047"
"8","0","20","90002","8","24000","30000","0","10000","90047"
"9","0","20","90002","9","24000","30000","0","10000","90047"
"10","1","20","90002","10","24000","30000","0","10000","90047"
"11","2","40","90003","11","48000","30000","90011","10000","90051"
"12","3","40","90003","12","48000","30000","90011","10000","90051"
"13","4","40","90003","13","48000","30000","90011","10000","90051"
"14","5","40","90003","14","48000","30000","90011","10000","90051"
"15","6","40","90003","15","48000","30000","90011","10000","90051"
"16","7","40","90003","16","48000","30000","90011","10000","90051"
"17","8","40","90003","17","48000","30000","90011","10000","90051"
"18","9","40","90003","18","48000","30000","90011","10000","90051"
"19","10","40","90003","19","48000","30000","90011","10000","90051"
"20","11","40","90003","20","48000","30000","90011","10000","90051"
"21","12","60","90004","21","72000","30000","90015","10000","90055"
"22","13","60","90004","22","72000","30000","90015","10000","90055"
"23","14","60","90004","23","72000","30000","90015","10000","90055"
"24","15","60","90004","24","72000","30000","90015","10000","90055"
"25","16","60","90004","25","72000","30000","90015","10000","90055"
"26","17","60","90004","26","72000","30000","90015","10000","90055"
"27","18","60","90004","27","72000","30000","90015","10000","90055"
"28","19","60","90004","28","72000","30000","90015","10000","90055"
"29","20","60","90004","29","72000","30000","90015","10000","90055"
"30","21","60","90004","30","72000","30000","90015","10000","90055"
"31","22","80","90005","31","96000","30000","90015","10000","90059"
"32","23","80","90005","32","96000","30000","90015","10000","90059"
"33","24","80","90005","33","96000","30000","90015","10000","90059"
"34","25","80","90005","34","96000","30000","90015","10000","90059"
"35","26","80","90005","35","96000","30000","90015","10000","90059"
"36","27","80","90005","36","96000","30000","90015","10000","90059"
"37","28","80","90005","37","96000","30000","90015","10000","90059"
"38","29","80","90005","38","96000","30000","90015","10000","90059"
"39","30","80","90005","39","96000","30000","90015","10000","90059"
"40","31","80","90005","40","96000","30000","90015","10000","90059"
"41","33","120","90005","41","144000","30000","90017","10000","90063"
"42","35","120","90005","42","144000","30000","90017","10000","90063"
"43","37","120","90005","43","144000","30000","90017","10000","90063"
"44","39","120","90005","44","144000","30000","90017","10000","90063"
"45","41","120","90005","45","144000","30000","90017","10000","90063"
"46","43","120","90005","46","144000","30000","90017","10000","90063"
"47","45","120","90005","47","144000","30000","90017","10000","90063"
"48","47","120","90005","48","144000","30000","90017","10000","90063"
"49","49","120","90005","49","144000","30000","90017","10000","90063"
"50","51","120","90005","50","144000","30000","90017","10000","90063"
"51","53","150","90006","51","180000","30000","90019","10000","90067"
"52","55","150","90006","52","180000","30000","90019","10000","90067"
"53","57","150","90006","53","180000","30000","90019","10000","90067"
"54","59","150","90006","54","180000","30000","90019","10000","90067"
"55","61","150","90006","55","180000","30000","90019","10000","90067"
"56","63","150","90006","56","180000","30000","90019","10000","90067"
"57","65","150","90006","57","180000","30000","90019","10000","90067"
"58","67","150","90006","58","180000","30000","90019","10000","90067"
"59","69","150","90006","59","180000","30000","90019","10000","90067"
"60","71","150","90006","60","180000","30000","90019","10000","90067"
"61","74","180","90007","61","216000","30000","90021","10000","90071"
"62","77","180","90007","62","216000","30000","90021","10000","90071"
"63","80","180","90007","63","216000","30000","90021","10000","90071"
"64","83","180","90007","64","216000","30000","90021","10000","90071"
"65","86","180","90007","65","216000","30000","90021","10000","90071"
"66","89","180","90007","66","216000","30000","90021","10000","90071"
"67","92","180","90007","67","216000","30000","90021","10000","90071"
"68","95","180","90007","68","216000","30000","90021","10000","90071"
"69","98","180","90007","69","216000","30000","90021","10000","90071"
"70","101","180","90007","70","216000","30000","90021","10000","90071"
