18b4f6b752aa1e398f98c6e2daddb210a6147c86e66e82b55dd8945db290ff62,8d7a2ee91e651e5a2cd61a61709a376f3c37753d24eef7d49dd7b57f1c2d0973,6607993c450b0ad50ad71a913d047eeaa6220a746dcb4cc5759a371d78cb5e69,479be945c83d8112ca35c38fdcc9df15e3cafbc6b040925cad51c7af2efc11e0,51bccc59eef5ca67ab5422cdd8887b60825aeb331f83895b3049c0a265bd58b0,8fd0c97fa67e70810520227adbd5b3188b11bfe4dedc6f3231c5623b49d17f9f,9606f88a74c4e99c75537d85178853acfa81511e0f04057a311f1dbeaf6c6e70,c0de273d045cdf346b137663571a345bc779918ef1d9c1a21bc4b0accfdb3f1e,62bc586bab9a3ebf7d553b7740eb35fbeb4871bd532b0eeda9f030e403508b78,7cb6e82f7bac75b626c64dd46c3acbfaaa22edbf4727b1d0e8c43541d37884af,5b7770464773b120022b95f0d8d4de7cfc498187d3b2e7d42be4824cd1e55f2c
"1","284001001","8","91002","10","2","25021","8","2","25014","31"
"2","284001002","8","91002","10","2","25021","8","2","25014","31"
"3","284001003","8","91002","10","2","25021","8","2","25014","32"
"4","284001004","8","91002","10","2","25021","8","2","25014","32"
"5","284001005","8","91002","10","2","25021","8","2","25014","33"
"6","284001006","8","91002","10","2","25021","9","2","25014","33"
"7","284001007","8","91002","10","2","25021","9","2","25014","34"
"8","284001008","8","91002","10","2","25021","9","2","25014","35"
"9","284001009","8","91002","10","2","25021","9","2","25014","35"
"10","284001010","8","91002","30","2","25021","10","2","25014","37"
"11","284001011","8","91002","10","2","25021","10","2","25014","41"
"12","284001012","8","91002","10","2","25021","11","2","25014","43"
"13","284001013","8","91002","10","2","25021","11","2","25014","46"
"14","284001014","8","91002","10","2","25021","12","2","25014","48"
"15","284001015","8","91002","10","2","25021","12","2","25014","50"
"16","284001016","8","91002","10","2","25021","13","2","25014","53"
"17","284001017","8","91002","10","2","25021","14","2","25014","55"
"18","284001018","8","91002","10","2","25021","14","2","25014","58"
"19","284001019","8","91002","10","2","25021","15","2","25014","60"
"20","284001020","8","91002","30","2","25021","15","2","25014","62"
"21","284001021","8","91002","10","2","25021","16","2","25014","68"
"22","284001022","8","91002","10","2","25021","16","2","25014","70"
"23","284001023","8","91002","10","2","25021","16","2","25014","72"
"24","284001024","8","91002","10","2","25021","17","2","25014","75"
"25","284001025","8","91002","10","2","25021","18","2","25014","77"
"26","284001026","8","91002","10","2","25021","18","2","25014","79"
"27","284001027","8","91002","10","2","25021","19","2","25014","82"
"28","284001028","8","91002","10","2","25021","19","2","25014","84"
"29","284001029","8","91002","10","2","25021","19","2","25014","86"
"30","284001030","8","91002","30","2","25021","20","2","25014","89"
