85716dab27974b2446c023b599a6788add30936996a78dabce57c1c919a2e099,851ad3649a7d9506dea30da9fa13208bc7502a93125319abf38cd33133cb9272,0afa07c83c99d3c960ae1da496e593bd09880a00691f0fa90c5d604669de4d3d,0126d2007f03b37c89c7d3dfc37f01098151d9093338ee3401abb3d83b1c88af,922d61f7a8d720386138817dc40f7348482c87369b702d131e4df2a1d415a899,1296010efa4123179d7cff6509985e18a3f907cf6ab782ce5cfa655f8645cab1,b4ff959b5974339f59a5d6e16728a68962f304dc047a897be86c9057f65dd022,0bbf72cc053560c169af63d93c1a75b1f0c522a836a03dba628cc565d7f77d3b,dbce146e80a79535ccc714087d9ed127c4d2ea8d981448288d365328fbcf4361,d62213a10fdc9847f8add43670a5d518e04a439c07ab2b7ac9a9a2cc6c2ac8a0,cd07d103c6478935366711d9ee279c51ed1ca1938a4fc987188bd395f019bfda
"1.4","-216","1001","-103","1","1","1","5","1","100","idle_normal"
"0","-140","1002","1","","13","13","31","1","-57",""
"0","-140","1003","1","","14","14","31","1","-57",""
"","","1004","","","0","0","91","1","",""
"0.2","top_luis_arm_crossed_idle","1005","1","0","top_luis_arm_crossed_in","1","3","1","0",""
"","","1006","","","0","4","93","1","",""
"0.2","top_luis_approach_idle","1007","1","0","top_luis_approach_in","1","3","1","0",""
"","","1008","","","0","3.5","93","1","",""
"0.2","","1009","","","top_luis_thinking","1","3","1","1",""
"","","1010","","","0","3.5","93","1","",""
"0.2","","1011","","","top_luis_walk_think","1","3","1","1",""
"","2","1012","0","","-495","1","2","1","-103",""
"","","1013","","","0","2","93","1","",""
"","","1014","","","0","1","4","1","",""
"","2","1015","0","","-216","1","2","1","-103",""
"","","1016","","","0","2","93","1","",""
"0","","1017","","","top_luis_notice","1","3","1","1",""
"","","1018","","","0","1","93","1","",""
"0.2","","1019","","","top_luis_walk_jog","1","3","1","1",""
"","0.5","1020","0","","-100","1","2","1","-130",""
"","","1021","","","0","0.5","93","1","",""
"","","1022","","","1","1","4","1","",""
"0.2","top_luis_sit_idle","1023","1","0","top_luis_sit_in","1","3","1","0",""
"","","1024","","","0","0.1","93","1","",""
"","0.4","1025","0","","-57","1","2","1","-140",""
"","","1026","","","0","1","93","1","",""
"0.2","","1027","","","top_luis_experiment_failer_in","1","3","1","0",""
"","","1028","","","0","2.3","93","1","",""
"0.1","","1029","","","top_luis_experiment_failer_mix","1","3","1","0",""
"","","1030","","","0","2.7","93","1","",""
"","","1031","","","1","13","32","1","",""
"0.1","","1032","","","top_luis_experiment_failer_burst","1","3","1","0",""
"","","1033","","","0","2.7","93","1","",""
"0.1","","1034","","","top_luis_experiment_failer_out","1","3","1","0",""
"","","1035","","","0","1.1","93","1","",""
"0.2","idle_normal","1036","1","0","top_luis_sit_out","1","3","1","0",""
"","0.3","1037","0","","-100","1","2","1","-130",""
"","","1038","","","0","1","93","1","",""
"0.2","","1039","","","walk_normal","1","3","1","0",""
"","1","1040","0","","-216","1","2","1","-103",""
"","","1041","","","0","1","93","1","",""
"0.1","","1042","","","idle_normal","1","3","1","0",""
"","","1043","","","0","0.8","93","1","",""
"","","1044","","","0","13","32","1","",""
"0.2","top_luis_arm_crossed_idle","1045","1","0","top_luis_arm_crossed_in","1","3","1","0",""
