af43e634a3bd961dab70dcca384c923e12df6b6f63708e341017793c7dd6f8df,38fd54451955d0ff0e8b2fbef67c1fee943543411b0757082913dc936eafccc2,764428bafe174b00e853fea7be103e7b50672bf864248ff1c5b1f9e90d4209db,6bfb3cc98b7697cbe9630f03f0f09ee786f77cd24c3f7c37e38582cc8a4b0fd2,63feb1bcae57e0c3ae2587289546373c8c7f2e6bfddcc42bf9509f09b00991b2,f430518e3bdf0b3b9cc5a48b35975e9ea663356ab51be6561faa99167aba2b55,f54773e247e915c213b0df715e15a4cef28e98583b050f0fe3c09b00c02e7454,5a40a66ea5185a1e1096697dc7a5bece4ec529fefabf2134e00f6e5ba3f16d03,55aa01277c8e362f382a6626f937976bd00ec6a766c5d136113ff864a98b1ea4,93e482dd027a02e220a7c6637b9a280a1b9f916fa30b9326147c888c3f1a2aa1,39d2fd12add555adc29a2424ab823c3a9525f4c1a9f09158f35500ad3885fb03,434441eafad0f567d2ae39a395702674e96a4e75b1ee1b7ea5c3f20db89456fd
"0","2","6","0","0","2030/08/01 14:59:59","1","2015/12/17 15:00:00","0","ランダムなEXPポーションが獲得できる。","20000","ランダムEXPポーションBOX"
"60","1","1","80","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが60加算される。","20001","ミニEXPポーション"
"300","2","1","400","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが300加算される。","20002","EXPポーション"
"1500","3","1","2000","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが1500加算される。","20003","EXPハイポーション"
"7500","4","1","10000","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが7500加算される。","20004","EXPメガポーション"
"37500","5","1","50000","0","2030/08/01 14:59:59","999999","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが37500加算される。","20005","EXPギガポーション"
"1","1","21","0","0","2030/08/01 14:59:59","999","2020/11/30 12:00:00","0","ユカリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21001","ユカリ（クリスマス）専用スフィア / Lv180"
"2","1","21","0","0","2030/08/01 14:59:59","999","2020/12/31 12:00:00","0","ムイミ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21002","ムイミ（ニューイヤー）専用スフィア / Lv180"
"3","1","21","0","0","2030/08/01 14:59:59","999","2021/01/31 12:00:00","0","ユイ（儀装束）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21003","ユイ（儀装束）専用スフィア / Lv180"
"5","1","21","0","0","2030/08/01 14:59:59","999","2021/02/28 12:00:00","0","リマ（シンデレラ）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21004","リマ（シンデレラ）専用スフィア / Lv180"
"6","1","21","0","0","2030/08/01 14:59:59","999","2021/05/31 12:00:00","0","タマキ（作業服）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21005","タマキ（作業服）専用スフィア / Lv180"
"7","1","21","0","0","2030/08/01 14:59:59","999","2021/07/31 12:00:00","0","ツムギ（サマー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21006","ツムギ（サマー）専用スフィア / Lv180"
"8","1","21","0","0","2030/08/01 14:59:59","999","2021/09/30 12:00:00","0","ニノン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21007","ニノン（ハロウィン）専用スフィア / Lv180"
"9","1","21","0","0","2030/08/01 14:59:59","999","2021/11/30 12:00:00","0","マヒル（クリスマス）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21008","マヒル（クリスマス）専用スフィア / Lv215"
"10","1","21","0","0","2030/08/01 14:59:59","999","2021/12/31 12:00:00","0","ルカ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21009","ルカ（ニューイヤー）専用スフィア / Lv215"
"12","1","21","0","0","2030/08/01 14:59:59","999","2022/02/07 12:00:00","0","ラビリスタ（オーバーロード）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21010","ラビリスタ（オーバーロード）専用スフィア / Lv215"
