255c390772bf322552fe3b3a73e92bd4211363d34120f5cc6b0af0b3f9575472,26de7fced35287fc4ae0b677b8eba0bbedb9ed041a0e6d38b5f94be7a01a1b71,418359802d219d6a2cd3fd56b6f81ce5b9d5b2bc71f81ba22127d28101374a47
"14","4","1"
"20","15","2"
"25","21","3"
"30","26","4"
"35","31","5"
"40","36","6"
"45","41","7"
"50","46","8"
"55","51","9"
"60","56","10"
"65","61","11"
"70","66","12"
"75","71","13"
"80","76","14"
"85","81","15"
"90","86","16"
"95","91","17"
"100","96","18"
"105","101","19"
"110","106","20"
"115","111","21"
"120","116","22"
"125","121","23"
"130","126","24"
"135","131","25"
"140","136","26"
"145","141","27"
"150","146","28"
"155","151","29"
"160","156","30"
"165","161","31"
"170","166","32"
"175","171","33"
"180","176","34"
"185","181","35"
"190","186","36"
"195","191","37"
"200","196","38"
"205","201","39"
"210","206","40"
"215","211","41"
"220","216","42"
"225","221","43"
"230","226","44"
"235","231","45"
"240","236","46"
"245","241","47"
"250","246","48"
"255","251","49"
"260","256","50"
"265","261","51"
"270","266","52"
"275","271","53"
"280","276","54"
"285","281","55"
"290","286","56"
"295","291","57"
"300","296","58"
"305","301","59"
"310","306","60"
"315","311","61"
"320","316","62"
"325","321","63"
"330","326","64"
"331","331","65"
"-1","332","66"
