7005196eea059ea1ca5eac2c245d8afdd8c03d4d0eb2a57d21cc7ea3f7dee788,53a1a45183095beb17d593d2451863ecd756306c5158e49e46bc7790ca7dad02,a39f3e747e55f4d7eedbe004b5629e753d4a1e88eebbccbe33f3d3c0f881f41c,db80b70ec4dbc09613c3e20a54590327a34fdfbddfead5f6060c34bab8af7542,fb7413c4c7366e5c2d32fb0aac00a17953cb449557577560d148f2787ae14908,89da36de2ba6662b84bca2392421e0b922146405ab80fde93ad69766aad84f9b,ac6932e94ec109014c2213ab453ce071e07388e77002882984509970f4896fe5,409fb9bfd5595e37bfce29d040734659471f8129a9707ee6174a32debcd5c5f7,56ec2149fbc553ab186b1c0f4bc4b4e5226bfc492cc1f9ac47846b731519f1c4,75d71f4b0116b8e31b97a8b321463ff9a40d14070ac2765aaabd1170300564ea,b12dad971c1696ec923af37b18351d5e7020f4ee18d6ba8051aef77b1cbc2e94,64fed9848b8a19e1ab36df5661ec5a7d003b3e90413a878380358e22b3f61631
"TP250アップ","0","2","3001","1","3","-1","バトル開始時、味方のＴＰが250アップ","0","0","3001","3001"
"TP250アップ","0","2","3002","1","3","-1","バトル開始時、味方のＴＰが250アップ","0","0","3002","3002"
"TP250アップ","0","2","3003","1","3","-1","バトル開始時、味方のＴＰが250アップ","0","0","3003","3003"
"TP250アップ","0","2","3004","1","3","-1","バトル開始時、味方のＴＰが250アップ","0","0","3004","3004"
"TP1000アップ","0","2","3006","3","3","-1","バトル開始時、味方のＴＰが1000アップ","0","0","3006","3006"
"TP1000アップ","0","2","3007","3","3","-1","バトル開始時、味方のＴＰが1000アップ","0","0","3007","3007"
"物理攻撃アップ90秒","0","3","3001","1","3","25200","バトル開始から90秒間、味方の物理攻撃力がアップ","9006503","13125000000000","30011","30011"
"物理防御ダウン90秒","0","3","3001","1","3","72000","バトル開始から90秒間、敵の物理防御力がダウン","9006504","9000000000000","30012","30012"
"毎秒ＨＰ回復90秒","0","3","3002","1","3","39600","バトル開始から90秒間、味方のＨＰが毎秒回復","9006506","9000000000000","30021","30021"
"毎秒ＴＰアップ90秒","0","3","3002","1","3","72000","バトル開始から90秒間、味方のＴＰが毎秒アップ","9006507","4500000000000","30022","30022"
