2459e773641754df7d4ae768cd7c03c7801d96c634ba20610d151c3f327ba9b3,d69f663653639a9f6cf4ad945bfe4c02c90ecc78bc81e7eb763ef78c0e85740f,6860927964a466140bf6c2894fe25e5d15e7977e08899d35ca1da13a699e9057,09873d8890194282251d2fb0d1ff911cbfd5f701241547a5f934eb0ad3062bf2,dd58db730de5770f4edc84a04498c27509f2cc4b0bf4f98586ce7718b1c7ae5a,faf676532f55674ef4499d05a6d8d7ff8573f9fbbb67737f4ddbc7e81139ef91,245da39a52475c3e66a0a5878d8035672d439d65b75c69cfcb3ae9488a9c445f,963b79ddcdc52cf30985d0273f9f614a5b50f0740eb7803219454a2264e524ea,820c17e0f47efd11c1bcaf3291e05ae1db841b17f962665131063d3acf5efdc9,abc01d4096e932307845ad1a67f5c7adf304b540af4b96813fb6537d8e4ff72c
"1","90043","0","90001","10","1","10000","0","12000","30000"
"2","90047","0","90002","20","2","10000","0","24000","30000"
"3","90047","0","90002","20","3","10000","0","24000","30000"
"4","90047","0","90002","20","4","10000","0","24000","30000"
"5","90047","0","90002","20","5","10000","0","24000","30000"
"6","90047","0","90002","20","6","10000","0","24000","30000"
"7","90047","0","90002","20","7","10000","0","24000","30000"
"8","90047","0","90002","20","8","10000","0","24000","30000"
"9","90047","0","90002","20","9","10000","0","24000","30000"
"10","90047","1","90002","20","10","10000","0","24000","30000"
"11","90051","2","90003","40","11","10000","90011","48000","30000"
"12","90051","3","90003","40","12","10000","90011","48000","30000"
"13","90051","4","90003","40","13","10000","90011","48000","30000"
"14","90051","5","90003","40","14","10000","90011","48000","30000"
"15","90051","6","90003","40","15","10000","90011","48000","30000"
"16","90051","7","90003","40","16","10000","90011","48000","30000"
"17","90051","8","90003","40","17","10000","90011","48000","30000"
"18","90051","9","90003","40","18","10000","90011","48000","30000"
"19","90051","10","90003","40","19","10000","90011","48000","30000"
"20","90051","11","90003","40","20","10000","90011","48000","30000"
"21","90055","12","90004","60","21","10000","90015","72000","30000"
"22","90055","13","90004","60","22","10000","90015","72000","30000"
"23","90055","14","90004","60","23","10000","90015","72000","30000"
"24","90055","15","90004","60","24","10000","90015","72000","30000"
"25","90055","16","90004","60","25","10000","90015","72000","30000"
"26","90055","17","90004","60","26","10000","90015","72000","30000"
"27","90055","18","90004","60","27","10000","90015","72000","30000"
"28","90055","19","90004","60","28","10000","90015","72000","30000"
"29","90055","20","90004","60","29","10000","90015","72000","30000"
"30","90055","21","90004","60","30","10000","90015","72000","30000"
"31","90059","22","90005","80","31","10000","90015","96000","30000"
"32","90059","23","90005","80","32","10000","90015","96000","30000"
"33","90059","24","90005","80","33","10000","90015","96000","30000"
"34","90059","25","90005","80","34","10000","90015","96000","30000"
"35","90059","26","90005","80","35","10000","90015","96000","30000"
"36","90059","27","90005","80","36","10000","90015","96000","30000"
"37","90059","28","90005","80","37","10000","90015","96000","30000"
"38","90059","29","90005","80","38","10000","90015","96000","30000"
"39","90059","30","90005","80","39","10000","90015","96000","30000"
"40","90059","31","90005","80","40","10000","90015","96000","30000"
"41","90063","33","90005","120","41","10000","90017","144000","30000"
"42","90063","35","90005","120","42","10000","90017","144000","30000"
"43","90063","37","90005","120","43","10000","90017","144000","30000"
"44","90063","39","90005","120","44","10000","90017","144000","30000"
"45","90063","41","90005","120","45","10000","90017","144000","30000"
"46","90063","43","90005","120","46","10000","90017","144000","30000"
"47","90063","45","90005","120","47","10000","90017","144000","30000"
"48","90063","47","90005","120","48","10000","90017","144000","30000"
"49","90063","49","90005","120","49","10000","90017","144000","30000"
"50","90063","51","90005","120","50","10000","90017","144000","30000"
"51","90067","53","90006","150","51","10000","90019","180000","30000"
"52","90067","55","90006","150","52","10000","90019","180000","30000"
"53","90067","57","90006","150","53","10000","90019","180000","30000"
"54","90067","59","90006","150","54","10000","90019","180000","30000"
"55","90067","61","90006","150","55","10000","90019","180000","30000"
"56","90067","63","90006","150","56","10000","90019","180000","30000"
"57","90067","65","90006","150","57","10000","90019","180000","30000"
"58","90067","67","90006","150","58","10000","90019","180000","30000"
"59","90067","69","90006","150","59","10000","90019","180000","30000"
"60","90067","71","90006","150","60","10000","90019","180000","30000"
"61","90071","74","90007","180","61","10000","90021","216000","30000"
"62","90071","77","90007","180","62","10000","90021","216000","30000"
"63","90071","80","90007","180","63","10000","90021","216000","30000"
"64","90071","83","90007","180","64","10000","90021","216000","30000"
"65","90071","86","90007","180","65","10000","90021","216000","30000"
"66","90071","89","90007","180","66","10000","90021","216000","30000"
"67","90071","92","90007","180","67","10000","90021","216000","30000"
"68","90071","95","90007","180","68","10000","90021","216000","30000"
"69","90071","98","90007","180","69","10000","90021","216000","30000"
"70","90071","101","90007","180","70","10000","90021","216000","30000"
