bb015f8d1d1716e920fa4fdef6d655364e62356495f596c05ef9828ec2bb575d,fbd387b61f98465e92b8c3e445f8752867d79a05f90800755751766bc1127dc3,ad75e90c2b417779dee81016429dfed6a3c53b05afbbe17e2deea05b9b58ca57,1f1eeb72f4c49130f3ec42be3fab0f51a8757d470c76baeb136c946f5f9394fa,89b520b7a77b04f18617627ce951688929be75455b6bad2f40163e3899550dbf,8c343961ae82581de5b3341acf68faaeb7d4533606cc6aeba916736a2394b2b6,74cb1f8db7735864e0db842fc61612217b9f448264c18c54cd70518af5ffbe92,d1db1abea501bda644818c4438640357d7435875daca33a53dea60dbdee308b0,48ad91c11390584e4dae71a98e4da1d997e693ff6a91733690c95bcc754cd12d,505e4a7282599bc2b190f8f4b6db687ff285a17281919f0aff8877416eb19d04,25a99165b3ccc5a0cdccc8f9c3ae29b4ae6efbff202ddc1c6b7512e51366e8c2,d323ee810a76eb921c5ca73c1c0c2159c13da1329de75e71c5a999332e0bbf3b,c90e18051747f369a991ee2570197d28c3953fc70f0ba1f7cb089df3b17430a5,8bd95c11f59af0f59c3defbd3ddaafea1784e2605a82461446a7d694f28fdf3a,9dade0292c8412d0d326a30f58a600f6ac04d81868e8be827c5dc98ca0c76215
"？？？","-75","100000","-30","100584","100584","bgm_M220","90","0","bgm_M220","1","350","2","800100101","1001001"
"？？？","-75","100000","-30","100584","100584","bgm_M220","90","0","bgm_M220","1","350","2","800100102","1001002"
"？？？","-75","100000","-30","100584","100584","bgm_M220","90","0","bgm_M220","1","350","2","800100103","1001003"
"？？？","-75","100000","-30","100584","100584","bgm_M221","90","0","bgm_M221","1","350","2","800100101","1001004"
"？？？","-75","100000","-30","100584","100584","bgm_M221","90","0","bgm_M221","1","350","2","800100102","1001005"
"？？？","-75","100000","-30","100584","100584","bgm_M221","90","0","bgm_M221","1","350","2","800100103","1001006"
"？？？","-75","100000","-30","100584","100584","bgm_M220","90","0","bgm_M220","1","350","2","800100201","1002001"
"？？？","-75","100000","-30","100584","100584","bgm_M220","90","0","bgm_M220","1","350","2","800100202","1002002"
"？？？","-75","100000","-30","100584","100584","bgm_M220","90","0","bgm_M220","1","350","2","800100203","1002003"
"？？？","-75","100000","-30","100584","100584","bgm_M221","90","0","bgm_M221","1","350","2","800100201","1002004"
"？？？","-75","100000","-30","100584","100584","bgm_M221","90","0","bgm_M221","1","350","2","800100202","1002005"
"？？？","-75","100000","-30","100584","100584","bgm_M221","90","0","bgm_M221","1","350","2","800100203","1002006"
