bbed41e8152122b897c1eeab1f1b8796875257c89849272480c90d5a5df80a91,941b79cc717c4dc5a99f337d138fab4d890229bffb0807df286780c6fb0372de,442ea9ae94f88b5cb7b70affd410497824b88aa38cfafe171d0ebd2e67678222,fb45822527214273b69e27820ae637126c5feff1ddd503db2b36b35587f30d29,0ac2147e71724d7b4d26ba9e26f5b9e1820e52ea6e0d7fb818c779bd8fe884e8
"10101","火属性ボーナスアップ","1","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。"
"10102","光属性ボーナスアップ","1","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。"
"10103","ダメージ減衰","1","damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"10104","防御力（ダウン不可）アップ","1","def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。"
"10201","火属性ボーナスアップ","2","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。"
"10202","光属性ボーナスアップ","2","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。"
"10203","ダメージ減衰","2","damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"10204","防御力（ダウン不可）アップ","2","def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。"
"10205","全ダメージカット","2","damage_cut","すべてのモンスターが受けるダメージを一定値カットさせる。"
"10206","与ダメージアップ","2","damage_up","すべてのモンスターの与えるダメージをアップさせる。"
"10207","防御力アップ","2","def_up","すべてのモンスターの物理/魔法防御力をアップさせる。"
"10301","火属性ボーナスアップ","3","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。"
"10302","光属性ボーナスアップ","3","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。"
"10303","ダメージ減衰","3","damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"10304","防御力（ダウン不可）アップ","3","def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。"
"10305","全ダメージカット","3","damage_cut","すべてのモンスターが受けるダメージを一定値カットさせる。"
"10306","与ダメージアップ","3","damage_up","すべてのモンスターの与えるダメージをアップさせる。"
"10307","防御力アップ","3","def_up","すべてのモンスターの物理/魔法防御力をアップさせる。"
"10308","ＨＰ吸収ダウン","3","life_steal_down","すべてのキャラのＨＰ吸収をダウンさせる。"
"10309","ＴＰダウンカット","3","tp_down_cut","すべてのモンスターがＴＰダウンカット状態になる。"
"10310","ＨＰ回復量ダウン","3","hp_recovery_down","すべてのキャラのＨＰ回復量をダウンさせる。"
