02d31af837ed309ffb15a44266423b90f2b85bd52bcf1e2e66cf1ea3290a6afe,0f85104dc80fd10f376abd533fdc85476892f0a33e4e1e047b86ddbebc8060f0,20318bc324c5f668c54a3bf92a32f8d829792779a692b9822069db23eb82bbde,98beecaea9f7ef974cb41e656b7c78ee28c5a43c2cbe0eca9d3eec5410f8954e,a052fc2f68bf939e12360aa69505020b97538bfbd85a7b9ac4592dad3572598f,23565420f65d943fdf79c92ee3661c60845b5cedd1508bfac111fe3619197d0e,4841300f97fa1a34baac3e7a70421187a547485870fa32bc1ee73f486dc98e63,325b6d72a7a8252ea3918c7fcbeddd3b1d5e4ce453b2f1a3a1203ba54cf4a77b,2ee197e3ebba6f878fcdb0e0d18f100b921ee6efabe3f1375f2eca96823387d7,b61323d13122279820c4e730edcbfcba8d3a201e66e98f7027fbc28b9b85e623,f10ea229d1678985af81477b40db2ec6285476019a3651eda04573f8f4c31572,085da8b3dd1b06e28bf164c8c7f9917e9f9ac3e581aa4f61071f85c1728e83c4,8b747960244a4485f3ab7998a76636aceaaae4707c04dbace25488c61629a87e,fcb16cd0eff3e7c6b087ffb030dc44a7a3909dd3048654f9f8fc624af4590c46,170a09d9450638767b0fafa0c20afb95cb12133909f5048598f6bc982e0aca0d,93ca2525b4fa961c3e42d5799ba337d7a0893bcdefb8a57c25c9f0c07c9b5ded
"12","プリンを15種類食べよう","0","0","15","1","0","1","94002","0","0","0","0","0","0","20000"
"12","プリンを30種類食べよう","0","0","30","2","0","1","94002","0","0","0","0","0","0","30000"
"8","プリンを40種類食べよう","0","0","40","3","0","1","91002","0","0","0","0","0","0","50"
"12","プリンを50種類食べよう","0","0","50","4","0","1","94002","0","0","0","0","0","0","50000"
"8","プリンを55種類食べよう","0","0","55","5","0","1","91002","0","0","0","0","0","0","50"
"12","プリンを60種類食べよう","0","0","60","6","0","1","94002","0","0","0","0","0","0","100000"
"15","プリンを全66種類食べよう","0","0","66","7","0","1","11001164","0","91002","0","0","100","8","1"
"12","プリンノートを25％コンプリートしよう","0","0","25","8","0","2","94002","0","0","0","0","0","0","50000"
"8","プリンノートを50％コンプリートしよう","0","0","50","9","0","2","91002","0","0","0","0","0","0","50"
"12","プリンノートを75％コンプリートしよう","0","0","75","10","0","2","94002","0","0","0","0","0","0","100000"
"16","プリンノートを100％コンプリートしよう","8","0","100","11","0","2","9000100","0","11001165","100","91002","1","15","1"
