b60a7f73f2b06c253d016bbff7e4ddf858e76e3bd95130c0395372d06a359f11,7fd4198f61278e750d66c8a078e6931e876460311881c424464db393b80c1986,4a149bc6123c2d55ae55f60071b58edef521ba4afd5f2bf37a41e57a211f1939,2cfa3d01eb40a201c531b4f887eabc55791487ef872a534c9d691aec198b8d1e,b34483d34fb69fa7e88e343aa1b2b77d07f00d81b091309087a995af01c4c63e,a9124db082097607a0af2018a747f917aa337f8b74e49170bedfb40049b0b1a1,c26e2fac43116ad0c03f60a202571e547b7f4e1d6620e092d3f7bf602b9a96f6,a20d82a1873c512b024666e7209611dfab7b55ab81f8f2c47445727f10f833af,cb88338a592233b8c9f1b09704b2840552f397463bcfbf8946d8bcbaeead9cb1,2cd8883845d8f1fa13d83ac4d5efaa82234be1d0be5449d3e5f9922f34de501b,cc56f2de96dac89c73e09d7a7933df23fe37f74c9fda07218592564bc5b4ac5e,3ee737df2e860ec0009540201930b24d6f8367ab8edc7d982cb8b899aadf6e06,511a8be2e2e8746934291e7a5c44a432be7e257216d378e14c253edb2fd69197,2f114743e82ad4f350c447886b2460fc4e877a296a4d31b0d90a1950a69da6a4,089b5b1b305dfc8fbcccfcf0279db9de1571a402c8a13c3418918193f4f6aba6
"0","1","8","924070100","96","924072001","0","6","924073001","90","25","92407","92407010","前哨クエスト","92407020"
"92407010","2","8","924070200","96","924072002","0","6","924073002","90","25","92407","92407020","前哨クエスト","92407030"
"92407020","3","8","924070300","96","924072003","0","6","924073003","90","25","92407","92407030","前哨クエスト","0"
"0","1","25","924080100","540","924082001","0","25","924083001","90","25","92408","92408010","前哨クエスト","92408020"
"92408010","2","25","924080200","540","924082002","0","25","924083002","90","25","92408","92408020","前哨クエスト","92408030"
"92408020","3","25","924080300","540","924082003","0","25","924083003","90","25","92408","92408030","前哨クエスト","0"
"0","1","25","924090100","540","924092001","0","25","924093001","90","25","92409","92409010","前哨クエスト","92409020"
"92409010","2","25","924090200","540","924092002","0","25","924093002","90","25","92409","92409020","前哨クエスト","92409030"
"92409020","3","25","924090300","540","924092003","0","25","924093003","90","25","92409","92409030","前哨クエスト","0"
"0","1","25","924100100","540","924102001","0","25","924103001","90","25","92410","92410010","前哨クエスト","92410020"
"92410010","2","25","924100200","540","924102002","0","25","924103002","90","25","92410","92410020","前哨クエスト","92410030"
"92410020","3","25","924100300","540","924102003","0","25","924103003","90","25","92410","92410030","前哨クエスト","0"
"0","1","25","924110100","540","924112001","0","25","924113001","90","25","92411","92411010","前哨クエスト","92411020"
"92411010","2","25","924110200","540","924112002","0","25","924113002","90","25","92411","92411020","前哨クエスト","92411030"
"92411020","3","25","924110300","540","924112003","0","25","924113003","90","25","92411","92411030","前哨クエスト","0"
"0","1","25","924120100","540","924122001","0","25","924123001","90","25","92412","92412010","前哨クエスト","92412020"
"92412010","2","25","924120200","540","924122002","0","25","924123002","90","25","92412","92412020","前哨クエスト","92412030"
"92412020","3","25","924120300","540","924122003","0","25","924123003","90","25","92412","92412030","前哨クエスト","0"
"0","1","25","924140100","540","924142001","0","25","924143001","90","25","92414","92414010","前哨クエスト","92414020"
"92414010","2","25","924140200","540","924142002","0","25","924143002","90","25","92414","92414020","前哨クエスト","92414030"
