f53b6bff83a4343b8a9bf1f9085634db55b72207412062b978cda4685f9e4654,f0d504d6dedb5ef0f7b62f3b26b991601760ac0dfdfca3d90ca7e628f514f057,f2a696a75a04b862baf81bae6758feeaedcef962fc9089a89b97910e71e5ab98,cb7dac99b936fd9c71438ce94260a8e7ac85fe2ba2b2da26c23da3b2430dbb49
"100101","-354","1.6","938"
"100201","-499","1.6","952"
"100301","-523","1.6","1014"
"100401","-488","1.6","894"
"100601","-628","1.6","980"
"100701","-573","1.6","983"
"100801","-544","1.6","1019"
"100901","-510","1.6","985"
"101001","-660","1.6","1115"
"101101","-415","1.6","1128"
"101201","-589","1.6","1042"
"101601","-501","1.6","1050"
"101701","-598","1.6","1038"
"101801","-356","1.6","985"
"102001","-494","1.6","1114"
"102101","-392","1.6","1003"
"102201","-407","1.6","1057"
"102501","-388","1.6","997"
"102701","-490","1.6","1090"
"102801","-554","1.6","987"
"102901","-526","1.6","976"
"103001","-879","1.6","994"
"103101","-560","1.6","1056"
"103301","-453","1.6","1018"
"103401","-345","1.6","1017"
"103801","-674","1.6","961"
"104001","-499","1.6","1095"
"104201","-521","1.6","955"
"104301","-581","1.6","1079"
"104501","-538","1.6","980"
"104601","-364","1.6","954"
"104801","-777","1.6","1107"
"104901","-795","1.6","973"
"105001","-492","1.6","1122"
"105201","-607","1.6","1035"
"105301","-490","1.6","885"
