50ed664e86af25d33e7f1a8f221892e8199dd08ff8ac84c98b1a6d3b841a84d8,bb379923440101d982ab910e8dc20f884b514fabec61e55e1cdb954cc2a8c274,7051c84cdd56b96d9005e27107b39ffb042705da57509f3664b40d06a670c40c,e1540fd70b1c726858a84c66d889935ff4951a38d4e60e2894df2dc3da430aa1,d6727eb02d8297213e6005f8ee50b60788718bff6659bb73e6d1166d12f14589,9c739354b12ae858ddf0c8b34d51e1e7926a150fd3b521aa8f3cd106dc189586,be2bffd0bd36db7f21d425fe4c1ae1b1ac2e39e558b155dcd95565344e80566c,af179e16b4722ba9a4c753cc81a71f2f17bd984cc665ffb0b0e96fd9282a788c,93dd243e2586f9bc6f5422bdc1aedf52fee8af6c21a42ff39d0dd3e6c9070df6,8d1f679237ca6ca2547398a8d52a6b6f0d0111a73a4d1c137f440cdbc10d059b,f7d56002ac8cefd1cc83f31acf8882c9491f0a01c8fbdf87a28659e634611a93
"","","se_travel_start_1pt","se_travel","0","23","","","101110001","111",""
"","","10010","10010","0","31","1","1","101110002","111","0"
"","","10011","10011","0","31","1","1","101110003","111","0"
"","","10020","10020","0","31","0","1","101110004","111","0"
"<weapon>_idle","0","1001001","2","62","1","0.68","-150","101110005","111","-150"
"<weapon>_idle","0","1001002","2","61","1","0.68","-75","101110006","111","-250"
"<weapon>_idle","0","1001003","2","63","1","0.68","-180","101110007","111","-350"
"<weapon>_idle","0","1001004","2","61","1","0.68","-75","101110008","111","-450"
"<weapon>_idle","0","1001005","2","62","1","0.68","-150","101110009","111","-550"
"","0","1001001","10012","-150","31","1","0.68","101110010","111","-150"
"","0","1001002","10012","-250","31","1","0.68","101110011","111","-75"
"","0","1001003","10012","-350","31","1","0.68","101110012","111","-180"
"","0","1001004","10012","-450","31","1","0.68","101110013","111","-75"
"","0","1001005","10012","-550","31","1","0.68","101110014","111","-150"
"","","10030","10030","0","31","0","1","101110015","111","0"
"","","10031","10031","0","31","0","1","101110016","111","0"
"","","0","","","91","","","101110017","111",""
"","","1","10030","","32","","","101110018","111",""
"","","0","0","","91","","","101110019","111",""
"","","<weapon>_run","1001001","1","3","0","0","101110020","111",""
"","","<weapon>_run","1001002","1","3","0","0","101110021","111",""
"","","<weapon>_run","1001003","1","3","0","0","101110022","111",""
"","","<weapon>_run","1001004","1","3","0","0","101110023","111",""
"","","<weapon>_run","1001005","1","3","0","0","101110024","111",""
"","","800","1001001","-150","2","","0","101110025","111","3"
"","","700","1001002","-75","2","","0","101110026","111","3"
"","","600","1001003","-180","2","","0","101110027","111","3"
"","","500","1001004","-75","2","","0","101110028","111","3"
"","","400","1001005","-150","2","","0","101110029","111","3"
"","","800","1001001","-150","33","","0","101110030","111","3"
"","","700","1001002","-75","33","","0","101110031","111","3"
"","","600","1001003","-180","33","","0","101110032","111","3"
"","","500","1001004","-75","33","","0","101110033","111","3"
"","","400","1001005","-150","33","","0","101110034","111","3"
"","","1","10020","","32","","","101110035","111",""
"","","0","2.5","","93","","","101110036","111",""
"","","1","10031","","32","","","101110037","111",""
"","","0","0.4","","93","","","101110038","111",""
"","","0","0","","91","","","101110039","111",""
"","","se_travel_start_2pt","se_travel","0","23","","","102110001","211",""
"","","10010","10010","0","31","1","1","102110002","211","0"
"","","10011","10011","0","31","1","1","102110003","211","0"
"","","10020","10020","0","31","0","1","102110004","211","0"
"<weapon>_idle","0","1001001","2","62","1","0.68","-90","102110005","211","-100"
"<weapon>_idle","0","1001002","2","61","1","0.68","-15","102110006","211","-170"
"<weapon>_idle","0","1001003","2","63","1","0.68","-105","102110007","211","-240"
"<weapon>_idle","0","1001004","2","61","1","0.68","-15","102110008","211","-310"
"<weapon>_idle","0","1001005","2","62","1","0.68","-90","102110009","211","-380"
"","0","1001001","10012","-100","31","1","0.68","102110010","211","-90"
"","0","1001002","10012","-170","31","1","0.68","102110011","211","-15"
"","0","1001003","10012","-240","31","1","0.68","102110012","211","-105"
"","0","1001004","10012","-310","31","1","0.68","102110013","211","-15"
"","0","1001005","10012","-380","31","1","0.68","102110014","211","-90"
"<weapon>_idle","0","1002001","2","52","1","0.68","-240","102110015","211","-500"
"<weapon>_idle","0","1002002","2","51","1","0.68","-165","102110016","211","-570"
"<weapon>_idle","0","1002003","2","53","1","0.68","-255","102110017","211","-640"
"<weapon>_idle","0","1002004","2","51","1","0.68","-165","102110018","211","-710"
"<weapon>_idle","0","1002005","2","52","1","0.68","-240","102110019","211","-780"
"","0","1002001","10012","-500","31","1","0.68","102110020","211","-240"
"","0","1002002","10012","-570","31","1","0.68","102110021","211","-165"
"","0","1002003","10012","-640","31","1","0.68","102110022","211","-255"
"","0","1002004","10012","-710","31","1","0.68","102110023","211","-165"
"","0","1002005","10012","-780","31","1","0.68","102110024","211","-240"
"","","10030","10030","0","31","0","1","102110025","211","0"
"","","10031","10031","0","31","0","1","102110026","211","0"
"","","0","","","91","","","102110027","211",""
"","","1","10030","","32","","","102110028","211",""
"","","0","0","","91","","","102110029","211",""
"","","<weapon>_run","1001001","1","3","0","0","102110030","211",""
"","","<weapon>_run","1001002","1","3","0","0","102110031","211",""
"","","<weapon>_run","1001003","1","3","0","0","102110032","211",""
"","","<weapon>_run","1001004","1","3","0","0","102110033","211",""
"","","<weapon>_run","1001005","1","3","0","0","102110034","211",""
"","","850","1001001","-90","2","","0","102110035","211","3"
"","","780","1001002","-15","2","","0","102110036","211","3"
"","","710","1001003","-105","2","","0","102110037","211","3"
"","","640","1001004","-15","2","","0","102110038","211","3"
"","","570","1001005","-90","2","","0","102110039","211","3"
"","","850","1001001","-90","33","","0","102110040","211","3"
"","","780","1001002","-15","33","","0","102110041","211","3"
"","","710","1001003","-105","33","","0","102110042","211","3"
"","","640","1001004","-15","33","","0","102110043","211","3"
"","","570","1001005","-90","33","","0","102110044","211","3"
"","","<weapon>_run","1002001","1","3","0","0","102110045","211",""
"","","<weapon>_run","1002002","1","3","0","0","102110046","211",""
"","","<weapon>_run","1002003","1","3","0","0","102110047","211",""
"","","<weapon>_run","1002004","1","3","0","0","102110048","211",""
"","","<weapon>_run","1002005","1","3","0","0","102110049","211",""
"","","450","1002001","-240","2","","0","102110050","211","3"
"","","380","1002002","-165","2","","0","102110051","211","3"
"","","310","1002003","-255","2","","0","102110052","211","3"
"","","240","1002004","-165","2","","0","102110053","211","3"
