9904ab526652af5048ae4edd5e0d5f524764e9a7e23a51b0eff48e015dbdac81,59341552dd1089a0b5504bb18b15252724359031fcb07122988eafa493ca5fa4,6be2dadff7bf786222ca6a1e2acd68dab62a0c64a3d4e8e3e595acbe926a1440,be199bbf1f893722cf28e93e89076207c64ebba7c208d7ec51b9480e8e9a29a4,e8b7510fad60a1bcfad2c0ce2e60c0d1df8f5cbb8273ab7c69771c3913a405e4
"0","1","3","803100201","3001"
"0","2","3","803100202","3001"
"0","3","3","803100203","3001"
"0","1","3","803100204","3002"
"0","2","3","803100205","3002"
"0","3","3","803100206","3002"
"0","1","3","803100207","3003"
"0","2","3","803100208","3003"
"0","3","3","803100209","3003"
"0","1","3","803100210","3004"
"0","2","3","803100211","3004"
"0","3","3","803100212","3004"
"0","1","3","803100213","3005"
"0","2","3","803100214","3005"
"0","3","3","803100215","3005"
"0","1","3","803100216","3006"
"0","2","3","803100217","3006"
"0","3","3","803100218","3006"
"0","1","3","803100219","3007"
"0","2","3","803100220","3007"
"0","3","3","803100221","3007"
