7f27a9143454cd30f465af93835bad630cbc5151061e00b9268cd0e65740ac02,bedc55a0c233781a6078857d840626cdaa144fa79010fe83392c4689c1983205,3e703eda5f373dc9521eb688ef82f99fcd27605ab7d61d2bd37ddd6f8e9e04bf,6ab3856d755f1fc499967f3a949a9984eb1270b51aff5fb6edf96096e8603f5d,6e9a27fe0330e6cf4bb9d2fcbcb35513f431f3075436e94fe5f9a4b8cbf652e5,5f10afeb8936ff98ad9e3c1eeb1d06efdd6a4caebcf8e4d99497e3f8e8f48766,6a7b060c890b46cf624c37d36ca72e27f8884c68ca900919a67029dbba53ab46,ac8bb98475d0d87762a2d9c827bcaaed6318fafc6405a47f807ad9ea67b5dd9c,db0d5ff407de767e46f8c1b6b1691d61776397ee3493a26afb2bc5df0fd0f7b1,34c4810c4d0d6c6155def79045d7a06188d8c583f7633a62332f7e47e3d7a783,c924f4bd9db1d1990a200d805a22a172386495280473524aa18f344dfa0376d1
"0","115","101","101001","1.5","nop_idle_joy1","-100","1","-150","1","111831"
"1","114","101","101002","1.5","nop_idle_normal_joy","100","1","-150","1","120731"
"0","111","101","101003","1.5","nop_idle_arm_crossed","-215","1","-127","1","120831"
"1","110","101","101004","1.5","nop_idle_normal","215","1","-127","1","111931"
"0","113","101","101005","1.5","nop_idle_thinking","-330","1","-150","1","120931"
"1","112","101","101006","1.5","nop_idle_normal","330","1","-150","1","112031"
"0","115","102","102001","1.5","nop_idle_joy1","-100","1","-150","1","108731"
"1","114","102","102002","1.5","nop_idle_joy_normal","100","1","-150","1","108831"
"0","111","102","102003","1.5","nop_idle_normal","-215","1","-127","1","108931"
"0","113","103","103001","1.5","nop_idle_joy1","-100","1","-135","1","102011"
"0","115","103","103002","1.5","nop_idle_normal","-215","1","-150","1","100411"
"1","114","103","103003","1.5","nop_idle_wish","100","1","-143","1","103631"
"0","115","104","104001","1.5","nop_idle_normal","-100","1","-150","1","101231"
"1","114","104","104002","1.5","nop_idle_normal","100","1","-150","1","104011"
"0","111","104","104003","1.5","nop_idle_normal","-215","1","-127","1","101511"
"0","113","105","105001","1.5","nop_idle_normal","-100","1","-135","1","103111"
"1","111","105","105002","1.5","nop_idle_sad","100","1","-135","1","102211"
"0","115","105","105003","1.5","nop_05_miyako_idle_normal","-215","1","-150","1","100711"
"1","112","105","105004","1.5","nop_idle_joy1","215","1","-150","1","100611"
"1","114","105","105005","1.5","nop_skull_idle","-25","5","-135","1","2051"
"0","115","106","106001","1.5","nop_idle_arm_crossed","-215","1","-150","1","104731"
"1","114","106","106002","1.5","nop_idle_arm_crossed","215","1","-150","1","107131"
"0","111","106","106003","1.5","nop_idle_normal","-100","1","-135","1","103731"
"1","110","106","106004","1.5","nop_idle_joy1","100","1","-135","1","100511"
"0","115","107","107001","1.5","nop_idle_normal","-100","1","-150","1","102831"
"1","114","107","107002","1.5","nop_idle_normal","100","1","-150","1","102111"
"0","111","107","107003","1.5","nop_idle_normal","-215","1","-127","1","102511"
"1","110","107","107004","1.5","nop_idle_normal","215","1","-127","1","102311"
"0","115","108","108001","1.5","nop_idle_joy_normal","-100","1","-150","1","101011"
"1","114","108","108002","1.5","nop_idle_arm_crossed","100","1","-150","1","104331"
"0","111","108","108003","1.5","nop_idle_joy1","-215","1","-127","1","101711"
"1","110","108","108004","1.5","nop_idle_normal","215","1","-127","1","101431"
"0","115","109","109001","1.5","nop_idle_joy1","-100","1","-150","1","103311"
"0","111","109","109002","1.5","nop_idle_joy_normal","-215","1","-127","1","105211"
"1","114","109","109003","1.5","nop_idle_sad2","100","1","-150","1","102611"
"1","110","109","109004","1.5","nop_idle_normal","215","1","-127","1","103811"
"0","115","110","110001","1.5","nop_idle_joy1","-100","1","-150","1","103231"
"1","110","110","110002","1.5","nop_10_yukari_02","215","1","-127","1","103411"
"1","111","110","110003","1.5","nop_10_yukari_02","215","5","-127","1","11"
