c2d56f3f48c49d510a65eae20280b4f79d68b388d3fe3a68e52a16fd3b2b8ea9,f905bece1f8185ba7349a05b0c0ef2cfa7ebb97e6f4a3645d8c88f45d2c97ba3,e72dd3e5306e3d32a615e6898e3c7ba93cee4164237fdcbe0aee0ecee713314b,67179e11f4ae4c3844cc0e78d1475197ec43b4ab5c962f0f1a0f588afc5f3fe4,f52e3261abdebd0493e043f362d6118fdaf3a86c785e58dc7fdf8f99630ea42d,4bb8f612fe3b778ed3fdd3ff413f32f548aed684ef95a4c38781fd1da763ca29,fd113dd2a93c4de286a508b1947301b2082c079c647ffcd393197dbc60281b0e,9a160b0c98dbc4536b408980805c1904837ae8645cb00f6863b275954c36a2d3,606d472965fcf1ca29a2320f00f4d0fb6079c9a2e907e063267e89eaff093266,133227d84e8c1389e80180d914a0bfcb806aeb1b362be43b58e9402441968715,a042aaceb38a9fea7449974a67b0b8bf0d3621f48717eb33036e5c304fbc1d99
"0","1","1","omp_talk_worry","-140","1500","-190","1.8","1010001","1","112511"
"1","1","1","omp_idle_normal","140","1500","-190","1.8","1010002","1","112411"
"","1","1","","0","0","1","1","1010003","31","1"
"","1","1","","","","","","1010004","93",""
"","vo_omp_7001","1","","0","0","","","1010005","21","vo_omp_7001_000"
"","112511","1","","1","10","1","","1010006","11","ウヅキ、大丈夫？\n夜営続きで疲れてない？"
"","0","1","","","","","","1010007","91",""
"","112511","1","","","1","","0","1010008","3","omp_idle_worry"
"","112411","1","","","1","","0","1010009","3","omp_talk_joy1"
"","vo_omp_7001","1","","0","0","","","1010010","21","vo_omp_7001_001"
"","112411","1","","1","10","1","","1010011","11","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし"
"","0","1","","","","","","1010012","91",""
"","112411","1","","","1","","0","1010013","3","omp_psn_20"
"","112511","1","","","1","","0","1010014","3","omp_talk_normal"
"","vo_omp_7001","1","","0","0","","","1010015","21","vo_omp_7001_002"
"","112511","1","","1","10","1","","1010016","11","そっか\nウヅキはどんなときも楽しそうだよね"
"","0","1","","","","","","1010017","91",""
"","112511","1","","","1","","0","1010018","3","omp_idle_normal"
"","112411","1","","","1","","0","1010019","3","omp_talk_sad"
"","vo_omp_7001","1","","0","0","","","1010020","21","vo_omp_7001_003"
"","112411","1","","1","10","1","","1010021","11","もしかして…\nリンちゃんは楽しくないですか？"
"","0","1","","","","","","1010022","91",""
"","112411","1","","","1","","0","1010023","3","omp_idle_sad"
"0.1","112511","1","","omp_idle_surprise1","0","1","0","1010024","3","omp_surprise"
"","vo_omp_7001","1","","0","0","","","1010025","21","vo_omp_7001_004"
"","112511","1","","1","10","1","","1010026","11","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい"
"","2.5","1","","","","","","1010027","93","1"
"","112511","1","","","1","","0.2","1010028","3","omp_talk_normal"
"","1010026","1","","","","","","1010029","91",""
"","112511","1","","","1","","0","1010030","3","omp_idle_normal"
"","112411","1","","","1","","0","1010031","3","omp_talk_joy2"
"","vo_omp_7001","1","","0","0","","","1010032","21","vo_omp_7001_005"
"","112411","1","","1","10","1","","1010033","11","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！"
"","0","1","","","","","","1010034","91",""
"","112511","1","","","1","","","1010035","4","0"
"","112411","1","","","1","","0","1010036","3","omp_psn_20"
"","112511","1","","","1","","0","1010037","3","omp_idle_normal"
"","vo_omp_7001","1","","0","0","","","1010038","21","vo_omp_7001_006"
"","112511","1","","1","10","1","","1010039","11","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…"
"","0","1","","","","","","1010040","91",""
"","0.4","1","","","","","","1010041","93",""
"0","1","2","omp_idle_normal","-180","1600","-195","1.8","1020001","1","112511"
"1","1","2","omp_talk_normal","20","1500","-190","1.8","1020002","1","112411"
"1","1","2","omp_idle_normal","220","1600","-205","1.8","1020003","1","112611"
"","1","2","","0","0","1","1","1020004","31","1"
"","1","2","","","","","","1020005","93",""
"","vo_omp_7002","2","","0","0","","","1020006","21","vo_omp_7002_000"
"","112411","2","","1","10","1","","1020007","11","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪"
"","0","2","","","","","","1020008","91",""
"","112411","2","","","","","","1020009","4","0"
"","112411","2","","","1","","0","1020010","3","omp_idle_normal"
"","112611","2","","","1","","0","1020011","3","omp_talk_joy1"
"","vo_omp_7002","2","","0","0","","","1020012","21","vo_omp_7002_001"
"","112611","2","","1","10","1","","1020013","11","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！"
"","0","2","","","","","","1020014","91",""
"","112611","2","","","1","","0","1020015","3","omp_idle_joy1"
"","112411","2","","","1","","0","1020016","3","omp_talk_surprise1"
"","vo_omp_7002","2","","0","0","","","1020017","21","vo_omp_7002_002"
"","112411","2","","1","10","1","","1020018","11","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！"
"","0","2","","","","","","1020019","91",""
"","112411","2","","","","","","1020020","4","1"
"","112411","2","","","1","","0","1020021","3","omp_idle_surprise1"
"","112511","2","","","1","","0","1020022","3","omp_talk_normal"
"","vo_omp_7002","2","","0","0","","","1020023","21","vo_omp_7002_003"
"","112511","2","","1","10","1","","1020024","11","全然想像できない味だったね\nいい意味で"
"","0","2","","","","","","1020025","91",""
"","112511","2","","","1","","0","1020026","3","omp_talk_sad"
"","vo_omp_7002","2","","0","0","","","1020027","21","vo_omp_7002_004"
"","112511","2","","1","10","1","","1020028","11","でも魔物が調理されてるところは\nまあ、何て言うか…"
"","0","2","","","","","","1020029","91",""
"","112511","2","","","1","","0","1020030","3","omp_idle_sad"
"","112411","2","","","1","","0","1020031","3","omp_talk_bitter"
"","vo_omp_7002","2","","0","0","","","1020032","21","vo_omp_7002_005"
"","112411","2","","1","10","1","","1020033","11","…す、すごかったですよね"
"","0","2","","","","","","1020034","91",""
"","112411","2","","","1","","0","1020035","3","omp_idle_bitter"
"","112611","2","","","1","","0","1020036","3","omp_talk_joy1"
"","vo_omp_7002","2","","0","0","","","1020037","21","vo_omp_7002_006"
