2b2e1de31b3a43f6aa6d08517919701c35e66b66e21068ca97857f621535dbc1,0e0831ef63acfa0e1057719288b2a26428c3699c37dbd7a73ebca99ece909b63,f3d2b0834fd61a39f05c4d8728594de0798ac808d93387a676a91555de925e7c,8120a55ba250b814958d4171d3b2248b101d2d8e0563cb4f343122e4c21769a6
"2500","1","1","1"
"2000","1","2","2"
"2000","1","3","107"
"2000","1","4","4"
"1000","1","5","3"
"1000","1","6","110"
"1000","1","7","5"
"2000","1","8","6"
"2000","1","9","105"
"2000","1","10","7"
"0","3","11","1000"
"20","1","12","100"
"1000","1","13","108"
"20","1","14","101"
"5","1","15","102"
"1000","1","16","109"
"5","1","17","103"
"500","1","18","1"
"0","2","19","2000"
"500","1","20","1"
"0","5","21","25"
"3000","1","22","2"
"3000","1","23","107"
"3000","1","24","4"
"1500","1","25","3"
"1500","1","26","110"
"1500","1","27","5"
"3000","1","28","6"
"3000","1","29","105"
"3000","1","30","7"
"0","6","31","1"
"30","1","32","100"
"1500","1","33","108"
"30","1","34","101"
"10","1","35","102"
"1500","1","36","109"
"10","1","37","103"
"500","1","38","1"
"0","2","39","3000"
"500","1","40","1"
"0","4","41","50"
