d58a12c1fb04894daa1aa3157f254ba2821599b1c38ac875b544747d71e10be2,5c5ccff5833196dca772443ab1e74329cf46ea1a745ae87c9279d3440a6db7f4,2279250136ec3899317c32f4ac829babc12e2861c36ea5b1e152fa23a85d647a,a25cd5bbf9b40871055cbcfa7e1056143c3ad5b13c36d10fb83336ac7ffae4b4,dcf4f6485e7ea13ac25325b21395bbdff7c1120c25562e09447412e48e0ee938
"1","101","1","25","13000001"
"1","102","1","26","40001"
"1000","103","1","28","99012"
"1","201","2","25","13000002"
"1","202","2","26","40002"
"1000","203","2","28","99012"
"1","701","7","25","13000009"
"1","702","7","26","40003"
"1000","703","7","28","99012"
"1","1101","11","25","13000008"
"1","1102","11","26","40004"
"1000","1103","11","28","99012"
"1","1501","15","25","13000003"
"1","1502","15","26","40005"
"1000","1503","15","28","99012"
