2125a0f6276917740dfbb5d1fb33c8718d247d22923d4bf39e2da01d46cd6039,973f28e6268f0367c973f8f79308989309882bd5d9b680bf350f95ac607fdf33,91fc72fb7516c14fd9164cd15588198214a2a9b0e71f141847bbfa344af815bb,dac44974619a1e31febc2acf8404fe588dd297e3b33bff62a8e7437adc168ade,aa571b6b8e11165f0aaa0dd0b9b9d2a5046aea3962e853f84853caf13e6c9fa6,52b35f0377d8d368e97df2aa38fb13e65ba0bdb39928a5c51bbe35d8f5a0face
"赤くて甘酸っぱい果物。","1","リンゴ","10001","1","1000100"
"「リンゴ」の英語読み。","2","アップル","10001","1","1000101"
"知恵の樹になると言われる果物。実はリンゴじゃなかった説もあるとかないとか。","2","きんだんのかじつ","10001","1","1000102"
"強くて黒くてムキムキ。バナナが大好きな生き物。","1","ゴリラ","10002","1","1000200"
"動物の分類のうちのひとつ。","2","れいちょうるい","10002","1","1000201"
"ゴリラの猛々しい鳴き声をあらわした擬声語。","2","うほうほ","10002","1","1000202"
"「ルナの塔」に鎮座する強力な仙猿。ゴリラではなく猿だが、親戚みたいなものなので辛うじてセーフ。","3","マスター・ウキキー","10002","1","1000203"
"特定の金管楽器をひとまとめにした呼び方。","1","ラッパ","10003","1","1000300"
"金管楽器のうちのひとつ。","2","トランペット","10003","1","1000301"
"楽器の分類のうちのひとつ。なお「サックスのれんしゅう」などのプリコネ読みは、ありそうで無い。","2","かんがっき","10003","1","1000302"
"暖かい地域で育つ、黄色くて甘酸っぱい果物。","1","パイナップル","10004","1","1000400"
"「パイナップル」のまた別の呼び方。","2","アナナス","10004","1","1000401"
"宝石の女王とも呼ばれる、鮮やかな赤色の宝石。","1","ルビー","10005","1","1000500"
"装飾品に用いられる、美しく希少価値の高い鉱物。","1","ほうせき","10005","1","1000501"
"ワインレッド色の宝石。ザクロ石とも呼ばれる。","2","ガーネット","10005","1","1000502"
"「ほうせき」の英語読み。","2","ジュエリー","10005","1","1000503"
"「ウィスタリア家」のご令嬢「アキノ」が身に着けている美しいブローチ。","3","アキノのブローチ","10005","1","1000504"
"「アキノ」の専用装備。ウィスタリア家に代々伝わる輝石。","3","こうきせきウィスタリア","10005","1","1000505"
"「ビール」なる飲み物によく似た飲み物。","1","ビールっぽいもの","10006","1","1000600"
"片っ方に取っ手のついた、飲み物用の容器。","1","ジョッキ","10006","1","1000601"
"「ユカリ」が「ビールっぽいもの」のことを、こう呼ぶ。飲ませすぎてはいけない。","3","むぎしゅわ","10006","1","1000602"
"「ユカリ」の専用装備。飲んでも飲んでもエターナルに湧き出てくる。","3","エターナルジョッキ","10006","1","1000603"
"弓と矢からなる武器。","1","ゆみや","10007","1","1000700"
"遠くから飛ばして攻撃するタイプの武器のこと。","2","とびどうぐ","10007","1","1000701"
"「矢」の英語読み。","2","アロー","10007","1","1000702"
"「弓」の英語読み。","2","ボウ","10007","1","1000703"
"音楽において音を書き表すための記号。","1","おんぷ","10008","1","1000800"
"音楽における音の流れの構造。","1","リズム","10008","1","1000801"
"「音楽」のまた別の呼び方。","2","ミュージック","10008","1","1000802"
"声を用いた音楽のこと。","2","うた","10008","1","1000803"
"音の階名を低い順に３つ並べたもの。","2","ドレミ","10008","1","1000804"
"絵の色をつけるための材料。","1","えのぐ","10009","1","1000900"
"ペースト上のものをつめる容器。","2","チューブ","10009","1","1000901"
"青色のこと。または憂鬱な様子。","2","ブルー","10009","1","1000902"
"青色の絵の具。","2","あおいえのぐ","10009","1","1000903"
"刃によって攻撃する武器の総称。","1","けん","10010","1","1001000"
"「剣」の英語読み。","1","ソード","10010","1","1001001"
"もろ刃になっている剣。","2","つるぎ","10010","1","1001002"
"刃がついている道具や武器のこと。","2","はもの","10010","1","1001003"
"「ペコリーヌ」の専用装備。ペコリーヌに更なる力を与える、『王家の装備』の真なる姿。","3","プリンセスソード","10010","1","1001004"
"視力を補正するために、目の辺りに身に着ける道具。","1","めがね","10011","1","1001100"
"眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。","2","レンズ","10011","1","1001101"
"ビンの底のような厚いレンズの眼鏡。","2","ビンぞこめがね","10011","1","1001102"
"変装に用いられたり、外すと美人だったりする眼鏡。","2","ぐるぐるめがね","10011","1","1001103"
"ギルドハウスの管理人さん「カリン」がかけている眼鏡。","3","カリンのめがね","10011","1","1001104"
"小さいものを拡大して見るための道具。","1","むしめがね","10012","1","1001200"
"虫眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。","1","レンズ","10012","1","1001201"
"「虫眼鏡」のまた別の呼び方。","1","ルーペ","10012","1","1001202"
"レンズを用いて、物を大きく見たり小さく見たりする操作。","2","ズーム","10012","1","1001203"
"名探偵「カスミ」が愛用する探偵道具の一つ。","3","たんていのひっすアイテム","10012","1","1001204"
"「カスミ」の専用装備。このルーペと、数々の事件を共にしてきた。","3","ディテクティブルーペ","10012","1","1001205"
"焼けばジュワっと肉汁あふれる、素敵な食材。","1","にく","10013","1","1001300"
"食材を加工して、食べるために味をつけたり整えたりしたも\nの。","2","りょうり","10013","1","1001301"
"「肉」の英語読み。","2","ミート","10013","1","1001302"
"骨についたままの肉。また、その状態のまま料理したもの。骨についているだけでなんだか美味しそうに見える。","2","ほねつきにく","10013","1","1001303"
"こんなに立派な骨付き肉、もしかするとエルピス島に存在すると噂される「ドラゴン」のものなのかもしれない。","3","ドラゴンのにく","10013","1","1001304"
"夜空に黄金に輝く美しい衛星。","1","つき","10014","1","1001400"
"まん丸に輝いた状態の月。","1","まんげつ","10014","1","1001401"
"「月」の英語読み。","2","ムーン","10014","1","1001402"
"「月」のラテン語読み。","2","ルナ","10014","1","1001403"
"特に美しく見える月。","3","めいげつ","10014","1","1001404"
"数少ない飛翔する哺乳類。血を吸うイメージだが、吸血種は極わずかしかいない。","1","こうもり","10015","1","1001500"
"「こうもり」の英語読み。","1","バット","10015","1","1001501"
"民話や伝説に登場する種族。","2","きゅうけつき","10015","1","1001502"
"幼女の頭を撫でたり抱きしめたりするだけの簡単なお仕事。","3","イリヤのけんぞく","10015","1","1001503"
"鳥類の総称。全身を羽毛に覆われ、翼で飛翔する。","1","とり","10016","1","1001600"
"ランドソル全土に現れる怪物の総称。","1","まもの","10016","1","1001601"
"「とり」の英語読み。","2","バード","10016","1","1001602"
"本に封じられていた鳥型の魔物。ハツネ・シオリ姉妹が退治した。","3","ジズ","10016","1","1001603"
"足に履く物。小石やガムなどから足の裏を護る文明の極み。","1","くつ","10017","1","1001700"
"「くつ」のまた別の呼び方。最近あんまり言わなくない？","1","ズック","10017","1","1001701"
"「くつ」の英語読み。行動速度が５くらい上がりそうな読み\n方。","2","シューズ","10017","1","1001702"
"おじさんから女子高生まで幅広く愛用されるおしゃれアイテ\nム。残念ながら煮ても食べられない。","2","かわぐつ","10017","1","1001703"
