eeeb3b5aa1edcc636b13b7b7914a4d10d0bc6f633cf2500d86d672d73624356e,3208e84d5ccf5110557aed74c2bab74d14284a76e1093976838e8e955429a0bf,58944c6ab7352ed4704be01dbcb90d16d97aa2dbfc27b62069297265c7abb131,2c660c7736e409ee9db1909de6ac19b829f9e8794e5dfd4a8bf18c547d245121,a8ec06dda570af7905f080315c4584a76993bb8a0596c8ce8909d376c582679e,f42fe4de73a84562fb7197073bbb2783f1eaccf22e3829ea7f47df3e9a3b96b1,605f7daf5d2c2b8439b754ea025a90f5b4b0fc2276e2e28435d96557ea2b2a81
"1","0","0","1","9999999","50","50"
"2","0","0","2","9999999","80","20"
"3","0","0","3","2000","30","70"
"4","30","0","3","5000","40","30"
"5","40","20","3","10000","40","0"
"6","40","30","3","15000","30","0"
"7","40","35","3","20000","25","0"
"8","40","40","3","25000","20","0"
"9","40","45","3","30000","15","0"
"10","40","50","3","35000","10","0"
"11","35","55","3","40000","10","0"
"12","35","60","3","45000","5","0"
"13","30","65","3","50000","5","0"
"14","30","70","3","55000","0","0"
"15","25","75","3","60000","0","0"
"16","20","80","3","65000","0","0"
"17","15","85","3","70000","0","0"
"18","10","90","3","75000","0","0"
"19","5","95","3","80000","0","0"
"20","0","100","3","9999999","0","0"
