6d2c5bea61205e0437a3b30624e9d58e2f936642e0e12921daeec09dbaabcfab,408348840faa158d980709b88ef94235e9b9d8a986becb6dc0e8eccebd197651,6f2bb9cbb1300de1c963d127a6cb5cef2dc5ce2ca51bb212d0b334ba12d14d7b,0a6476851af3361832f9b89df0dd19ee2d557bf46535a46aa064827894f0168e,68a627983b49a577ecb6f1accd2ec633734ac33468039064bff15801300b163f,de8d6e42aa1b0b1d53b9d72e003209242f7042807fbe8516c242c6adffb1a0a5,0daa25047475b83fdd9b1fe9748ff82cc38dce6b57fa9cb744518abfc9d55067,2726cb92fd62cdb15f78508f186a26a99960caa0326e79dcf5910ca22dfc2288,312d5cc84661e530a9402d4dcd66a28091125ff28b5c62b8b5d6c1df8a6a428d
"1101001","0","0","21","0","0","0","600","1101002"
"1101002","600","0","22","0","0","0","2400","1101003"
"1101003","-1500","0","20","0","0","50","1","1"
"1101011","0","0","21","0","0","0","900","1101012"
"1101012","700","0","22","0","0","0","2100","1101013"
"1101013","-1500","0","20","0","0","200","1","1"
"1101021","0","0","21","0","0","0","400","1101022"
"1101022","500","0","22","0","0","0","2000","1101023"
"1101023","-1500","0","20","0","0","350","1","1"
"1101031","0","0","21","0","0","0","1000","1101032"
"1101032","900","0","22","0","0","0","1800","1101033"
"1101033","-1500","0","20","0","0","500","1","1"
"1101041","0","0","21","0","0","0","500","1101042"
"1101042","800","0","22","0","0","0","1600","1101043"
"1101043","-1500","0","20","0","0","750","1","1"
"1101101","2","0","1","0","2","2","1","25"
"1102001","-2000","0","20","0","0","-100","1","1"
"1102101","2","0","1","0","2","10","1","20"
"1102102","0","0","10","0","2","0","2","200000"
"1103001","0","0","21","0","0","0","500","1103002"
"1103002","0","0","3","0","2","0","0","1000"
"1202001","3000","0","2","0","2","0","3","-15"
"1204001","30000","0","2","0","1","0","3","15"
"1205001","30000","0","2","0","1","0","3","10"
"1206001","30000","0","2","0","1","0","3","10"
"1207001","30000","0","2","0","1","0","3","10"
"1208001","3000","0","2","0","1","0","2","15"
"1209001","3000","0","2","0","1","0","1","25"
"1210001","3000","0","2","0","1","0","2","10"
"1210002","0","0","21","0","0","0","3000","1210003"
"1210003","30000","0","2","0","1","0","1","15"
"1211001","3000","0","2","0","1","0","2","-10"
