7a81be9117e677ee950f50e25bf2b75d107d4e24627b42d9de8412b13db0b417,21f5c042b16b86424cc67a0de5fead4a723f725a2abd1b6cedbb6f22c67a8d83,fc0d35957b43c66c37b237ed2a1f40476771164d67d9c69271dc1cdf78a892cb,55b5b7e255d18105ab591643cce9d9968c3777149feaff51aa0722440ab60d5a,1e8bd16c27013e90898560a59468fcf8bd1fc786619f5d33ef897c3489f31a06,e3af6fbac82780bcd5e61a024ac7f998b7eb26d03ab4d60f8c13a5e131776700,9354ffdab610b4f31ef0c9371ea056bf003815ab8557ec1d3c26f9060c98f06a,a469f43a837b65f20c24348cf1ab6a5b7359bd138d722a6f6c8421c4026ec4c4
"90110001","1","110001","70000","111","110001","0","ガーゴイル（EASY）をクリアしよう"
"90110002","1","110001","70000","112","110002","0","ガーゴイル（NORMAL）をクリアしよう"
"90110003","1","110001","70000","113","110003","0","ガーゴイル（HARD）をクリアしよう"
"90110004","1","110001","70000","114","110004","0","ガーゴイル（VERY HARD）をクリアしよう"
"90110005","1","110001","70000","115","110005","0","ガーゴイル（EXTREME）をクリアしよう"
"90120001","1","110001","70000","121","120001","0","マグスガーゴイル（EASY）をクリアしよう"
"90120002","1","110001","70000","122","120002","0","マグスガーゴイル（NORMAL）をクリアしよう"
"90120003","1","110001","70000","123","120003","0","マグスガーゴイル（HARD）をクリアしよう"
"90120004","1","110001","70000","124","120004","0","マグスガーゴイル（VERY HARD）をクリアしよう"
"90120005","1","110001","70000","125","120005","0","マグスガーゴイル（EXTREME）をクリアしよう"
"90130001","1","110001","70000","131","130001","0","ガードガーゴイル（EASY）をクリアしよう"
"90130002","1","110001","70000","132","130002","0","ガードガーゴイル（NORMAL）をクリアしよう"
"90130003","1","110001","70000","133","130003","0","ガードガーゴイル（HARD）をクリアしよう"
"90130004","1","110001","70000","134","130004","0","ガードガーゴイル（VERY HARD）をクリアしよう"
"90130005","1","110001","70000","135","130005","0","ガードガーゴイル（EXTREME）をクリアしよう"
"90140001","1","110001","70000","141","140001","0","ガーゴイル・バースト（EASY）をクリアしよう"
"90140002","1","110001","70000","142","140002","0","ガーゴイル・バースト（NORMAL）をクリアしよう"
"90140003","1","110001","70000","143","140003","0","ガーゴイル・バースト（HARD）をクリアしよう"
"90140004","1","110001","70000","144","140004","0","ガーゴイル・バースト（VERY HARD）をクリアしよう"
"90140005","1","110001","70000","145","140005","0","ガーゴイル・バースト（EXTREME）をクリアしよう"
"90150001","1","110001","70000","151","150001","0","ガーゴイル・マギ（EASY）をクリアしよう"
"90150002","1","110001","70000","152","150002","0","ガーゴイル・マギ（NORMAL）をクリアしよう"
"90150003","1","110001","70000","153","150003","0","ガーゴイル・マギ（HARD）をクリアしよう"
"90150004","1","110001","70000","154","150004","0","ガーゴイル・マギ（VERY HARD）をクリアしよう"
"90150005","1","110001","70000","155","150005","0","ガーゴイル・マギ（EXTREME）をクリアしよう"
