03a63470987cf2990e66b29a45606e0460e281fc049b998b42893d8ef249320a,ad0f8fc97be71e332b0d23314418f5f01ad6b340c99b3e4c7b22c549eff646dd,dcb50e11553018ad886ca81395e588217bbbe97dd75c409ea33f4ba3be26e89c,2e2486abcea33e7b008a3b871ee97270c7950cedc12326ffb8ba589d3530b1c2
"1061002","1061101","1061001","2"
"1061003","1061102","1061001","2"
"1061012","1061111","1061001","2"
"1067001","1067101","1067001","2"
"1068001","1068103","1068001","2"
"1068002","1068101","1068001","2"
"1068003","1068102","1068001","2"
"1068012","1068111","1068001","2"
"1069001","1069101","1069001","2"
"1158001","1158100","1158001","1"
"1158002","1158101","1158001","2"
"1158003","1158102","1158001","2"
"1158012","1158111","1158001","2"
"1158203","1158102","1158001","2"
"1164001","1164101","1164001","2"
"1182001","1182101","1182001","2"
"1185001","1185101","1185001","2"
"1208002","1208101","1208001","2"
"1208012","1208111","1208001","2"
"1220001","1220101","1220001","2"
"1223002","1223101","1223001","2"
"1223003","1223102","1223001","2"
"1223012","1223111","1223001","2"
"1227001","1227101","1227001","2"
"1230001","1230101","1230001","2"
"1250002","1250101","1250001","2"
"1250003","1250102","1250001","2"
"1250012","1250111","1250001","2"
"1258001","1258101","1258001","2"
"1260001","1260101","1260001","2"
"1261001","1261101","1261001","2"
"1262001","1262101","1262001","2"
"1264001","1264103","1264001","2"
"1264002","1264101","1264001","2"
"1264003","1264102","1264001","2"
"1265001","1265101","1265001","2"
"1290001","1290101","1290001","2"
"1293001","1293101","1293001","2"
"1294001","1294101","1294001","2"
"1296001","1296101","1296001","2"
