af1f04651a1847a073137dabab9189d45393f913e7b749507b251cfcc045605a,450f1f638f33ec49f21e21d5b36f7db172848eeef189b885f1b93b935693126a,eb234acb48becce484873974d6cb46be0877e19c17cb2efd098c055147f7fcdf,714c409b20101cd8acc4fc43ff00803618c3cc197581345c8802d8e3c49a447c,00158beac3b739a759d73d1b7b23e2145f974799bf248b647911e868efd2b0a2,0371cf5d77e3523702d480d9ae13f251ab91d0f70af0e80f61dd03283f12cb45,1d353b03940f9615a91a961eaa46e52baf0896677ec250559acbe0f1e34be4e2,66aa3d8f75399fe404eec4815bbfae639e6a451e94230986e315fae56cbd9180,ce45977ab01c36fb4948c780e638bbcc777de6ecca28be77056e795f75d629e4,8d51b718241a4f242814ad080ce3973e4c547237d91ba439e545cbbdb34dd6a1,01810f314eee8247b41dabe2cb33eeed6af37836a707cddc696d32a8b25db749
"1","100","ttk_idle_def","5","1","1","850","-120","102611","1","1010001"
"1","0","","31","1","","0","1","2","2","1010002"
"1","-120","","31","1","","-80","1","1","1","1010003"
"1","","","93","","","","","","1","1010004"
"1","0","","21","","","0","","vo_minigame_1005_top_000","vo_minigame_1005","1010005"
"1","ttk_idle_doya","","3","0.3","0.3","0","1","ttk_doya","102611","1010006"
"1","","","11","0","0","8","","任された仕事は\nきちんとやるよ","102611","1010007"
"1","","","91","","","","","","0","1010008"
"2","100","ttk_idle_def","5","1","1","850","-120","102611","1","1020001"
"2","0","","31","1","","0","1","2","2","1020002"
"2","-120","","31","1","","-80","1","1","1","1020003"
"2","","","93","","","","","","1","1020004"
"2","0","","21","","","0","","vo_minigame_1005_top_001","vo_minigame_1005","1020005"
"2","ttk_idle_def","","3","0.3","0.3","0","1","ttk_idle_smile","102611","1020006"
"2","","","11","0","0","8","","あたしの前に\n現れたこと\n後悔させてあげる","102611","1020007"
"2","","","91","","","","","","0","1020008"
"3","100","ttk_idle_def","5","1","1","850","-120","102611","1","1030001"
"3","0","","31","1","","0","1","2","2","1030002"
"3","-120","","31","1","","-80","1","1","1","1030003"
"3","","","93","","","","","","1","1030004"
"3","0","","21","","","0","","vo_minigame_1005_top_002","vo_minigame_1005","1030005"
"3","ttk_idle_joy","","3","0.1","0.3","0","1","ttk_joy","102611","1030006"
"3","","","11","0","0","8","","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","102611","1030007"
"3","","","93","","","","","","2.2","1030008"
"3","","","3","0.3","0.3","1","","ttk_talk_sad","102611","1030009"
"3","","","93","","","","","","3","1030010"
"3","","","3","0.3","0.3","1","","ttk_idle_def","102611","1030011"
"3","","","91","","","","","","0","1030012"
"4","100","ttk_idle_def","5","1","1","850","-120","102611","1","1040001"
"4","0","","31","1","","0","1","2","2","1040002"
"4","-120","","31","1","","-80","1","1","1","1040003"
"4","","","93","","","","","","1","1040004"
"4","0","","21","","","0","","vo_minigame_1005_top_003","vo_minigame_1005","1040005"
"4","ttk_idle_shock","","3","0.3","0.3","0","1","ttk_shock","102611","1040006"
"4","","","11","0","0","8","","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","102611","1040007"
"4","","","93","","","","","","5","1040008"
"4","","","3","0.3","0.3","1","","ttk_idle_def","102611","1040009"
"4","","","93","","","","","","0.7","1040010"
"5","100","ttk_idle_def","5","1","1","850","-120","102611","1","1050001"
"5","0","","31","1","","0","1","2","2","1050002"
"5","-120","","31","1","","-80","1","1","1","1050003"
"5","","","93","","","","","","1","1050004"
"5","0","","21","","","0","","vo_minigame_1005_top_004","vo_minigame_1005","1050005"
"5","","","3","0.3","0.3","0","","ttk_surprise","102611","1050006"
"5","","","11","0","0","8","","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","102611","1050007"
"5","","","93","","","","","","0.9","1050008"
"5","","","3","0.3","0.3","1","","ttk_talk_anger","102611","1050009"
"5","","","93","","","","","","0.8","1050010"
"5","ttk_talk_sad","","3","0.3","0.3","0","1","ttk_sad","102611","1050011"
"5","","","93","","","","","","5","1050012"
"5","","","3","0.3","0.3","1","","ttk_idle_def","102611","1050013"
"5","","","91","","","","","","0","1050014"
"6","100","ttk_idle_def","5","1","1","850","-120","102611","1","1060001"
"6","0","","31","1","","0","1","2","2","1060002"
"6","-120","","31","1","","-80","1","1","1","1060003"
"6","","","93","","","","","","1","1060004"
"6","0","","21","","","0","","vo_minigame_1005_top_005","vo_minigame_1005","1060005"
"6","","","3","0.3","0.3","1","","ttk_idle_worry","102611","1060006"
"6","","","11","0","0","8","","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","102611","1060007"
"6","","","93","","","","","","7","1060008"
"6","ttk_idle_def","","3","0.3","0.3","0","1","ttk_amz","102611","1060009"
"6","","","91","","","","","","0","1060010"
