9a1bc38fbb2882c7b829bdd6b684189070fd106c04b5a5c94d7b31699175d9bc,d7c7fad7f5831ce662fe9c7ceaef9ade0e250e2a099e7991b1738492c452b909,ed5a851cface13d6c5694949b61529de767cbd032c91e5a8fbe7bbb3cb463668,772612226f1160e20917fdd4660bf32e753ab006a84b63aa74f575cde35d1cb2,a6ff0183179235ee059191c5c0d01c331258cf86e40a4a212227285ed056d614,70fa518994ce482e697699947d9bfd125dbc97303010d90bd355bc9079a615ff,18cce0860c025ee6cb9d82c139a98b0b5c0290b203306e4006646a4d2a5bcbde,ea5561d1c3b59da1430c17d3fe7fc631026fad50e590a0917e699923d2b03ea3,76cd657a8fc97e653990886f28cfdad4f0b07668c282d28e56e801ee9b761423,3c9a2f689245ebd49de2bfcb309788537a624107ac0f133e380204617142da4c,764ea2a5f7c41a0ef880ffc5614d3e083ab0937f328f3e9f852f4b3bbdee9081
"119931","1.7","100","-200","1001","-220","1","0","1","psy_miyako_idle","1"
"1","1.7","100","1000","1002","-220","1","1","1","psy_idle_normal","5"
"2","1.7","105","-50","1003","-220","1","0","1","psy_fairy_idle","5"
"11","1","0","0","1004","1","1","","1","","31"
"psy_item00_run","0.2","1","","1005","","1","","1","","3"
"285","","-220","2.5","1006","0","1","","1","","2"
"","","","","1007","","1","","2.5","","93"
"psy_item00_idle","0.2","1","","1008","","1","","1","","3"
"","","","","1009","","1","","0.5","","93"
"psy_miyako_talk1","0.2","1","","1010","","1","","119931","","3"
"vo_minigame_1008_drama_0101","","0","0","1011","","1","","vo_minigame_1008","","21"
"おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","0","6","1","1012","0","1","0","119931","0.5","11"
"1","","","","1013","","1","","6","","93"
"psy_miyako_doya_in","0.2","0","psy_miyako_doya_loop","1014","1","1","0.2","119931","","3"
"","","","","1015","","1","","1012","","91"
"0","","","","1016","","1","","0","","22"
"psy_fairy_talk","0.2","1","","1017","","1","","2","","3"
"vo_minigame_1008_drama_9901","","0","0","1018","","1","","vo_minigame_1008","","21"
"キュイキュイ！","0","6","1","1019","0","1","0","2","0.5","11"
"","","","","1020","","1","","0","","91"
"psy_fairy_idle","0.2","1","","1021","","1","","2","","3"
"psy_miyako_talk2","0.2","1","","1022","","1","","119931","","3"
"vo_minigame_1008_drama_0102","","0","0","1023","","1","","vo_minigame_1008","","21"
"オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","0","5","1","1024","0","1","0","119931","0.5","11"
"1","","","","1025","","1","","2","","93"
"psy_miyako_talk_joy2","0.2","1","","1026","","1","","119931","","3"
"","","","","1027","","1","","1024","","91"
"0","","","","1028","","1","","0","","22"
"psy_miyako_idle","0.2","1","","1029","","1","","119931","","3"
"1","","","","1030","","1","","2","","4"
"psy_fairy_run_in","0.2","0","psy_fairy_run","1031","1","1","0","2","","3"
"","","","","1032","","1","","1.3","","93"
"1000","","-220","1","1033","0","1","","2","","2"
"","","","","1034","","1","","2","","93"
"psy_miyako_doya_in","0.2","0","psy_miyako_doya_loop","1035","1","1","0.2","119931","","3"
"vo_minigame_1008_drama_0103","","0","0","1036","","1","","vo_minigame_1008","","21"
"オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","0","6","1","1037","0","1","0","119931","0.5","11"
"","","","","1038","","1","","0","","91"
"0","","","","1039","","1","","0","","22"
"11","0","1","0","1040","0","1","0","1","0","12"
"psy_item00_talk_guts","0.2","0","psy_item00_idle_guts","1041","1","1","0.2","1","","3"
"","","","","1042","","1","","2","","93"
"psy_miyako_talk_joy2","0.2","1","","1043","","1","","119931","","3"
"vo_minigame_1008_drama_0104","","0","0","1044","","1","","vo_minigame_1008","","21"
"みんなみんな\nおいしいプリンにしてやるの～♪","0","5","1","1045","0","1","0","119931","0.5","11"
"1","","","","1046","","1","","4","","93"
"psy_miyako_fight_in","0.2","0","psy_miyako_fight_loop","1047","1","1","0.2","119931","","3"
"psy_item00_handsup","0.2","0","psy_item00_handsup_loop","1048","1","1","0.2","1","","3"
"","","","","1049","","1","","1.5","","93"
"","","","","1050","","1","","1045","","91"
"0","","","","1051","","1","","0","","22"
"119931","1.7","100","-300","2001","-200","2","0","1","psy_miyako_start","1"
"106011","1.7","100","300","2002","-220","2","1","1","psy_walk","1"
"11","1","0","0","2003","1","2","","1","","31"
"1","1.7","101","-300","2004","-200","2","0","1","psy_smoke_start","5"
"185","","-220","2","2005","0","2","","106011","","2"
"","","","","2006","","2","","2","","93"
"psy_kyaru_talk_arm_crossed","0.2","0","psy_kyaru_talk_arm_crossed_loop","2007","1","2","0","106011","","3"
"vo_minigame_1008_drama_0305","","0","0","2008","","2","","vo_minigame_1008","","21"
"ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","0","8","1","2009","0","2","0","106011","0.5","11"
"","","","","2010","","2","","0","","91"
"vo_minigame_1008_drama_0306","","0","0","2011","","2","","vo_minigame_1008","","21"
"psy_talk_sad","0.2","1","","2012","","2","","106011","","3"
"って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","0","8","1","2013","0","2","0","106011","0.5","11"
"1","","","","2014","","2","","4","","93"
"psy_talk_sad","0.2","1","","2015","","2","","106011","","3"
"","","","","2016","","2","","2013","","91"
"psy_idle_sad","0.2","1","","2017","","2","","106011","","3"
"psy_miyako_appear","0.2","0","psy_miyako_thinking4","2018","1","2","0.2","119931","","3"
"psy_smoke_appear","0","0","psy_smoke_start","2019","0","2","0","1","","3"
"vo_minigame_1008_drama_0301","","0","0","2020","","2","","vo_minigame_1008","","21"
"プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","0","4","1","2021","0","2","0","119931","1","11"
"1","","","","2022","","2","","1","","93"
"psy_surprise","0.2","0","psy_idle_surprise2","2023","1","2","0.2","106011","","3"
"","","","","2024","","2","","2021","","91"
"0","","","","2025","","2","","0","","22"
"psy_miyako_idle_thinking","0.2","1","","2026","","2","","119931","","3"
"psy_talk_surprise2","0.2","1","","2027","","2","","106011","","3"
"vo_minigame_1008_drama_0307","","0","0","2028","","2","","vo_minigame_1008","","21"
"キャッ！？\nいきなり出てきてなんなのよあんた！","0","8","1","2029","0","2","0","106011","0.5","11"
"","","","","2030","","2","","0","","91"
"psy_idle_surprise2","0.2","1","","2031","","2","","106011","","3"
"psy_miyako_anger1","0.2","1","","2032","","2","","119931","","3"
"vo_minigame_1008_drama_0302","","0","0","2033","","2","","vo_minigame_1008","","21"
"オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","0","5","1","2034","0","2","0","119931","1","11"
"1","","","","2035","","2","","8","","93"
"psy_miyako_thinking2","0.2","1","","2036","","2","","119931","","3"
"","","","","2037","","2","","2034","","91"
"0","","","","2038","","2","","0","","22"
"psy_talk_sad","0.2","1","","2039","","2","","106011","","3"
"vo_minigame_1008_drama_0308","","0","0","2040","","2","","vo_minigame_1008","","21"
"な、何よ……","0","8","1","2041","0","2","0","106011","0.5","11"
"","","","","2042","","2","","0","","91"
"psy_idle_sad","0.2","1","","2043","","2","","106011","","3"
"psy_miyako_run","0.2","1","","2044","","2","","119931","","3"
"0","","-200","2","2045","0","2","","119931","","2"
"","","","","2046","","2","","2","","93"
"psy_miyako_thinking2","0.2","1","","2047","","2","","119931","","3"
"vo_minigame_1008_drama_0303","","0","0","2048","","2","","vo_minigame_1008","","21"
"むむむむむ……\nオマエ、なんかおいしそうなの……","0","6","1","2049","0","2","0","119931","1","11"
"","","","","2050","","2","","0","","91"
"0","","","","2051","","2","","0","","22"
"","","","","2052","","2","","0.5","","93"
"psy_talk_sad","0.2","1","","2053","","2","","106011","","3"
"vo_minigame_1008_drama_0309","","0","0","2054","","2","","vo_minigame_1008","","21"
"はぁ～？","0","8","1","2055","0","2","0","106011","0.5","11"
"","","","","2056","","2","","0","","91"
"psy_idle_sad","0.2","1","","2057","","2","","106011","","3"
"vo_minigame_1008_drama_0304","","0","0","2058","","2","","vo_minigame_1008","","21"
"オマエをプリンにしてやるの～～！！","0","6","1","2059","0","2","0","119931","0.5","11"
"1","","","","2060","","2","","0.5","","93"
"psy_miyako_attack_in","0.2","0","psy_miyako_attack_loop","2061","1","2","0","119931","","3"
"1","","","","2062","","2","","0.2","","93"
"psy_surprise","0.2","0","psy_idle_surprise2","2063","1","2","0.2","106011","","3"
"","","","","2064","","2","","2059","","91"
"0","","","","2065","","2","","0","","22"
"psy_talk_surprise2","0.2","1","","2066","","2","","106011","","3"
"vo_minigame_1008_drama_0310","","0","0","2067","","2","","vo_minigame_1008","","21"
"な、なんなのよこの店～～！！","0","8","1","2068","0","2","0","106011","0.5","11"
"","","","","2069","","2","","0","","91"
"0","","","","2070","","2","","106011","","4"
"psy_run_shy","0.2","1","","2071","","2","","106011","","3"
"psy_miyako_attack_loop_move","0.2","1","","2072","","2","","119931","","3"
"1000","","-220","3","2073","0","2","","106011","","2"
"1000","","-220","5","2074","0","2","","119931","","2"
"","","","","2075","","2","","3.5","","93"
"0","","","","2076","","2","","0","","22"
"","","","","2077","","2","","0","","91"
"119931","1.65","100","-250","3001","-150","3","1","1","psy_miyako_gasagoso_B","1"
"105511","1.7","100","340","3002","-180","3","1","1","psy_walk","1"
"11","1","0","0","3003","1","3","","1","","31"
"1","1.7","101","-300","3004","-220","3","0","1","psy_smoke_start","5"
"225","","-180","2","3005","0","3","","105511","","2"
"","","","","3006","","3","","2","","93"
"psy_talk_wish","0.2","1","","3007","","3","","105511","","3"
"vo_minigame_1008_drama_0203","","0","0","3008","","3","","vo_minigame_1008","","21"
"こ、ここで先輩が働いてるんですよね？","0","8","1","3009","0","3","0","105511","0.5","11"
"","","","","3010","","3","","0","","91"
"psy_ayumi_kyoro_in","0.2","0","psy_ayumi_kyoro_loop","3011","1","3","0","105511","","3"
"","","","","3012","","3","","1.8","","93"
"psy_talk_joy1","0.2","1","","3013","","3","","105511","","3"
"vo_minigame_1008_drama_0204","","0","0","3014","","3","","vo_minigame_1008","","21"
"わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","0","8","1","3015","0","3","0","105511","0.5","11"
"","","","","3016","","3","","0","","91"
"psy_talk_call","0.2","1","","3017","","3","","105511","","3"
"vo_minigame_1008_drama_0205","","0","0","3018","","3","","vo_minigame_1008","","21"
"あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","0","8","1","3019","0","3","0","105511","0.5","11"
"1","","","","3020","","3","","3","","93"
"5","0","0.8","1","3021","0","3","0","119931","0","12"
"0","","","","3022","","3","","119931","","4"
"psy_miyako_idle_thinking","0","1","","3023","","3","","119931","","3"
"1","","","","3024","","3","","1.5","","93"
"1","","","","3025","","3","","119931","","4"
"psy_miyako_gasagoso_B","0","1","","3026","","3","","119931","","3"
"1","","","","3027","","3","","0.5","","93"
