87995bc8781a1c59c19437b3df9bb20d783426c9112d12e3a1b75e106b96a749,dae5e924d04080829a5f570b4e1b9bbfb6dbcf0798c7cea82366b1f1bcd50f24,e0d3316e4983512874a9a4c0983c4ce9ec6e2dee711c2790cd6321ed989b260b,77f77ddf832453d753b4c6433d842de58d6e3ed8b84332f9ff1f39968b6db902,6157812d9093cadf86de1edb4928dcddf259b3f557148cdb1deeda64d49fcf50,e52da1c305b0d2cc92a312a1c827dfe6544a0b6e599c81a28d9d6c0e0b0ac25e,fcc7c390766736e95e68b3aeecf65bae8360acf4c39b6a15afba4ae69c12b5a8,ed78027f89c7d9707d9a43a7c7971c55cd7f97ac61d583f59e0628fcaf02cd04,fcb7473b2fbeed728c2ca96dee4d309cd77bda906e026ddcd3d05103e1972716
"23001","21600","1","2","","2","1","1",""
"23001","19800","1","3","","2","1","2",""
"23001","18000","1","3","","2","1","3",""
"23001","16200","1","3","","2","1","4",""
"23001","14400","1","4","","2","1","5",""
"23001","12960","1","4","","2","1","6",""
"23001","11520","1","5","","2","1","7",""
"23001","10080","1","6","","2","1","8",""
"23001","8640","1","7","","2","1","9",""
"23001","7200","1","8","","2","1","10",""
"23001","5760","1","10","","2","1","11",""
"23001","5040","1","12","","2","1","12",""
"23001","4320","1","14","","2","1","13",""
"23001","7200","1","16","","2","2","14",""
"23001","5400","1","18","","2","2","15",""
"23001","5040","1","18","","2","2","16",""
"23001","4800","1","18","","2","2","17",""
"23001","4500","1","20","","2","2","18",""
"23001","4320","1","20","","2","2","19",""
"23001","6000","1","24","","2","3","20",""
"23001","5700","1","48","","2","3","21",""
"23001","5400","1","48","","2","3","22",""
"23001","5220","1","51","","2","3","23",""
"23001","4980","1","54","","2","3","24",""
"23001","4800","1","54","","2","3","25",""
"23001","4500","1","60","","2","3","26",""
"23001","4320","1","60","","2","3","27",""
"23001","4200","1","63","","2","3","28",""
"23001","5400","1","64","","2","4","29",""
"23001","5220","1","68","","2","4","30",""
"23001","5040","1","72","","2","4","31",""
"23001","4920","1","72","","2","4","32",""
"23001","4800","1","72","","2","4","33",""
"23001","4680","1","76","","2","4","34",""
"23001","4500","1","80","","2","4","35",""
"23001","4320","1","80","","2","4","36",""
"23001","4260","1","84","","2","4","37",""
"93001","21600","2","80","","6","20","1",""
"93001","21600","2","96","","6","24","2",""
"93001","21600","2","112","","6","28","3",""
"93001","21600","2","120","","6","30","4",""
"93001","21600","2","128","","6","32","5",""
"93001","21600","2","136","","6","34","6",""
"93001","21600","2","144","","6","36","7",""
"93001","21600","2","152","","6","38","8",""
"93001","21600","2","160","","6","40","9",""
"93001","21600","2","168","","6","42","10",""
"93001","21600","2","176","","6","44","11",""
"93001","21600","2","184","","6","46","12",""
"93001","21600","2","192","","6","48","13",""
"93001","21600","2","200","","6","50","14",""
"93001","21600","2","208","","6","52","15",""
"93001","21600","2","216","","6","54","16",""
"93001","21600","2","224","","6","56","17",""
"93001","21600","2","232","","6","58","18",""
"93001","21600","2","240","","6","60","19",""
"93001","21600","2","248","","6","62","20",""
"93001","21600","2","256","","6","64","21",""
"93001","21600","2","264","","6","66","22",""
"93001","21600","2","272","","6","68","23",""
"93001","21600","2","280","","6","70","24",""
"93001","21600","2","288","","6","72","25",""
"93001","21600","2","296","","6","74","26",""
"93001","21600","2","304","","6","76","27",""
"93001","21600","2","312","","6","78","28",""
"93001","21600","2","320","","6","80","29",""
"93001","21600","2","328","","6","82","30",""
"93001","21600","2","336","","6","84","31",""
"93001","21600","2","340","","6","85","32",""
"93001","21600","2","344","","6","86","33",""
"93001","21600","2","348","","6","87","34",""
"93001","21600","2","352","","6","88","35",""
"93001","21600","2","356","","6","89","36",""
"93001","21600","2","360","","6","90","37",""
"20001","14400","3","3","","2","1","1",""
"20001","9600","3","5","","2","1","2",""
"20001","7200","3","7","","2","1","3",""
"20001","5400","3","10","","2","1","4",""
