b15afe1698d3e06250b884580111fba58fa95fe464d737de924fa4ca3fb25fff,5870c84d66b81dea0a1cb1b74a77dcf3f90abdb3768c08463b7088cfa4caa214,4ab25a31041be63e317f0cbbc4c055cefbee3726365a79527aed8ef10e22d9a1,c30876a7c8920c399f0922e15715fe9e1b9afe7174a1a5b1b51dd69ed2b9d98f,5acb89b743731d7775a9a5cbf47d1c7a17347112f91f1c880975f29d7460b0a0,af1a3f76bbfe87dfc8b6f12541718199d426a0c507b5e2495bdf0ce1b310e6d2,a2daa4e36116c521b579aab870a12aa49085a4b8fcc5c7c581ffc66b08540810,4e40f64b0df66db18c3ee434f3617b7a0a0ef57347d31e5c5219a97c4ef6de3f,a5ec4a4ef5a8e7bd1805d3866584cd1cabe4e6e31231be9f4cb7c026bd20aec5,61f6b010e1b7e32e3212b4b69f6525783f02286bb11dba07c1b195e0e275e5b5,984b5e418026cc328697ff75337b25521f03f07010af50d72eab6eb7ae50cc21,54fb37129210022c58cb66a0ab7717fddb85f85b20fcc044de7280726e9b2ab0,59a54a131dd740ffda85139517e5bfbe4cb78db7dc9c867beb2308e2e6d6151a,6f7bed0296f434c2d9db39677120890b11f4100dcd6970025ded55c0c887c08b,3239cbfe28712f1d29528b76241206a2e2823e805d5af3307da30fff1369730d,59e04f6f1e752ed6de6325f96d68128f5e8311ae5993e7391f71158bb2a10df2,4ee872c2bf81f7bfd2790f6663e6255a48db2fe8cef4af571ca42094ce874657,842cc728b3a759c9632bf41689991ece3d4e9627a3e1db4880ec14da04307ba9,4ea608a4eaffdfa8cc76df9934c8397812f29fbfa02cf076a5bd814caf2d3233,f1e2df450456a476bfcfaab262860aba9ed66d35a64ffac2e9819fab6b4c85df,56f97a276d06fafac34492b1920bf79925d8ad024cc0ef1f3115a343601f4ada
"0","0","0","0","0","0","0","0","0","1","0","0","0","アイアンブレード","0","0","0","剣","0","0","101011"
"0","0","0","0","0","0","0","0","0","1","0","0","0","キラーペンシル","0","0","0","短剣","0","0","101071"
"0","0","0","0","0","0","0","0","0","1","0","0","0","ウッドグリップ","0","0","0","ナックル","0","0","101101"
"0","0","0","0","0","0","0","0","0","1","0","0","0","狩人の弓","0","0","0","弓","0","0","101131"
"0","0","0","0","0","0","0","0","0","1","0","0","0","鋼の槍","0","0","0","槍","0","0","101161"
"0","0","0","0","0","0","0","0","0","1","0","0","0","片手斧","0","0","0","斧","0","0","101191"
"0","0","0","0","0","0","0","0","0","1","0","0","0","香木の杖","0","0","0","回復杖","0","0","101251"
"0","0","0","0","0","0","0","0","0","1","0","0","0","革のサロペット","0","0","0","軽装鎧","0","0","101281"
"0","0","0","0","0","0","0","0","0","1","0","0","0","旅立ちのローブ","0","0","0","魔法服","0","0","101371"
"0","0","0","0","0","0","0","0","0","1","0","0","0","木の盾","0","0","0","盾","0","0","101401"
"0","0","0","0","0","0","0","0","0","1","0","0","0","革のブーツ","0","0","0","靴","0","0","101431"
"0","0","0","0","0","0","0","0","0","1","0","0","0","おしゃれなベレー","0","0","0","魔法帽子","0","0","101521"
"0","0","0","0","0","0","0","0","0","1","0","0","0","やる気のブレスレット","0","0","0","攻撃アクセサリ","0","0","101551"
"0","0","0","0","0","0","0","0","0","1","0","0","0","御守りペンダント","0","0","0","防御アクセサリ","0","0","101581"
"0","0","0","0","0","0","0","0","0","1","0","0","0","気合のブレスレット","0","0","0","魔法アクセサリ","0","0","101611"
"13","30","0","0","0","0","0","0","0","2","0","0","0","ギアブレード","0","0","0","剣","0","0","102011"
"27","60","0","0","0","0","0","0","0","2","0","0","0","ブルーブラッド","0","0","0","剣","0","0","102013"
"27","0","1","1","0","0","0","0","0","2","0","0","0","オーロラの剣","0","0","0","剣","0","0","102014"
"30","35","0","0","0","0","0","0","0","2","0","0","0","クレセントソード","0","0","0","刀","0","0","102041"
"13","0","0","0","0","0","0","5","0","2","0","0","0","コマンドナイフ","0","0","0","短剣","0","0","102071"
