15c7f2501135d27c5fc706b325ee2890f4f52199fbe0c322bc8faf89d7a2da84,a58bd3c10518d813dc7cf9fdd913517dca1fc6396ae0fd7c7b992bba63c33d7d,00d719fb3f7cc37f287cb621dbe84f8c9dbd5858b97a7b893aa26b10cf6ee125,1f12e692bfb1c6988924e90bcbec8f2988c0615449fd255388424e71e169a6c8,48f70e401600ed726bec35a9d5d2461560daa5008a2558f5da90a4d76b9641f4,761d4181276fe06d2475d173e2d8e3f9e89e76ff7f1d0d2674322436d4249068,b82d649405c7b823ac370d1fe1d0b6e92631934d2510588bbb32100c4e9f4f1d,f7466be28bb018a218c3f10d9c1c2bd9ec80787cfd010691f6a85a50b77a3c67,6e94bf639e504ea1e6988b7ce3477b53c863165f337fe9ce6401f7b18390daa1,9c68facb12244b5e8cc1587bb53d825e68671f9a9648aea600b566c221bf19d3,c7df02890c88871dff2e4b229bf59f35117aa2e2827bc196074ec369017ab682
"284001001","25014","2","8","2","31","10","8","25021","91002","1"
"284001002","25014","2","8","2","31","10","8","25021","91002","2"
"284001003","25014","2","8","2","32","10","8","25021","91002","3"
"284001004","25014","2","8","2","32","10","8","25021","91002","4"
"284001005","25014","2","8","2","33","10","8","25021","91002","5"
"284001006","25014","2","8","2","33","10","9","25021","91002","6"
"284001007","25014","2","8","2","34","10","9","25021","91002","7"
"284001008","25014","2","8","2","35","10","9","25021","91002","8"
"284001009","25014","2","8","2","35","10","9","25021","91002","9"
"284001010","25014","2","8","2","37","30","10","25021","91002","10"
"284001011","25014","2","8","2","41","10","10","25021","91002","11"
"284001012","25014","2","8","2","43","10","11","25021","91002","12"
"284001013","25014","2","8","2","46","10","11","25021","91002","13"
"284001014","25014","2","8","2","48","10","12","25021","91002","14"
"284001015","25014","2","8","2","50","10","12","25021","91002","15"
"284001016","25014","2","8","2","53","10","13","25021","91002","16"
"284001017","25014","2","8","2","55","10","14","25021","91002","17"
"284001018","25014","2","8","2","58","10","14","25021","91002","18"
"284001019","25014","2","8","2","60","10","15","25021","91002","19"
"284001020","25014","2","8","2","62","30","15","25021","91002","20"
"284001021","25014","2","8","2","68","10","16","25021","91002","21"
"284001022","25014","2","8","2","70","10","16","25021","91002","22"
"284001023","25014","2","8","2","72","10","16","25021","91002","23"
"284001024","25014","2","8","2","75","10","17","25021","91002","24"
"284001025","25014","2","8","2","77","10","18","25021","91002","25"
"284001026","25014","2","8","2","79","10","18","25021","91002","26"
"284001027","25014","2","8","2","82","10","19","25021","91002","27"
"284001028","25014","2","8","2","84","10","19","25021","91002","28"
"284001029","25014","2","8","2","86","10","19","25021","91002","29"
"284001030","25014","2","8","2","89","30","20","25021","91002","30"
"284001031","25014","2","8","2","94","10","20","25021","91002","31"
"284001032","25014","2","8","2","96","10","21","25021","91002","32"
"284001033","25014","2","8","2","99","10","21","25021","91002","33"
"284001034","25014","2","8","2","101","10","22","25021","91002","34"
"284001035","25014","2","8","2","103","10","22","25021","91002","35"
"284001036","25014","2","8","2","106","10","23","25021","91002","36"
"284001037","25014","2","8","2","108","10","23","25021","91002","37"
"284001038","25014","2","8","2","111","10","24","25021","91002","38"
"284001039","25014","2","8","2","113","10","25","25021","91002","39"
"284001040","25014","2","8","2","115","30","25","25021","91002","40"
"284001041","25014","2","8","2","121","10","26","25021","91002","41"
"284001042","25014","2","8","2","123","10","27","25021","91002","42"
"284001043","25014","2","8","2","125","10","28","25021","91002","43"
"284001044","25014","2","8","2","128","10","28","25021","91002","44"
"284001045","25014","2","8","2","130","10","29","25021","91002","45"
"284001046","25014","2","8","2","132","10","30","25021","91002","46"
"284001047","25014","2","8","2","135","10","30","25021","91002","47"
"284001048","25014","2","8","2","137","10","31","25021","91002","48"
"284001049","25014","2","8","2","139","10","31","25021","91002","49"
"284001050","25014","2","8","2","142","30","31","25021","91002","50"
"284001051","25014","2","8","2","144","10","32","25021","91002","51"
"284001052","25014","2","8","2","146","10","32","25021","91002","52"
"284001053","25014","2","8","2","149","10","32","25021","91002","53"
"284001054","25014","2","8","2","152","10","33","25021","91002","54"
"284001055","25014","2","8","2","155","10","33","25021","91002","55"
"284001056","25014","2","8","2","157","10","33","25021","91002","56"
"284001057","25014","2","8","2","160","10","34","25021","91002","57"
"284001058","25014","2","8","2","163","10","34","25021","91002","58"
"284001059","25014","2","8","2","166","10","34","25021","91002","59"
"284001060","25014","2","8","2","169","30","35","25021","91002","60"
"284001061","25014","2","8","2","171","10","35","25021","91002","61"
"284001062","25014","2","8","2","174","10","35","25021","91002","62"
"284001063","25014","2","8","2","177","10","36","25021","91002","63"
"284001064","25014","2","8","2","180","10","36","25021","91002","64"
"284001065","25014","2","8","2","182","10","36","25021","91002","65"
"284001066","25014","2","8","2","185","10","37","25021","91002","66"
"284001067","25014","2","8","2","187","10","37","25021","91002","67"
"284001068","25014","2","8","2","190","10","37","25021","91002","68"
"284001069","25014","2","8","2","193","10","38","25021","91002","69"
"284001070","25014","2","8","2","196","30","38","25021","91002","70"
