6a60d7f6b902944058aea80ac4c4404a8cd231ebe76c7710e021f0d6a94999ed,3c2ccac3b447e30f9f82d3cfb834c84c1c2e7b4ea41145c0291f5daf67b575c3,5b726d267df951e849e649d093b0deadacc3a07e03e9456427b689b14f670c94
"1","0","1"
"1","1","1"
"1","2","1"
"1","5","1"
"1","0","2"
"1","1","2"
"1","2","2"
"1","5","2"
"1","0","3"
"1","1","3"
"1","2","3"
"1","5","3"
"1","0","4"
"1","1","4"
"1","2","4"
"1","5","4"
"1","0","5"
"1","1","5"
"1","2","5"
"1","5","5"
"1","0","6"
"1","1","6"
"1","2","6"
"1","5","6"
"1","0","7"
"1","1","7"
"1","2","7"
"1","5","7"
"1","0","8"
"1","1","8"
"1","2","8"
"1","5","8"
"1","0","9"
"1","1","9"
"1","2","9"
"1","5","9"
"1","0","10"
"1","1","10"
"1","2","10"
"1","5","10"
