1db15ca61a5c2d695767269b2aa3b43ef0600814c4a35b14d9031eda1ddef7b9,43cae53698036ebd1cede847cefc15d0b93ce8ee1b39a936c068aec484b306b8,b37095f5f7817d52f544643edfcb32cd5951c0d430b7d633b43179fd81a000b2,a4eaaf463e165d7a374c307145da9c04a2c3cb8275067c62579b420721db874f,0b7d1c742510d07a5b3abd36e337ab83cae735af749abe29ca1ee13f83a09505,06d072961d28751db5b641710d5f78caa79c97e00ef875157d7d7d50a80d1e05,a06fc9c80865d0e3299688ca06a7affacd78e51cc8e37e52b3ec217e16050556,ea48ffe71d36e4e8ad82e562fb248bc95ff75b2090040f161f20342494e0b504,287e8db3941ad433a20ab8248949b1f3f6e3ad78eca9d3dbde1848439dfe938a,ac5f3e34830bdd4944ea52f1a7ba4308bc23e1d0ae3b003af537454b7465bff1,39febe64dfdd8e6878a2c8d0c50bc42b10d63f8a5658435b08c73ffaf378524a,e7d8988bb0775c0b5dc1fd1df317514660da22d3de7a25005632b7a9448cc9bb
"107601","107601","10004","0","2018/06/30 12:00:00","1004","0","0","0","2018/07/19 14:59:59","5004401","1"
"107601","1000403","10004","0","2018/06/30 12:00:00","1002","0","1","0","2018/07/19 14:59:59","5004402","2"
"107701","10","10004","0","2018/06/30 12:00:00","1001","0","0","0","2018/07/19 14:59:59","5004403","3"
"107501","20","10004","0","2018/06/30 12:00:00","1001","0","0","0","2018/07/19 14:59:59","5004404","4"
"107601","30","10004","0","2018/06/30 12:00:00","1001","0","0","0","2018/07/19 14:59:59","5004405","5"
"107501","2","10004","0","2018/06/30 12:00:00","1003","0","0","0","2018/07/19 14:59:59","5004406","6"
"107601","5","10004","0","2018/06/30 12:00:00","1003","0","0","0","2018/07/19 14:59:59","5004407","7"
"107801","8","10004","0","2018/06/30 12:00:00","1003","0","0","0","2018/07/19 14:59:59","5004408","8"
"107701","12","10004","0","2018/06/30 12:00:00","1003","0","0","0","2018/07/19 14:59:59","5004409","9"
"107501","16","10004","0","2018/06/30 12:00:00","1003","0","0","0","2018/07/19 14:59:59","5004410","10"
"107601","20","10004","0","2018/06/30 12:00:00","1003","0","0","0","2018/07/19 14:59:59","5004411","11"
"108001","108001","10005","0","2018/07/31 12:00:00","1004","0","0","0","2018/08/19 14:59:59","5005401","12"
"107901","1000503","10005","0","2018/07/31 12:00:00","1002","0","1","0","2018/08/19 14:59:59","5005402","13"
"108001","10","10005","0","2018/07/31 12:00:00","1001","0","0","0","2018/08/19 14:59:59","5005403","14"
"107901","20","10005","0","2018/07/31 12:00:00","1001","0","0","0","2018/08/19 14:59:59","5005404","15"
"108001","30","10005","0","2018/07/31 12:00:00","1001","0","0","0","2018/08/19 14:59:59","5005405","16"
"107901","2","10005","0","2018/07/31 12:00:00","1003","0","0","0","2018/08/19 14:59:59","5005406","17"
"108001","5","10005","0","2018/07/31 12:00:00","1003","0","0","0","2018/08/19 14:59:59","5005407","18"
"107901","8","10005","0","2018/07/31 12:00:00","1003","0","0","0","2018/08/19 14:59:59","5005408","19"
"108001","12","10005","0","2018/07/31 12:00:00","1003","0","0","0","2018/08/19 14:59:59","5005409","20"
"107901","16","10005","0","2018/07/31 12:00:00","1003","0","0","0","2018/08/19 14:59:59","5005410","21"
"108001","20","10005","0","2018/07/31 12:00:00","1003","0","0","0","2018/08/19 14:59:59","5005411","22"
"103701","1000603","10006","0","2018/08/31 12:00:00","1002","0","1","0","2018/09/18 14:59:59","5006402","23"
"100501","10","10006","0","2018/08/31 12:00:00","1001","0","0","0","2018/09/18 14:59:59","5006403","24"
"103701","20","10006","0","2018/08/31 12:00:00","1001","0","0","0","2018/09/18 14:59:59","5006404","25"
"104701","30","10006","0","2018/08/31 12:00:00","1001","0","0","0","2018/09/18 14:59:59","5006405","26"
"100501","2","10006","0","2018/08/31 12:00:00","1003","0","0","0","2018/09/18 14:59:59","5006406","27"
"103701","5","10006","0","2018/08/31 12:00:00","1003","0","0","0","2018/09/18 14:59:59","5006407","28"
"104701","8","10006","0","2018/08/31 12:00:00","1003","0","0","0","2018/09/18 14:59:59","5006408","29"
"107101","12","10006","0","2018/08/31 12:00:00","1003","0","0","0","2018/09/18 14:59:59","5006409","30"
"100501","16","10006","0","2018/08/31 12:00:00","1003","0","0","0","2018/09/18 14:59:59","5006410","31"
"104701","19","10006","0","2018/08/31 12:00:00","1003","0","0","0","2018/09/18 14:59:59","5006411","32"
"108201","108201","10007","0","2018/09/30 12:00:00","1004","0","0","0","2018/10/18 14:59:59","5007401","33"
"108101","1000703","10007","0","2018/09/30 12:00:00","1002","0","1","0","2018/10/18 14:59:59","5007402","34"
"108101","10","10007","0","2018/09/30 12:00:00","1001","0","0","0","2018/10/18 14:59:59","5007403","35"
"108201","20","10007","0","2018/09/30 12:00:00","1001","0","0","0","2018/10/18 14:59:59","5007404","36"
"108101","30","10007","0","2018/09/30 12:00:00","1001","0","0","0","2018/10/18 14:59:59","5007405","37"
"108201","2","10007","0","2018/09/30 12:00:00","1003","0","0","0","2018/10/18 14:59:59","5007406","38"
