1a6b27c49cec455e9cc7cca984b42fc2edf8281dae261cede87c0485bc76c944,00c6de8aaeb4703390c25e16d899bbe79d70531d25d7c8091ef17eebfc85ae9f,da2e6b69a7e986807e3a03c45bb8f57f2b18a13885396ae231ec600784f4523b,3d0293c7eaff173c359c96effd8bd7b63cc047e91d8b4d43c94b2e8db9506318,ed5b7786982cb7d2ad9167f3b6bbb76bdb50f00097006b5532973d708ef9fe70,797c611417b5c6731f0a81102dcfcf081715b5c76374e3a9d247749c807e6011,1aadda3db1fd40ee060426a98c7e0c3df8e6ce709c1633a6999d8bfa7332d9d7
"50","0","1","50","0","9999999","1"
"80","0","2","20","0","9999999","2"
"30","0","3","70","0","2000","3"
"40","30","3","30","0","5000","4"
"40","40","3","0","20","10000","5"
"30","40","3","0","30","15000","6"
"25","40","3","0","35","20000","7"
"20","40","3","0","40","25000","8"
"15","40","3","0","45","30000","9"
"10","40","3","0","50","35000","10"
"10","35","3","0","55","40000","11"
"5","35","3","0","60","45000","12"
"5","30","3","0","65","50000","13"
"0","30","3","0","70","55000","14"
"0","25","3","0","75","60000","15"
"0","20","3","0","80","65000","16"
"0","15","3","0","85","70000","17"
"0","10","3","0","90","75000","18"
"0","5","3","0","95","80000","19"
"0","0","3","0","100","9999999","20"
