3b246d549b6b79cda78610de48adc94e53acf682d345e5ecc1836e09e779bf4b,89ab2faa38d7fbe83f75e89d638afa3d9ea68ff79fa0d01637961573f3ef0abb,fcee8140a286c6a8d555c6255a5c5fd61f1d9122065965c638c816609b639a0d,73aab1ef192f4a414a9ba35af6c3bc44a43375f3810380cb93613addc490f7e0,aa40c18798a7cfdbbc4604ffebbb00922938a4273c3aa3d01d1075f734edfa4c,db9d7c45f12d138f108f9d87acbf15253526d186ee61344298e64e8ba5090a24,ec18ed5eaf74f2c499f97f3ec074e447512f0e56229b208ae9f2a7898b16c184,880db96eb17d1a570f85d58892d81704d7c8aabec19b3e650c92e9d6d4d463c2,278124e392c8a8faef1ab569492995c1b80263e35e449cdb79d714603443588b,2ec0544711bbc7dc4b4812a015d58231a41dbe8971287d80ab716c2b97cebecf
"101","0","111","3","0","25101","0","0","5000000","2"
"201","0","211","3","0","25101","0","0","5000000","2"
"301","0","311","2","0","25101","0","0","5500000","2"
"401","0","411","2","0","25101","0","0","5500000","2"
"501","0","511","3","0","25101","0","0","6000000","2"
"601","0","611","2","0","25101","0","0","6000000","2"
"701","0","711","2","0","25101","0","0","6500000","2"
"801","0","811","2","0","25101","0","0","6500000","2"
"901","0","911","3","0","25101","0","0","7000000","2"
"1001","0","1011","2","0","25101","0","0","7000000","2"
"1101","0","1111","2","0","25101","0","1112","7500000","2"
"1201","0","1211","2","0","25101","0","1212","7500000","2"
"1301","0","1311","3","0","25101","0","0","8000000","2"
"1401","0","1411","2","0","25101","0","0","8000000","2"
"1501","0","1511","2","0","25101","0","0","8500000","2"
"1601","0","1611","2","0","25101","0","0","8500000","2"
"1701","0","1711","3","0","25101","0","0","9000000","2"
"1801","0","1811","2","0","25101","0","1812","9000000","2"
"1901","0","1911","2","0","25101","0","0","9500000","2"
"2001","0","2011","2","0","25101","0","0","9500000","2"
"2101","0","2111","3","0","25101","0","0","10000000","2"
"2201","0","2211","2","0","25101","0","0","10000000","2"
"2301","0","2311","2","0","25101","0","0","10500000","2"
"2401","0","2411","2","0","25101","0","0","10500000","2"
"2501","0","2511","3","0","25101","0","0","11000000","2"
"2601","0","2611","2","0","25101","0","2612","11000000","2"
"2701","0","2711","2","0","25101","0","2712","11500000","2"
"2801","0","2811","2","0","25101","0","2812","11500000","2"
"2901","0","2911","3","0","25101","0","0","12000000","2"
"3001","0","3011","2","0","25101","0","3012","12000000","2"
"3101","0","3111","2","0","25101","0","0","12500000","2"
"3201","0","3211","2","0","25101","0","0","12500000","2"
"3301","0","3311","3","0","25101","0","0","13000000","2"
"3401","0","3411","3","0","25101","0","0","13000000","2"
"3501","0","3511","3","0","25101","0","0","13500000","2"
"3601","0","3611","3","0","25101","0","0","13500000","2"
"3701","0","3711","3","0","25101","0","0","13500000","2"
"3801","0","3811","3","0","25101","0","3812","14000000","2"
"3901","0","3911","3","0","25101","0","0","14000000","2"
"4001","0","4011","3","0","25101","0","0","14000000","2"
"4101","0","4111","3","0","25101","0","0","14500000","2"
"4201","0","4211","3","0","25101","0","4212","14500000","2"
"4301","0","4311","3","0","25101","0","0","14500000","2"
"4401","0","4411","3","0","25101","0","0","15000000","2"
"4501","0","4511","3","0","25101","0","0","15000000","2"
"4601","0","4611","3","0","25101","0","0","15000000","2"
"4701","0","4711","3","0","25101","0","0","15500000","2"
"4801","0","4811","3","0","25101","0","0","15500000","2"
"4901","0","4911","3","0","25101","0","0","15500000","2"
"5001","0","5011","3","0","25101","0","0","16000000","2"
"5101","0","5111","3","0","25101","0","0","16000000","2"
"5201","0","5211","3","0","25101","0","0","16000000","2"
"5301","0","5311","3","0","25101","0","0","16500000","2"
"5401","0","5411","3","0","25101","0","5412","16500000","2"
"5501","0","5511","3","0","25101","0","0","16500000","2"
"5601","0","5611","3","0","25101","0","0","17000000","2"
"5701","0","5711","3","0","25101","0","0","17000000","2"
"5801","0","5811","3","0","25101","0","0","17000000","2"
"5901","0","5911","3","0","25101","0","0","17500000","2"
"6001","0","6011","3","0","25101","0","0","17500000","2"
"6101","0","6111","3","0","25101","0","0","17500000","2"
"6201","0","6211","3","0","25101","0","6212","18000000","2"
