e1494298595b689bbd50ab9d369ab716979d670011c9472fa0a8d05f84ae65e2,3aed220e0cdc7a921678689dd83dff375ddf2ac853df53e2745fc450c87157e0,64c0bc819d1f96f058bfcf6108a11d1f65ab4866bed0f436e09412cb6e999249,332c68ea46fad739bdbd2232521909c4b09dbfd74c2a7657a095af70c35c1ec5,9d18f9ce004e714613384add6a7e01734b8fea28213a93497d33518525bd79f4,f1ef0c743f68a20a472798a53e962f902c2deba33921c251051d69c58883f58a,9d3b93fb0ed2ccd2ae5317bbbf4c9ec2d1487bb3546df63c59fa02a376bf8c66,a60db99d802abd9e39a1639635b2881036a912f255af8a011c8af5adc2674b5c,6b7e6420175fa4f878ae02d3607056af4f8200d0ad2c19e56f87cc4913032fa8,b954e7cf3a0bcc508366a510095a5cbfe77b94545fc97fbd192b16eeff177582,5cc05482d2fe81c4821e064ff36a9b5c77e79c428935898d6ae456ae9829b2fc
"1","119931","1","1","1001","1.7","0","-220","-200","100","psy_miyako_idle"
"1","1","5","1","1002","1.7","1","-220","1000","100","psy_idle_normal"
"1","2","5","1","1003","1.7","0","-220","-50","105","psy_fairy_idle"
"1","11","31","1","1004","1","","1","0","0",""
"1","psy_item00_run","3","1","1005","0.2","","","","1",""
"1","285","2","1","1006","","","0","2.5","-220",""
"1","","93","2.5","1007","","","","","",""
"1","psy_item00_idle","3","1","1008","0.2","","","","1",""
"1","","93","0.5","1009","","","","","",""
"1","psy_miyako_talk1","3","119931","1010","0.2","","","","1",""
"1","vo_minigame_1008_drama_0101","21","vo_minigame_1008","1011","","","","0","0",""
"1","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","11","119931","1012","0","0","0","1","6","0.5"
"1","1","93","6","1013","","","","","",""
"1","psy_miyako_doya_in","3","119931","1014","0.2","0.2","1","psy_miyako_doya_loop","0",""
"1","","91","1012","1015","","","","","",""
"1","0","22","0","1016","","","","","",""
"1","psy_fairy_talk","3","2","1017","0.2","","","","1",""
"1","vo_minigame_1008_drama_9901","21","vo_minigame_1008","1018","","","","0","0",""
"1","キュイキュイ！","11","2","1019","0","0","0","1","6","0.5"
"1","","91","0","1020","","","","","",""
"1","psy_fairy_idle","3","2","1021","0.2","","","","1",""
"1","psy_miyako_talk2","3","119931","1022","0.2","","","","1",""
"1","vo_minigame_1008_drama_0102","21","vo_minigame_1008","1023","","","","0","0",""
"1","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","11","119931","1024","0","0","0","1","5","0.5"
"1","1","93","2","1025","","","","","",""
"1","psy_miyako_talk_joy2","3","119931","1026","0.2","","","","1",""
"1","","91","1024","1027","","","","","",""
"1","0","22","0","1028","","","","","",""
"1","psy_miyako_idle","3","119931","1029","0.2","","","","1",""
"1","1","4","2","1030","","","","","",""
"1","psy_fairy_run_in","3","2","1031","0.2","0","1","psy_fairy_run","0",""
"1","","93","1.3","1032","","","","","",""
"1","1000","2","2","1033","","","0","1","-220",""
"1","","93","2","1034","","","","","",""
"1","psy_miyako_doya_in","3","119931","1035","0.2","0.2","1","psy_miyako_doya_loop","0",""
