7a2de4a41bab9b4ec6d07af27bddb412d8031b77c9b7c33e33ae172e60953e7f,0c73ad35b5c7a48490d4fbd46b3a0d0614f67e9e327c9551c356c836ab783c86,c03214a817610fee5804208fb951b65d596c94409df8d48f1eda369b5ccd320c,b537ca8fe780bbc7c22402da0fb69587f56e27765aa814c7b1277d598349ae6a,38386620f890312e80ae1fd5abfcbd2394978140b422882e1ea9a7469dcf391c
"1","8000000","1001","94002","12"
"2","40","1001","90005","2"
"3","8000000","1002","94002","12"
"4","50","1002","90005","2"
"5","8000000","1003","94002","12"
"6","60","1003","90005","2"
"7","8000000","1004","94002","12"
"8","70","1004","90005","2"
"9","150","1005","91002","8"
"10","8000000","1005","94002","12"
"11","80","1005","90005","2"
"12","8000000","1006","94002","12"
"13","90","1006","90005","2"
"14","300","1007","91002","8"
"15","8000000","1007","94002","12"
"16","100","1007","90005","2"
"17","8000000","2001","94002","12"
"18","8000000","2002","94002","12"
"19","8000000","2003","94002","12"
"20","8000000","2004","94002","12"
"21","8000000","2005","94002","12"
"22","8000000","2006","94002","12"
"23","8000000","2007","94002","12"
"24","8000000","2008","94002","12"
"25","8000000","2009","94002","12"
"26","8000000","2010","94002","12"
"27","8000000","2011","94002","12"
"28","8000000","2012","94002","12"
"29","8000000","2013","94002","12"
"30","8000000","2014","94002","12"
"31","8000000","2015","94002","12"
"32","8000000","7001","94002","12"
"33","5","7001","90005","2"
"34","8000000","7002","94002","12"
"35","5","7002","90005","2"
"36","8000000","7003","94002","12"
"37","5","7003","90005","2"
"38","8000000","7004","94002","12"
"39","10","7004","90005","2"
"40","8000000","7005","94002","12"
"41","10","7005","90005","2"
"42","8000000","7006","94002","12"
"43","10","7006","90005","2"
"44","8000000","7007","94002","12"
"45","15","7007","90005","2"
"46","8000000","7008","94002","12"
"47","15","7008","90005","2"
"48","8000000","7009","94002","12"
"49","15","7009","90005","2"
"50","8000000","7010","94002","12"
"51","20","7010","90005","2"
"52","8000000","7011","94002","12"
"53","20","7011","90005","2"
"54","8000000","7012","94002","12"
"55","20","7012","90005","2"
"56","8000000","7013","94002","12"
"57","25","7013","90005","2"
"58","8000000","7014","94002","12"
"59","25","7014","90005","2"
"60","8000000","7015","94002","12"
"61","25","7015","90005","2"
"62","8000000","7016","94002","12"
"63","30","7016","90005","2"
"64","8000000","7017","94002","12"
"65","30","7017","90005","2"
"66","8000000","7018","94002","12"
"67","30","7018","90005","2"
"68","8000000","7019","94002","12"
"69","35","7019","90005","2"
"70","8000000","7020","94002","12"
"71","35","7020","90005","2"
"72","8000000","7021","94002","12"
"73","35","7021","90005","2"
"74","8000000","7022","94002","12"
"75","40","7022","90005","2"
"76","8000000","8001","94002","12"
"77","1000","8001","90008","2"
"78","8000000","8002","94002","12"
"79","1250","8002","90008","2"
"80","8000000","8003","94002","12"
"81","1500","8003","90008","2"
"82","8000000","8004","94002","12"
"83","1750","8004","90008","2"
"84","8000000","8005","94002","12"
"85","2000","8005","90008","2"
"86","8000000","8006","94002","12"
"87","2250","8006","90008","2"
"88","8000000","8007","94002","12"
"89","2500","8007","90008","2"
"90","50","9001","80001","2"
"91","50","9002","80002","2"
"92","50","9003","80003","2"
"93","50","9004","80004","2"
"94","50","9005","80005","2"
