fa69314f3eb88dae4f57db6cb0765f86790b8f61e8912fe6d7a179f81362657f,540028fd4c4f4601adb6c4900e0964c3ae1bb38e74f9e9ea63cf58f097f5c618,061af2913efa43e657aef6c0a2f62848060255ba6a8440d4d26d6a0375a8c0eb,b373bef911d4dcc3845b28ee4b181652acc79abe9ce4d7915f141e12bbfca673,d241a1d56c151af578d8ab3fa93d7dc0cf7595b5c23eda430e3a9617ce3f8086,92dc58d96ebbe2baf2dad9903ff441b0dc7584631f4e7c1c461a88cbd8f4670c,ff93ae0dbbf9b1c452aaf574c9dae0cf6f4a88b568a0b1d1f0a03629d742c2e2,3aa373320c34f5fd5d640fea08b3ef1b39748e599273dc662c8136ee62d8b638,c1041a2743e9dd4d2efe769265198dc6b7304de96f69d006fe7be1ead6920dc4,ba5128d426c3874d6ce7bbd131169b28e27fa966adade79905682a9d686debf1,7b7591cead7b996938934993c58b0a01ac2432f7a067ec9217da7fa3eb8377c4
"101","","se_fpc_water_random","se_10053800","","","23","","","","11010001"
"101","1.75","<unit_id>","1","-850","0","1","cmn_swm_tread","-180","23","11010002"
"101","1.75","1","1","-850","0","5","cmn_swm_tread_pink","-180","22","11010003"
"101","1","3","3","-180","","31","","1","-850","11010004"
"101","","0","0","","","91","","","","11010005"
"101","","850","<unit_id>","10","","2","","","-180","11010006"
"101","","850","1","10","","2","","","-180","11010007"
"101","","850","3","10","","33","","","-180","11010008"
"102","","se_fpc_water_random","se_10053800","","","23","","","","11020001"
"102","1.75","<unit_id>","1","-850","0","1","cmn_swm_tread","-180","23","11020002"
"102","1.75","1","1","-850","0","5","cmn_swm_tread_blue","-180","22","11020003"
"102","1","3","3","-180","","31","","1","-850","11020004"
"102","","0","0","","","91","","","","11020005"
"102","","850","<unit_id>","10","","2","","","-180","11020006"
"102","","850","1","10","","2","","","-180","11020007"
"102","","850","3","10","","33","","","-180","11020008"
"103","","se_fpc_water_random","se_10053800","","","23","","","","11030001"
"103","1.75","<unit_id>","1","-850","0","1","cmn_swm_tread","-180","23","11030002"
"103","1.75","1","1","-850","0","5","cmn_swm_tread","-180","22","11030003"
"103","1","3","3","-180","","31","","1","-850","11030004"
"103","","0","0","","","91","","","","11030005"
"103","","850","<unit_id>","10","","2","","","-180","11030006"
"103","","850","1","10","","2","","","-180","11030007"
"103","","850","3","10","","33","","","-180","11030008"
"151","","se_fpc_water_random","se_10053800","","","23","","","","11510001"
"151","1.75","<unit_id>","1","-850","0","1","cmn_swm_flutterKick","-180","22","11510002"
"151","1","1","1","-180","","31","","1","-850","11510003"
"151","","0","0","","","91","","","","11510004"
"151","","1050","<unit_id>","10","","2","","","-180","11510005"
"151","","1050","1","10","","33","","","-180","11510006"
"201","","se_fpc_water_random","se_10053800","","","23","","","","12010001"
"201","1.75","<unit_id>","1","-850","0","1","cmn_swm_breastStroke","-180","22","12010002"
"201","1","2","2","-180","","31","","1","-850","12010003"
"201","","0","0","","","91","","","","12010004"
"201","","850","<unit_id>","10","","2","","","-180","12010005"
"201","","850","2","10","","33","","","-180","12010006"
"251","","se_fpc_water_random","se_10053800","","","23","","","","12510001"
"251","1.75","<unit_id>","1","-850","0","1","cmn_swm_diving","-180","22","12510002"
"251","1","9","9","-180","","31","","1","-850","12510003"
"251","","0","0","","","91","","","","12510004"
"251","","850","<unit_id>","10","","2","","","-180","12510005"
"251","","850","9","10","","33","","","-180","12510006"
"301","","se_fpc_water_random","se_10053800","","","23","","","","13010001"
"301","1.75","<unit_id>","1","-850","0","1","cmn_swm_flutterKick_floatRing","-180","23","13010002"
"301","1.75","1","1","-850","0","5","cmn_swm_flutterKick_floatRing_pink","-180","22","13010003"
"301","1","1","1","-180","","31","","1","-850","13010004"
"301","","0","0","","","91","","","","13010005"
