19949f341813e77d6d8daa595d8f256ef54bf93ad46f6a92ec24de1268d34a6a,f76957899d73b1d0dc0af58e95d8083dc563588eb8e6a722c77afb256fc1a2ab,d0bd6f2b1b680807670a55e6281c2a0b048e039f1f149c17e8e6ee493f435b21,bf295eac9bf0bd4bbc5ef852afa134ef32dfe0dec6e1dab8fb6411e34e5c4f46
"1","2500","1","1"
"2","2000","2","1"
"107","2000","3","1"
"4","2000","4","1"
"3","1000","5","1"
"110","1000","6","1"
"5","1000","7","1"
"6","2000","8","1"
"105","2000","9","1"
"7","2000","10","1"
"1000","0","11","3"
"100","20","12","1"
"108","1000","13","1"
"101","20","14","1"
"102","5","15","1"
"109","1000","16","1"
"103","5","17","1"
"1","500","18","1"
"2000","0","19","2"
"1","500","20","1"
"25","0","21","5"
"2","3000","22","1"
"107","3000","23","1"
"4","3000","24","1"
"3","1500","25","1"
"110","1500","26","1"
"5","1500","27","1"
"6","3000","28","1"
"105","3000","29","1"
"7","3000","30","1"
"1","0","31","6"
"100","30","32","1"
"108","1500","33","1"
"101","30","34","1"
"102","10","35","1"
"109","1500","36","1"
"103","10","37","1"
"1","500","38","1"
"3000","0","39","2"
"1","500","40","1"
"50","0","41","4"
"2","1000","42","1"
"107","1000","43","1"
"4","1000","44","1"
"3","500","45","1"
"110","500","46","1"
"5","500","47","1"
"6","1000","48","1"
"105","1000","49","1"
"7","1000","50","1"
"1","2500","51","1"
"100","10","52","1"
"108","500","53","1"
"101","10","54","1"
"102","3","55","1"
"109","500","56","1"
"103","3","57","1"
"1","250","58","1"
"1000","0","59","2"
"1","250","60","1"
"101","0","61","7"
"2","2000","62","1"
"107","2000","63","1"
"4","2000","64","1"
"3","1000","65","1"
"110","1000","66","1"
"5","1000","67","1"
"6","2000","68","1"
"105","2000","69","1"
"7","2000","70","1"
"5000","0","71","2"
"100","20","72","1"
"108","1000","73","1"
"101","20","74","1"
"102","5","75","1"
"109","1000","76","1"
"103","5","77","1"
"1","500","78","1"
"2000","0","79","2"
"1","500","80","1"
"2000","0","81","3"
