65c8730ae0e74f57d3c9d977c3d8bdd1fa01b3a23c6da30425d6abdf986638f8,d86e2e07e134e58aa33e1e1c505e6a85e34f470ebc159bfc3f3c4d322843d109,3a5652ad28239590071a86afa80b3862b498008d0fb3fe60ed50e286a617b16a
"20114","118301","180701"
"20115","118301","180701"
"20116","118401","180701"
"20117","118401","180701"
"20118","118401","180701"
"20123","120501","180801"
"20124","120401","180801"
"20125","120601","180801"
"20126","120401","180801"
"20127","120501","180801"
"20128","120601","180801"
"30157","120601","180801"
"20129","121801","180901"
"20130","121801","180901"
"20131","121701","180901"
"20132","121801","180901"
"20133","121701","180901"
"20134","121701","180901"
"20135","121701","180901"
"20148","124301","181001"
"20149","124301","181001"
"20150","124401","181001"
"20151","124401","181001"
"20167","128101","181101"
"20168","128101","181101"
"20169","128101","181101"
"20170","128101","181101"
"20171","128201","181101"
"20172","128201","181101"
"20175","128101","181101"
