9472e5b4aa8a968453a3b517ca7f815162d985a538936e883febf2ee9c39c5f2,a470b047c4527fd255adb1f7b3402aebb8b3693f9d3bb61e81f6cf52da596286,513c775e542f58a9b5d1237c9701ceefbd5d1aa5bd5d888a4f6395e334004da1,b61dd564ec50adce7ea408541d4885f8df6b890940751f8fa8ca972ffb99599b,93fd6e25ad1891d2264008ed4d213067a4eac4c40f6f11fa9a4aef6119a20448
"2700","1","0","1","1"
"3600","2","0","2","1"
"5400","3","0","3","1"
"3600","4","1","1","1"
"5400","5","1","2","1"
"7200","6","1","3","1"
"1800","7","0","1","2"
"2700","8","0","2","2"
"3600","9","0","3","2"
"2700","10","1","1","2"
"4050","11","1","2","2"
"5400","12","1","3","2"
"1800","13","0","1","3"
"2700","14","0","2","3"
"3600","15","0","3","3"
"2700","16","1","1","3"
"4050","17","1","2","3"
"5400","18","1","3","3"
"1800","19","0","1","4"
"2700","20","0","2","4"
"3600","21","0","3","4"
"2700","22","1","1","4"
"4050","23","1","2","4"
"5400","24","1","3","4"
