b4ddaec6cb5a904cee9a3b565c522713c804843d1ac7c1908fd6f8ae76a8b401,7be7682f1f7e12681de5fb7064d3beae9930ea1ea9bf29dbae9506bf916cd64b,8f099892a3ef9d512a42a6843583dfdf9bd5a1c3f1a7920bf724f1d316aa93a5,93358991643e9185b04e48be08bcd43e3ae299324407eca806cab2a2ba090fd1,57c590f7d11206cf9020f8147d47e4f7995f160ccc0f339c56831de9a03ece72
"3001","803100201","1","0","3"
"3001","803100202","2","0","3"
"3001","803100203","3","0","3"
"3002","803100204","1","0","3"
"3002","803100205","2","0","3"
"3002","803100206","3","0","3"
"3003","803100207","1","0","3"
"3003","803100208","2","0","3"
"3003","803100209","3","0","3"
"3004","803100210","1","0","3"
"3004","803100211","2","0","3"
"3004","803100212","3","0","3"
"3005","803100213","1","0","3"
"3005","803100214","2","0","3"
"3005","803100215","3","0","3"
"3006","803100216","1","0","3"
"3006","803100217","2","0","3"
"3006","803100218","3","0","3"
"3007","803100219","1","0","3"
"3007","803100220","2","0","3"
"3007","803100221","3","0","3"
