1245200f39393ccc5b7ecdbde471932e1c12935932ee1e6631626862ae87b965,26e67972725a055a170f370b9985355b3d3accda3225bc1f87275b037056f5be,86e00df89b331a72a6c87bff19a7fd23d1dc757bf0dac5b23e6fb36f36f566e9,14bfe894b5d06826f895099b9c4a3a7da94f9c1fe72444b4c4f2b805416a4a9c,fb6c40188352585e4814a1f97e26a3fd1fbedb7dc9c36137429aa6f2c3779257,9555625eb43a4ee61f4712dd5d5d1231a2668a1f190bcdf0bf27842bd3d0f783,4e303f5bf68317b60e4cab90254d3449e18a08403399530ac90cfbb344390ca5,6338dcfbafe2beae5d74fa53c8da8f500f39656154961d2dabcb64a36224d543,45fadb986b8b7bbf0366d7c2d5017dfd8bd1dcb47e6a3657ab8533104c7d053a,abd670d2c1066a5c46aafbdab164c194e55a2d003b1cf15f50e6753e9158ca07,4af31114c5e1d07b0b57cf1496a6b0e494cef6f4f68f698e367d6bdbe1941d46
"61001","idle_normal","105811","1","1","-225","100","0","-278","1.8","5146061"
"61002","idle_normal","1058","5","6","-225","101","0","-278","1.8","5146061"
"61003","kokkoro_idle_normal","105911","1","1","-385","103","0","-288","1.8","5146061"
"61004","kokkoro_idle_normal","1059","5","3","-385","104","0","-288","1.8","5146061"
"61005","idle_normal","106011","1","1","290","106","1","-278","1.8","5146061"
"61006","idle_normal","1060","5","4","290","107","1","-278","1.8","5146061"
"61007","","200","13","105811","","","","","","5146061"
"61008","","203","13","105911","","","","","","5146061"
"61009","","206","13","106011","","","","","","5146061"
"61010","idle","7","5","7","0","15","0","-174","0.85","5146061"
"61011","empty","201","5","20","290","210","0","8","1","5146061"
"61012","empty","202","5","20","0","211","0","-78","1","5146061"
"61013","empty","203","5","20","-315","210","0","16","1","5146061"
"61014","empty","21","5","21","0","60","0","153","1","5146061"
"61015","","1","31","1","0","0","","1","1","5146061"
"61016","","2","31","2","-57.7","0","","1","0","5146061"
"61017","","10","31","10","0","0","","1","0","5146061"
"61018","","11","31","11","0","0","","1","0","5146061"
"61019","","0","91","0","","","","","","5146061"
"61020","","0","102","0","","0","","","","5146061"
"61021","","0","93","1","","","","","","5146061"
"61022","","doya_in_shy","3","106011","doya_talk_shy","0","0","1","0.2","5146061"
"61023","","doya_in_shy","3","1060","doya_talk_shy","0","0","1","0.2","5146061"
"61024","","vo_apg_0101","21","vo_apg","0","0","","","","5146061"
"61025","0","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","11","106011","1","10","0","1","0","5146061"
"61026","","","91","0","","","","","","5146061"
"61027","","1","32","2","","","","","","5146061"
"61028","","fade105_in","37","2","","","","","","5146061"
"61029","","0","4","106011","","","","","","5146061"
"61030","","0","4","1060","","","","","","5146061"
"61031","","sad_idle_dere_shy","3","106011","","1","","","0.5","5146061"
"61032","","sad_idle_dere_shy","3","1060","","1","","","0.5","5146061"
"61033","","vo_apg_0102","21","vo_apg","0","0","","","","5146061"
"61034","","0102_in","3","201","","0","","","0","5146061"
"61035","","1","93","4.6","","","","","","5146061"
"61036","","0102_mid","3","201","","0","","","0","5146061"
"61037","","","92","","","","","","","5146061"
"61038","","0102_out","3","201","","0","","","0","5146061"
"61039","","0","93","0.2","","","","","","5146061"
"61040","","kyaru_smile_in","3","106011","kyaru_smile_idle","0","0","1","0.2","5146061"
"61041","","kyaru_smile_in","3","1060","kyaru_smile_idle","0","0","1","0.2","5146061"
"61042","","vo_apg_0103","21","vo_apg","0","0","","","","5146061"
"61043","","0103_in","3","201","","0","","","0","5146061"
"61044","","1","93","5.4","","","","","","5146061"
"61045","","0103_mid","3","201","","0","","","0","5146061"
"61046","","","92","","","","","","","5146061"
"61047","","0103_out","3","201","","0","","","0","5146061"
"61048","","0","93","0.2","","","","","","5146061"
"61049","","fade105_out","37","2","","","","","","5146061"
"61050","","1","4","105811","","","","","","5146061"
"61051","","1","4","1058","","","","","","5146061"
"61052","","surprise_talk","3","105811","","1","","","0.2","5146061"
"61053","","surprise_talk","3","1058","","1","","","0.2","5146061"
"61054","","vo_apg_0104","21","vo_apg","0","0","","","","5146061"
"61055","0","……キャルちゃん、\n写真写りたくないんですかね…？","11","105811","1","10","0","1","0","5146061"
"61056","","","91","0","","","","","","5146061"
"61057","","surprise_idle_talk1R","3","105811","","1","","","0.2","5146061"
"61058","","surprise_idle_talk1R","3","1058","","1","","","0.2","5146061"
"61059","","kokkoro_surprise_talk","3","105911","","1","","","0.2","5146061"
"61060","","kokkoro_surprise_talk","3","1059","","1","","","0.2","5146061"
"61061","","vo_apg_0105","21","vo_apg","0","0","","","","5146061"
"61062","0","はい。\nどうやらそのようでございます","11","105911","1","10","0","1","0","5146061"
"61063","","","91","0","","","","","","5146061"
"61064","","kokkoro_idle_normal","3","105911","","1","","","0.2","5146061"
"61065","","kokkoro_idle_normal","3","1059","","1","","","0.2","5146061"
"61066","","idle_normal_talk1R","3","105811","","1","","","0.2","5146061"
"61067","","idle_normal_talk1R","3","1058","","1","","","0.2","5146061"
"61068","","0","4","105811","","","","","","5146061"
"61069","","0","4","1058","","","","","","5146061"
"61070","","1","4","106011","","","","","","5146061"
"61071","","1","4","1060","","","","","","5146061"
"61072","","cool_in_sing_shy","3","106011","cool_talk_sing_shy","0","0","1","0.2","5146061"
"61073","","cool_in_sing_shy","3","1060","cool_talk_sing_shy","0","0","1","0.2","5146061"
"61074","","vo_apg_0106","21","vo_apg","0","0","","","","5146061"
"61075","0","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","11","106011","1","10","0","1","0","5146061"
"61076","","","91","0","","","","","","5146061"
"61077","","0","22","0","","","","","","5146061"
"61078","","walk_kyapi_shy","3","106011","","1","","","0.2","5146061"
"61079","","walk_kyapi_shy","3","1060","","1","","","0.2","5146061"
"61080","","walk_furimuki","3","105811","","1","","","0.2","5146061"
