5e951f15af7bc4af3ea9e055ac5a22aaed3057d43357d5d823a6424f1ee2667f,952d79203274912747409ea761609319f72b1aa7b59415294652efeef5288ffa,aaaa00228944425f7b2d86bf6b404bc4a940398e6c7123760cbe72f24ebb2c79,c15d05b4630357bd7e7a3d0952de60cb375403c631f50ba7bce6484972e26b70,0f2b4c139483d34257402e6ea20e41083c1cfb5d0e02d6769e990e2898237718,77997b8ce13037ff5595edc4256495b65f4523e18177af2b1b479a17179ef839,4b65f607e84d11cf90d490d9e4ee2ac03a5752f51bd7ccf02ba60dda1b56a005
"100721","-10","0","0.8","0.8","31001","300900"
"100722","-40","0","0.7","0.7","31002","302300"
"100261","-40","0","0.8","0.8","31003","302400"
"100283","-20","0","0.9","0.9","31004","302500"
"101611","-10","0","0.9","0.9","31005","301700"
"102174","-40","0","0.7","0.7","31006","310100"
"102751","-60","-80","0.3","0.3","31007","399800"
"103001","20","-20","0.9","0.9","31008","314901"
"103232","-110","30","0.7","0.7","31009","318405"
"103371","-10","0","1","1","31010","320100"
