75f924f32d4051204962a750706c2fe85847280ed2bea29c13cbea661d4c8922,34bd8ed5fd76a1ee284b74571c1542e3b10bf30a9dea76fa5afd22944eb629c8,f433296bcf78d3696421979ec118aa9d99e8cdae368613b1db81f7734664260a,b04c006648c4de9c78a6fc599f890915882b0ebdcf8627414ef04f4000cc1cc7,89a69060465f81975f421b59f374481980c8e87a4c1b280d744d10f8040d7cce,1e04728ca2cc874c543428d8ab190d415afcca53516202b8577f17202191d155,0ef1c76f7573817159f0143d89e391bf1303a204e82bee7a1a7f2bff293955b5,35f20a15db39a1456c17be4743e2d2881bdec0b23d79438a56345ec1cb9264c7
"1005","0","2","バトル開始時、味方のＴＰが250アップ","1005","ＴＰ250アップ","0","1005"
"1006","0","2","バトル開始時、味方のＴＰが250アップ","1006","ＴＰ250アップ","0","1006"
"1007","0","2","バトル開始時、味方のＴＰが250アップ","1007","ＴＰ250アップ","0","1007"
"1008","0","2","バトル開始時、味方のＴＰが250アップ","1008","ＴＰ250アップ","0","1008"
"100501","27160000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100501"
"100502","26040000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100502"
"100503","25200000000000","1","バトル開始から90秒間、敵の物理防御力がダウン","1005","物理防御ダウン90秒","36000","100503"
"100504","24360000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1005","魔法防御ダウン90秒","36000","100504"
"100505","23520000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100505"
"100506","22400000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100506"
"100507","21560000000000","1","バトル開始から90秒間、敵の物理防御力がダウン","1005","物理防御ダウン90秒","36000","100507"
"100508","20720000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1005","魔法防御ダウン90秒","36000","100508"
"100509","19600000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100509"
"100510","18760000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100510"
"100511","17920000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100511"
"100512","16800000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100512"
"100513","15960000000000","1","バトル開始から90秒間、敵の物理防御力がダウン","1005","物理防御ダウン90秒","36000","100513"
"100514","15120000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1005","魔法防御ダウン90秒","36000","100514"
"100515","14280000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100515"
"100516","13160000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100516"
"100517","12320000000000","1","バトル開始から90秒間、敵の物理防御力がダウン","1005","物理防御ダウン90秒","36000","100517"
"100518","11480000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1005","魔法防御ダウン90秒","36000","100518"
"100519","10360000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100519"
"100520","9520000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100520"
"100521","8680000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100521"
"100522","7560000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100522"
"100523","6720000000000","1","バトル開始から90秒間、敵の物理防御力がダウン","1005","物理防御ダウン90秒","36000","100523"
"100524","5880000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1005","魔法防御ダウン90秒","36000","100524"
"100525","5040000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100525"
"100526","3920000000000","1","バトル開始時、味方のＴＰが150アップ","1005","ＴＰ150アップ","36000","100526"
"100527","3080000000000","1","バトル開始から10秒間、味方が無敵状態になる","1005","無敵10秒","36000","100527"
"100528","2240000000000","1","バトル開始から90秒間、敵の物理攻撃力がダウン","1005","物理攻撃ダウン90秒","36000","100528"
"100529","1120000000000","1","バトル開始から90秒間、敵の物理防御力がダウン","1005","物理防御ダウン90秒","36000","100529"
"100530","280000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1005","魔法防御ダウン90秒","36000","100530"
"100601","43650000000000","1","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","魔法攻撃アップ90秒","36000","100601"
"100602","41850000000000","1","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","物理攻撃アップ90秒","36000","100602"
"100603","40500000000000","1","バトル開始から90秒間、敵の物理防御力がダウン","1006","物理防御ダウン90秒","36000","100603"
"100604","39150000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1006","魔法防御ダウン90秒","36000","100604"
"100605","37800000000000","1","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","魔法攻撃アップ90秒","36000","100605"
"100606","36000000000000","1","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","物理攻撃アップ90秒","36000","100606"
"100607","34650000000000","1","バトル開始から90秒間、味方のＨＰが毎秒回復","1006","毎秒ＨＰ回復90秒","36000","100607"
"100608","33300000000000","1","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","物理攻撃アップ90秒","36000","100608"
"100609","31500000000000","1","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","物理攻撃アップ90秒","36000","100609"
"100610","30150000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1006","魔法防御ダウン90秒","36000","100610"
"100611","28800000000000","1","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","魔法攻撃アップ90秒","36000","100611"
"100612","27000000000000","1","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","物理攻撃アップ90秒","36000","100612"
"100613","25650000000000","1","バトル開始から90秒間、敵の物理防御力がダウン","1006","物理防御ダウン90秒","36000","100613"
"100614","24300000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1006","魔法防御ダウン90秒","36000","100614"
"100615","22950000000000","1","バトル開始から90秒間、味方の魔法攻撃力がアップ","1006","魔法攻撃アップ90秒","36000","100615"
"100616","21150000000000","1","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","物理攻撃アップ90秒","36000","100616"
"100617","19800000000000","1","バトル開始から90秒間、味方のＨＰが毎秒回復","1006","毎秒ＨＰ回復90秒","36000","100617"
"100618","18450000000000","1","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","物理攻撃アップ90秒","36000","100618"
"100619","16650000000000","1","バトル開始から90秒間、味方の物理攻撃力がアップ","1006","物理攻撃アップ90秒","36000","100619"
"100620","15300000000000","1","バトル開始から90秒間、敵の魔法防御力がダウン","1006","魔法防御ダウン90秒","36000","100620"
