33986758373a64650ead5cfb32e06d4c170e0ea1cd5af7d8d9f927f28252c8ee,588a4eb8a54574f09fec56f43eeabab306f9b846d77a683246a4a27b3c9d47ef,1b4c8cf7eb5fb6b3dac9d81aeb55a9fcb311141287e5f1b18887ca0bbb3f9bdb,0d94dc17e4a8ddcf9be3a4bedcb959eea93da86ae2e4edeed5b9d077a4ed07e2,2c7544d418fa4364bd58301e109eb988a355eec5aab222978b967dead3b85377,243b99671de3d7b94bcd14e7f6301be58c1e7582fc7556c37b3f6e31548ae90c,f83b7f4cbf58efa4566ff97fb0a1c18740ea08732afa6e7765b3aedf0c201492
"924070101","2407001","924070103","924070102","924070104","924070105","924070100"
"924070201","2407002","924070203","924070202","924070204","924070205","924070200"
"924070301","2407003","924070303","924070302","924070304","924070305","924070300"
"924071101","2407004","0","0","0","0","924071100"
"924071201","2407005","0","0","0","0","924071200"
"924071301","2407006","0","0","0","0","924071300"
"924071401","2407007","0","0","0","0","924071400"
"924072101","2407008","0","0","0","0","924072100"
"924072201","2407009","0","0","0","0","924072200"
"924072301","2407010","0","0","0","0","924072300"
"924072401","2407011","0","0","0","0","924072400"
"924073101","2407012","0","0","0","0","924073100"
"924073201","2407013","0","0","0","0","924073200"
"924073301","2407014","0","0","0","0","924073300"
"924073401","2407015","0","0","0","0","924073400"
"924080101","2408001","924080103","924080102","924080104","924080105","924080100"
"924080201","2408002","924080203","924080202","924080204","924080205","924080200"
"924080301","2408003","924080303","924080302","924080304","924080305","924080300"
"924081101","2408004","0","0","0","0","924081100"
"924081201","2408005","0","0","0","0","924081200"
"924081301","2408006","0","0","0","0","924081300"
"924081401","2408007","0","0","0","0","924081400"
"924082101","2408008","0","0","0","0","924082100"
"924082201","2408009","0","0","0","0","924082200"
"924082301","2408010","0","0","0","0","924082300"
"924082401","2408011","0","0","0","0","924082400"
"924083101","2408012","0","0","0","0","924083100"
"924083201","2408013","0","0","0","0","924083200"
"924083301","2408014","0","0","0","0","924083300"
"924083401","2408015","0","0","0","0","924083400"
"924090101","2409001","924090103","924090102","924090104","924090105","924090100"
"924090201","2409002","924090203","924090202","924090204","924090205","924090200"
"924090301","2409003","924090303","924090302","924090304","924090305","924090300"
"924091101","2409004","0","0","0","0","924091100"
"924091201","2409005","0","0","0","0","924091200"
"924091301","2409006","0","0","0","0","924091300"
"924091401","2409007","0","0","0","0","924091400"
"924092101","2409008","0","0","0","0","924092100"
"924092201","2409009","0","0","0","0","924092200"
"924092301","2409010","0","0","0","0","924092300"
"924092401","2409011","0","0","0","0","924092400"
"924093101","2409012","0","0","0","0","924093100"
"924093201","2409013","0","0","0","0","924093200"
"924093301","2409014","0","0","0","0","924093300"
"924093401","2409015","0","0","0","0","924093400"
"924100101","2410001","924100103","924100102","924100104","924100105","924100100"
"924100201","2410002","924100203","924100202","924100204","924100205","924100200"
"924100301","2410003","924100303","924100302","924100304","924100305","924100300"
"924101101","2410004","0","0","0","0","924101100"
"924101201","2410005","0","0","0","0","924101200"
"924101301","2410006","0","0","0","0","924101300"
"924101401","2410007","0","0","0","0","924101400"
"924102101","2410008","0","0","0","0","924102100"
"924102201","2410009","0","0","0","0","924102200"
"924102301","2410010","0","0","0","0","924102300"
"924102401","2410011","0","0","0","0","924102400"
"924103101","2410012","0","0","0","0","924103100"
"924103201","2410013","0","0","0","0","924103200"
"924103301","2410014","0","0","0","0","924103300"
"924103401","2410015","0","0","0","0","924103400"
"924110101","2411001","924110103","924110102","924110104","924110105","924110100"
"924110201","2411002","924110203","924110202","924110204","924110205","924110200"
"924110301","2411003","924110303","924110302","924110304","924110305","924110300"
"924111101","2411004","0","0","0","0","924111100"
"924111201","2411005","0","0","0","0","924111200"
"924111301","2411006","0","0","0","0","924111300"
"924111401","2411007","0","0","0","0","924111400"
"924112101","2411008","0","0","0","0","924112100"
"924112201","2411009","0","0","0","0","924112200"
"924112301","2411010","0","0","0","0","924112300"
"924112401","2411011","0","0","0","0","924112400"
"924113101","2411012","0","0","0","0","924113100"
"924113201","2411013","0","0","0","0","924113200"
"924113301","2411014","0","0","0","0","924113300"
"924113401","2411015","0","0","0","0","924113400"
"924120101","2412001","924120103","924120102","924120104","924120105","924120100"
"924120201","2412002","924120203","924120202","924120204","924120205","924120200"
"924120301","2412003","924120303","924120302","924120304","924120305","924120300"
"924121101","2412004","0","0","0","0","924121100"
"924121201","2412005","0","0","0","0","924121200"
"924121301","2412006","0","0","0","0","924121300"
"924121401","2412007","0","0","0","0","924121400"
"924122101","2412008","0","0","0","0","924122100"
"924122201","2412009","0","0","0","0","924122200"
"924122301","2412010","0","0","0","0","924122300"
"924122401","2412011","0","0","0","0","924122400"
"924123101","2412012","0","0","0","0","924123100"
"924123201","2412013","0","0","0","0","924123200"
"924123301","2412014","0","0","0","0","924123300"
"924123401","2412015","0","0","0","0","924123400"
"924140101","2414001","924140103","924140102","924140104","924140105","924140100"
"924140201","2414002","924140203","924140202","924140204","924140205","924140200"
"924140301","2414003","924140303","924140302","924140304","924140305","924140300"
"924141101","2414004","0","0","0","0","924141100"
"924141201","2414005","0","0","0","0","924141200"
"924141301","2414006","0","0","0","0","924141300"
"924141401","2414007","0","0","0","0","924141400"
"924142101","2414008","0","0","0","0","924142100"
"924142201","2414009","0","0","0","0","924142200"
"924142301","2414010","0","0","0","0","924142300"
"924142401","2414011","0","0","0","0","924142400"
"924143101","2414012","0","0","0","0","924143100"
"924143201","2414013","0","0","0","0","924143200"
"924143301","2414014","0","0","0","0","924143300"
"924143401","2414015","0","0","0","0","924143400"
"924150101","2415001","924150103","924150102","924150104","924150105","924150100"
"924150201","2415002","924150203","924150202","924150204","924150205","924150200"
"924150301","2415003","924150303","924150302","924150304","924150305","924150300"
"924151101","2415004","0","0","0","0","924151100"
"924151201","2415005","0","0","0","0","924151200"
"924151301","2415006","0","0","0","0","924151300"
"924151401","2415007","0","0","0","0","924151400"
"924152101","2415008","0","0","0","0","924152100"
"924152201","2415009","0","0","0","0","924152200"
"924152301","2415010","0","0","0","0","924152300"
"924152401","2415011","0","0","0","0","924152400"
"924153101","2415012","0","0","0","0","924153100"
"924153201","2415013","0","0","0","0","924153200"
"924153301","2415014","0","0","0","0","924153300"
"924153401","2415015","0","0","0","0","924153400"
"924160101","2416001","924160103","924160102","924160104","924160105","924160100"
"924160201","2416002","924160203","924160202","924160204","924160205","924160200"
"924160301","2416003","924160303","924160302","924160304","924160305","924160300"
"924161101","2416004","0","0","0","0","924161100"
"924161201","2416005","0","0","0","0","924161200"
"924161301","2416006","0","0","0","0","924161300"
"924161401","2416007","0","0","0","0","924161400"
"924162101","2416008","0","0","0","0","924162100"
"924162201","2416009","0","0","0","0","924162200"
"924162301","2416010","0","0","0","0","924162300"
"924162401","2416011","0","0","0","0","924162400"
"924163101","2416012","0","0","0","0","924163100"
"924163201","2416013","0","0","0","0","924163200"
"924163301","2416014","0","0","0","0","924163300"
"924163401","2416015","0","0","0","0","924163400"
"924170101","2417001","924170103","924170102","924170104","924170105","924170100"
"924170201","2417002","924170203","924170202","924170204","924170205","924170200"
"924170301","2417003","924170303","924170302","924170304","924170305","924170300"
"924171101","2417004","0","0","0","0","924171100"
"924171201","2417005","0","0","0","0","924171200"
"924171301","2417006","0","0","0","0","924171300"
"924171401","2417007","0","0","0","0","924171400"
"924172101","2417008","0","0","0","0","924172100"
"924172201","2417009","0","0","0","0","924172200"
"924172301","2417010","0","0","0","0","924172300"
"924172401","2417011","0","0","0","0","924172400"
"924173101","2417012","0","0","0","0","924173100"
"924173201","2417013","0","0","0","0","924173200"
"924173301","2417014","0","0","0","0","924173300"
"924173401","2417015","0","0","0","0","924173400"
"925010101","2501001","925010103","925010102","925010104","925010105","925010100"
"925010201","2501002","925010203","925010202","925010204","925010205","925010200"
"925010301","2501003","925010303","925010302","925010304","925010305","925010300"
"925011101","2501004","0","0","0","0","925011100"
"925011201","2501005","0","0","0","0","925011200"
"925011301","2501006","0","0","0","0","925011300"
"925011401","2501007","0","0","0","0","925011400"
"925012101","2501008","0","0","0","0","925012100"
"925012201","2501009","0","0","0","0","925012200"
"925012301","2501010","0","0","0","0","925012300"
"925012401","2501011","0","0","0","0","925012400"
"925013101","2501012","0","0","0","0","925013100"
"925013201","2501013","0","0","0","0","925013200"
"925013301","2501014","0","0","0","0","925013300"
"925013401","2501015","0","0","0","0","925013400"
