15f94b3fd355432e28ed4564f491b539ff05fa3d09e5b4d6a614c6f6bdfcf7d4,20dbd70fe5c25b4160e8c081ebf9397cfd373520a2c79e2cc71c39e0750b9560,2d0a2eb4ebb9430ec7fe51f07c3ad66621d2f3d9e30df302eb032d4d4e539951,38d4a0b3c8d29b8c9c45a0badc39ded752a4c7278cc45bc2c52310898fa9dd78,869f0d1d335e55e425e2a4285b3a80cd8514a0364a9d710c3d6fa6e354ab206c,e12abbf1f578372c64655591e3cb37077924adb2c2e59b77989d753e017947c4,3384f81c9bd5f54ae6b681751346dc7b37b1fce9c11a761904403caef2bc1242,68b6faa8b0899ab537f1937e519f2d65298495dd1a53d549d797f9c666a45c19,6d80e0dddac4541a8c6f3c6ca34434e72ebf6d8671bda8632102f263df9a2cb1,f3d5754b984a6f31e90939ba26702b5152d172a50a270bbe580b7e566b7270c3,2cce5ea68e0279e091bf6fc006fbde786b71be07e26f8b749221b51f3c15b0b0
"0","101001","101","111831","115","nop_idle_joy1","1","-100","-150","1.5","1"
"1","101002","101","120731","114","nop_idle_normal_joy","1","100","-150","1.5","1"
"0","101003","101","120831","111","nop_idle_arm_crossed","1","-215","-127","1.5","1"
"1","101004","101","111931","110","nop_idle_normal","1","215","-127","1.5","1"
"0","101005","101","120931","113","nop_idle_thinking","1","-330","-150","1.5","1"
"1","101006","101","112031","112","nop_idle_normal","1","330","-150","1.5","1"
"0","102001","102","108731","115","nop_idle_joy1","1","-100","-150","1.5","1"
"1","102002","102","108831","114","nop_idle_joy_normal","1","100","-150","1.5","1"
"0","102003","102","108931","111","nop_idle_normal","1","-215","-127","1.5","1"
"0","103001","103","102011","113","nop_idle_joy1","1","-100","-135","1.5","1"
"0","103002","103","100411","115","nop_idle_normal","1","-215","-150","1.5","1"
"1","103003","103","103631","114","nop_idle_wish","1","100","-143","1.5","1"
"0","104001","104","101231","115","nop_idle_normal","1","-100","-150","1.5","1"
"1","104002","104","104011","114","nop_idle_normal","1","100","-150","1.5","1"
"0","104003","104","101511","111","nop_idle_normal","1","-215","-127","1.5","1"
"0","105001","105","103111","113","nop_idle_normal","1","-100","-135","1.5","1"
"1","105002","105","102211","111","nop_idle_sad","1","100","-135","1.5","1"
"0","105003","105","100711","115","nop_05_miyako_idle_normal","1","-215","-150","1.5","1"
"1","105004","105","100611","112","nop_idle_joy1","1","215","-150","1.5","1"
"1","105005","105","2051","114","nop_skull_idle","1","-25","-135","1.5","5"
"0","106001","106","104731","115","nop_idle_arm_crossed","1","-215","-150","1.5","1"
"1","106002","106","107131","114","nop_idle_arm_crossed","1","215","-150","1.5","1"
"0","106003","106","103731","111","nop_idle_normal","1","-100","-135","1.5","1"
"1","106004","106","100511","110","nop_idle_joy1","1","100","-135","1.5","1"
"0","107001","107","102831","115","nop_idle_normal","1","-100","-150","1.5","1"
"1","107002","107","102111","114","nop_idle_normal","1","100","-150","1.5","1"
"0","107003","107","102511","111","nop_idle_normal","1","-215","-127","1.5","1"
"1","107004","107","102311","110","nop_idle_normal","1","215","-127","1.5","1"
"0","108001","108","101011","115","nop_idle_joy_normal","1","-100","-150","1.5","1"
"1","108002","108","104331","114","nop_idle_arm_crossed","1","100","-150","1.5","1"
"0","108003","108","101711","111","nop_idle_joy1","1","-215","-127","1.5","1"
"1","108004","108","101431","110","nop_idle_normal","1","215","-127","1.5","1"
"0","109001","109","103311","115","nop_idle_joy1","1","-100","-150","1.5","1"
"0","109002","109","105211","111","nop_idle_joy_normal","1","-215","-127","1.5","1"
"1","109003","109","102611","114","nop_idle_sad2","1","100","-150","1.5","1"
"1","109004","109","103811","110","nop_idle_normal","1","215","-127","1.5","1"
"0","110001","110","103231","115","nop_idle_joy1","1","-100","-150","1.5","1"
"1","110002","110","103411","110","nop_10_yukari_02","1","215","-127","1.5","1"
"1","110003","110","11","111","nop_10_yukari_02","1","215","-127","1.5","5"
"1","110004","110","104811","114","nop_idle_doya","1","100","-150","1.5","1"
"0","110005","110","104611","111","nop_idle_joy_normal","1","-215","-127","1.5","1"
"0","111001","111","100911","115","nop_11_anna_idle_arm_crossed","1","-100","-150","1.5","1"
"1","111002","111","101311","114","nop_idle_joy_normal","1","100","-150","1.5","1"
"0","111003","111","102711","111","nop_11_eriko_idle_wish","1","-215","-127","1.5","1"
