3cddc6dc06de2d16ba06cfe5423e27a17bad182410a54c41cf494983fe1eef6d,cfade98f238933be7ddfe716c47fa12ad002fe534e33bd93347558e898d1b0cf,42e30da97a2f0f447cf6d7a957a3012f939ca7ae03d32718598572fe51925b47,504b6a7a3d0577354e09aa52824b61219968911f6199b9c0e50f8f6f1459422d,6aa0059bf3a6858d84b65215f6ca833c009ed933c1607606e442d23a123b3c90,f86e3c01dc3b9de92ec2a936e065ee709f07df173ffb31a5182f12da1a92364c
"2146041","803100263","1","211","3001","212"
"2146042","803100263","1","211","3002","212"
"2146043","803100263","1","211","3003","212"
"2146044","803100263","1","211","3004","212"
"2147041","803100272","1","213","3006","212"
"2147042","803100272","1","213","3007","212"
"2145039","803100253","1","202","30011","313"
"2145040","803100253","0","105","30012","302"
"2145069","803100256","1","204","30021","311"
"2145070","803100256","1","205","30022","312"
"2145099","803100259","1","212","30031","310"
"2145100","803100259","0","107","30032","301"
"2146039","803100262","0","110","30041","307"
"2146040","803100262","0","105","30042","302"
"2146081","803100267","1","203","30051","314"
"2147019","803100269","1","205","30061","312"
"2147020","803100269","0","106","30062","303"
"2147039","803100271","1","202","30071","313"
"2147040","803100271","1","212","30072","310"
"2145011","803100251","0","104","300101","100"
"2145012","803100251","0","104","300102","100"
"2145013","803100251","0","105","300103","102"
"2145014","803100251","0","104","300104","100"
"2145015","803100251","0","105","300105","102"
"2145016","803100251","0","106","300106","103"
"2145017","803100251","0","105","300107","102"
"2145018","803100251","0","106","300108","103"
"2145019","803100251","1","204","300109","111"
"2145020","803100251","0","104","300110","100"
"2145021","803100252","0","104","300111","100"
"2145022","803100252","0","105","300112","102"
"2145023","803100252","0","104","300113","100"
"2145024","803100252","0","105","300114","102"
"2145025","803100252","0","106","300115","103"
"2145026","803100252","0","105","300116","102"
"2145027","803100252","0","106","300117","103"
"2145028","803100252","1","204","300118","111"
"2145029","803100252","0","104","300119","100"
"2145030","803100252","0","104","300120","100"
"2145031","803100253","0","105","300121","102"
"2145032","803100253","0","104","300122","100"
"2145033","803100253","0","105","300123","102"
"2145034","803100253","1","208","300124","112"
"2145035","803100253","1","212","300125","110"
"2145036","803100253","0","104","300126","100"
"2145037","803100253","0","105","300127","102"
"2145038","803100253","0","106","300128","103"
"2145041","803100254","0","107","300201","101"
"2145042","803100254","0","107","300202","101"
"2145043","803100254","0","105","300203","102"
"2145044","803100254","0","106","300204","103"
"2145045","803100254","1","202","300205","113"
"2145046","803100254","1","203","300206","114"
"2145047","803100254","0","107","300207","101"
"2145048","803100254","1","202","300208","113"
"2145049","803100254","1","203","300209","114"
"2145050","803100254","0","107","300210","101"
"2145051","803100255","0","107","300211","101"
"2145052","803100255","0","105","300212","102"
"2145053","803100255","0","106","300213","103"
"2145054","803100255","1","202","300214","113"
"2145055","803100255","1","203","300215","114"
"2145056","803100255","0","107","300216","101"
"2145057","803100255","1","202","300217","113"
"2145058","803100255","1","203","300218","114"
"2145059","803100255","0","107","300219","101"
"2145060","803100255","0","107","300220","101"
"2145061","803100256","0","105","300221","102"
"2145062","803100256","0","106","300222","103"
"2145063","803100256","0","107","300223","101"
"2145064","803100256","1","208","300224","112"
"2145065","803100256","1","212","300225","110"
"2145066","803100256","0","105","300226","102"
"2145067","803100256","0","106","300227","103"
"2145068","803100256","0","107","300228","101"
"2145071","803100257","0","104","300301","100"
"2145072","803100257","0","107","300302","101"
"2145073","803100257","0","107","300303","101"
"2145074","803100257","1","202","300304","113"
"2145075","803100257","1","203","300305","114"
"2145076","803100257","0","104","300306","100"
"2145077","803100257","0","107","300307","101"
"2145078","803100257","1","204","300308","111"
"2145079","803100257","1","205","300309","112"
"2145080","803100257","0","104","300310","100"
"2145081","803100258","0","107","300311","101"
"2145082","803100258","0","107","300312","101"
"2145083","803100258","1","202","300313","113"
"2145084","803100258","1","203","300314","114"
"2145085","803100258","0","104","300315","100"
"2145086","803100258","0","107","300316","101"
"2145087","803100258","1","204","300317","111"
"2145088","803100258","1","205","300318","112"
"2145089","803100258","0","104","300319","100"
"2145090","803100258","0","107","300320","101"
"2145091","803100259","0","104","300321","100"
"2145092","803100259","0","107","300322","101"
"2145093","803100259","1","202","300323","113"
"2145094","803100259","1","208","300324","112"
"2145095","803100259","0","104","300325","100"
"2145096","803100259","0","107","300326","101"
"2145097","803100259","1","204","300327","111"
"2145098","803100259","1","205","300328","112"
"2146011","803100260","0","105","300401","102"
"2146012","803100260","0","105","300402","102"
"2146013","803100260","1","202","300403","113"
"2146014","803100260","1","203","300404","114"
"2146015","803100260","0","105","300405","102"
"2146016","803100260","1","202","300406","113"
"2146017","803100260","1","203","300407","114"
"2146018","803100260","0","105","300408","102"
"2146019","803100260","0","105","300409","102"
"2146020","803100260","0","105","300410","102"
"2146021","803100261","0","105","300411","102"
"2146022","803100261","1","202","300412","113"
"2146023","803100261","1","203","300413","114"
"2146024","803100261","0","105","300414","102"
"2146025","803100261","1","202","300415","113"
"2146026","803100261","1","203","300416","114"
"2146027","803100261","0","105","300417","102"
"2146028","803100261","0","105","300418","102"
"2146029","803100261","1","202","300419","113"
"2146030","803100261","1","202","300420","113"
"2146031","803100262","1","202","300421","113"
"2146032","803100262","1","203","300422","114"
"2146033","803100262","0","105","300423","102"
"2146034","803100262","1","208","300424","112"
"2146035","803100262","1","212","300425","110"
"2146036","803100262","1","202","300426","113"
"2146037","803100262","1","202","300427","113"
"2146038","803100262","0","105","300428","102"
"2146051","803100264","0","104","300501","100"
"2146052","803100264","0","104","300502","100"
"2146053","803100264","0","104","300503","100"
"2146054","803100264","0","104","300504","100"
"2146055","803100264","0","105","300505","102"
"2146056","803100264","0","106","300506","103"
"2146057","803100264","0","104","300507","100"
"2146058","803100264","0","104","300508","100"
"2146059","803100264","0","105","300509","102"
"2146060","803100264","0","106","300510","103"
"2146061","803100265","0","104","300511","100"
"2146062","803100265","0","104","300512","100"
"2146063","803100265","0","104","300513","100"
"2146064","803100265","0","104","300514","100"
"2146065","803100265","0","105","300515","102"
"2146066","803100265","0","106","300516","103"
"2146067","803100265","0","104","300517","100"
"2146068","803100265","0","104","300518","100"
"2146069","803100265","0","105","300519","102"
"2146070","803100265","0","106","300520","103"
"2146071","803100266","0","104","300521","100"
"2146072","803100266","0","104","300522","100"
"2146073","803100266","1","202","300523","113"
"2146074","803100266","1","203","300524","114"
"2146075","803100266","0","104","300525","100"
"2146076","803100266","1","208","300526","112"
"2146077","803100266","1","212","300527","110"
"2146078","803100266","1","202","300528","113"
