b1b1f3bd87559517b5e1fad78fd82813942a126b681bd792b85a534ce9f7f2a4,1def4102c57b59cf23a17603540f0934aab0756f1338df75b74a8a198f04fbf9,5f6d06d95ed191bf7d53437678e26c663920a46416749323bfe68414239a85fa
"1","0","1"
"1","1","1"
"1","2","1"
"1","5","1"
"1","0","2"
"1","1","2"
"1","2","2"
"1","5","2"
"1","0","3"
"1","1","3"
"1","2","3"
"1","5","3"
"1","0","4"
"1","1","4"
"1","2","4"
"1","5","4"
"1","0","5"
"1","1","5"
"1","2","5"
"1","5","5"
"1","0","6"
"1","1","6"
"1","2","6"
"1","5","6"
"1","0","7"
"1","1","7"
"1","2","7"
"1","5","7"
"1","0","8"
"1","1","8"
"1","2","8"
"1","5","8"
"1","0","9"
"1","1","9"
"1","2","9"
"1","5","9"
"1","0","10"
"1","1","10"
"1","2","10"
"1","5","10"
